Month,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National
SEP23,Female,0-4 years,1055.0,1096.0,776.0,272.0,297.0,58.0,71.0,123.0,3744.0
SEP23,Female,5-9 years,900.0,1108.0,648.0,265.0,236.0,34.0,78.0,101.0,3368.0
SEP23,Female,10-14 years,887.0,1017.0,559.0,238.0,228.0,38.0,49.0,97.0,3111.0
SEP23,Female,15-17 years,1087.0,757.0,463.0,191.0,263.0,106.0,54.0,64.0,2978.0
SEP23,Female,18-19 years,967.0,762.0,474.0,169.0,231.0,131.0,67.0,81.0,2875.0
SEP23,Female,20-24 years,1995.0,1916.0,1070.0,441.0,514.0,196.0,146.0,237.0,6493.0
SEP23,Female,25-29 years,1219.0,1848.0,890.0,444.0,427.0,163.0,101.0,210.0,5287.0
SEP23,Female,30-34 years,1204.0,2173.0,989.0,546.0,418.0,145.0,139.0,229.0,5819.0
SEP23,Female,35-39 years,1216.0,2206.0,944.0,584.0,485.0,125.0,95.0,228.0,5873.0
SEP23,Female,40-44 years,1130.0,1945.0,824.0,486.0,365.0,104.0,85.0,223.0,5154.0
SEP23,Female,45-49 years,890.0,1343.0,572.0,391.0,248.0,83.0,64.0,154.0,3730.0
SEP23,Female,50-54 years,664.0,1067.0,438.0,302.0,185.0,77.0,48.0,120.0,2890.0
SEP23,Female,55-59 years,362.0,665.0,278.0,177.0,95.0,62.0,34.0,81.0,1752.0
SEP23,Female,60-64 years,310.0,449.0,163.0,82.0,53.0,42.0,31.0,60.0,1188.0
SEP23,Female,65+ years,411.0,687.0,264.0,141.0,81.0,110.0,27.0,55.0,1772.0
SEP23,Female,All Females,14297.0,19039.0,9352.0,4729.0,4126.0,1474.0,1089.0,2063.0,56034.0
SEP23,Male,0-4 years,1142.0,1151.0,847.0,269.0,366.0,59.0,72.0,141.0,4046.0
SEP23,Male,5-9 years,894.0,1199.0,793.0,265.0,253.0,42.0,71.0,109.0,3625.0
SEP23,Male,10-14 years,738.0,964.0,617.0,222.0,224.0,37.0,51.0,71.0,2924.0
SEP23,Male,15-17 years,679.0,610.0,351.0,97.0,160.0,55.0,35.0,38.0,2024.0
SEP23,Male,18-19 years,492.0,449.0,260.0,67.0,110.0,58.0,27.0,45.0,1504.0
SEP23,Male,20-24 years,921.0,970.0,484.0,123.0,250.0,119.0,71.0,68.0,3000.0
SEP23,Male,25-29 years,470.0,864.0,282.0,132.0,182.0,115.0,46.0,59.0,2142.0
SEP23,Male,30-34 years,506.0,912.0,351.0,107.0,198.0,76.0,83.0,81.0,2307.0
SEP23,Male,35-39 years,542.0,1021.0,416.0,164.0,235.0,75.0,69.0,89.0,2604.0
SEP23,Male,40-44 years,611.0,1050.0,490.0,208.0,229.0,127.0,66.0,105.0,2878.0
SEP23,Male,45-49 years,601.0,951.0,422.0,214.0,188.0,79.0,70.0,99.0,2613.0
SEP23,Male,50-54 years,594.0,799.0,387.0,228.0,168.0,104.0,62.0,101.0,2435.0
SEP23,Male,55-59 years,412.0,615.0,248.0,141.0,111.0,76.0,44.0,92.0,1737.0
SEP23,Male,60-64 years,268.0,372.0,173.0,76.0,69.0,74.0,26.0,65.0,1121.0
SEP23,Male,65+ years,362.0,557.0,254.0,125.0,61.0,129.0,31.0,71.0,1588.0
SEP23,Male,All Males,9232.0,12484.0,6375.0,2438.0,2804.0,1225.0,824.0,1234.0,36548.0
SEP23,Total,0-4 years,2197.0,2247.0,1623.0,541.0,663.0,117.0,143.0,264.0,7790.0
SEP23,Total,5-9 years,1794.0,2307.0,1441.0,530.0,489.0,76.0,149.0,210.0,6993.0
SEP23,Total,10-14 years,1625.0,1981.0,1176.0,460.0,452.0,75.0,100.0,168.0,6035.0
SEP23,Total,15-17 years,1766.0,1367.0,814.0,288.0,423.0,161.0,89.0,102.0,5002.0
SEP23,Total,18-19 years,1459.0,1211.0,734.0,236.0,341.0,189.0,94.0,126.0,4379.0
SEP23,Total,20-24 years,2916.0,2886.0,1554.0,564.0,764.0,315.0,217.0,305.0,9493.0
SEP23,Total,25-29 years,1689.0,2712.0,1172.0,576.0,609.0,278.0,147.0,269.0,7429.0
SEP23,Total,30-34 years,1710.0,3085.0,1340.0,653.0,616.0,221.0,222.0,310.0,8126.0
SEP23,Total,35-39 years,1758.0,3227.0,1360.0,748.0,720.0,200.0,164.0,317.0,8477.0
SEP23,Total,40-44 years,1741.0,2995.0,1314.0,694.0,594.0,231.0,151.0,328.0,8032.0
SEP23,Total,45-49 years,1491.0,2294.0,994.0,605.0,436.0,162.0,134.0,253.0,6343.0
SEP23,Total,50-54 years,1258.0,1866.0,825.0,530.0,353.0,181.0,110.0,221.0,5325.0
SEP23,Total,55-59 years,774.0,1280.0,526.0,318.0,206.0,138.0,78.0,173.0,3489.0
SEP23,Total,60-64 years,578.0,821.0,336.0,158.0,122.0,116.0,57.0,125.0,2309.0
SEP23,Total,65+ years,773.0,1244.0,518.0,266.0,142.0,239.0,58.0,126.0,3360.0
SEP23,Total,All Ages,23529.0,31523.0,15727.0,7167.0,6930.0,2699.0,1913.0,3297.0,92582.0
AUG23,Female,0-4 years,1085.0,1171.0,771.0,281.0,341.0,56.0,73.0,113.0,3890.0
AUG23,Female,5-9 years,941.0,1133.0,658.0,282.0,280.0,34.0,78.0,107.0,3509.0
AUG23,Female,10-14 years,901.0,1053.0,581.0,258.0,248.0,42.0,50.0,101.0,3232.0
AUG23,Female,15-17 years,1072.0,809.0,461.0,200.0,287.0,105.0,64.0,59.0,3046.0
AUG23,Female,18-19 years,1016.0,772.0,452.0,187.0,231.0,126.0,72.0,78.0,2928.0
AUG23,Female,20-24 years,2008.0,1957.0,1082.0,440.0,527.0,197.0,155.0,234.0,6580.0
AUG23,Female,25-29 years,1267.0,1903.0,906.0,434.0,445.0,159.0,96.0,215.0,5410.0
AUG23,Female,30-34 years,1231.0,2362.0,1017.0,569.0,445.0,134.0,140.0,243.0,6122.0
AUG23,Female,35-39 years,1231.0,2253.0,945.0,573.0,498.0,130.0,100.0,233.0,5954.0
AUG23,Female,40-44 years,1173.0,1981.0,823.0,513.0,357.0,121.0,95.0,226.0,5274.0
AUG23,Female,45-49 years,860.0,1427.0,619.0,388.0,274.0,89.0,57.0,157.0,3858.0
AUG23,Female,50-54 years,672.0,1092.0,469.0,295.0,186.0,71.0,48.0,110.0,2935.0
AUG23,Female,55-59 years,364.0,660.0,285.0,186.0,93.0,58.0,39.0,85.0,1769.0
AUG23,Female,60-64 years,311.0,504.0,169.0,86.0,55.0,43.0,36.0,59.0,1259.0
AUG23,Female,65+ years,433.0,722.0,265.0,142.0,80.0,114.0,28.0,68.0,1844.0
AUG23,Female,All Females,14565.0,19799.0,9503.0,4834.0,4347.0,1479.0,1131.0,2088.0,57610.0
AUG23,Male,0-4 years,1187.0,1187.0,874.0,295.0,382.0,59.0,71.0,134.0,4188.0
AUG23,Male,5-9 years,953.0,1254.0,793.0,296.0,280.0,41.0,74.0,121.0,3810.0
AUG23,Male,10-14 years,767.0,987.0,635.0,234.0,228.0,32.0,51.0,74.0,3006.0
AUG23,Male,15-17 years,691.0,621.0,354.0,116.0,157.0,54.0,32.0,38.0,2060.0
AUG23,Male,18-19 years,491.0,486.0,255.0,73.0,106.0,59.0,29.0,34.0,1530.0
AUG23,Male,20-24 years,921.0,990.0,506.0,124.0,260.0,120.0,66.0,70.0,3052.0
AUG23,Male,25-29 years,491.0,904.0,316.0,137.0,189.0,112.0,43.0,49.0,2236.0
AUG23,Male,30-34 years,493.0,961.0,365.0,108.0,208.0,79.0,78.0,80.0,2365.0
AUG23,Male,35-39 years,537.0,1102.0,401.0,172.0,237.0,87.0,74.0,86.0,2691.0
AUG23,Male,40-44 years,657.0,1135.0,505.0,193.0,237.0,118.0,70.0,105.0,3008.0
AUG23,Male,45-49 years,597.0,1022.0,475.0,204.0,186.0,84.0,68.0,101.0,2729.0
AUG23,Male,50-54 years,592.0,868.0,401.0,224.0,164.0,103.0,66.0,106.0,2518.0
AUG23,Male,55-59 years,416.0,636.0,266.0,135.0,100.0,79.0,46.0,95.0,1770.0
AUG23,Male,60-64 years,276.0,405.0,201.0,74.0,71.0,68.0,26.0,69.0,1189.0
AUG23,Male,65+ years,377.0,614.0,260.0,132.0,61.0,137.0,29.0,75.0,1685.0
AUG23,Male,All Males,9446.0,13172.0,6607.0,2517.0,2866.0,1232.0,823.0,1237.0,37837.0
AUG23,Total,0-4 years,2272.0,2358.0,1645.0,576.0,723.0,115.0,144.0,247.0,8078.0
AUG23,Total,5-9 years,1894.0,2387.0,1451.0,578.0,560.0,75.0,152.0,228.0,7319.0
AUG23,Total,10-14 years,1668.0,2040.0,1216.0,492.0,476.0,74.0,101.0,175.0,6238.0
AUG23,Total,15-17 years,1763.0,1430.0,815.0,316.0,444.0,159.0,96.0,97.0,5106.0
AUG23,Total,18-19 years,1507.0,1258.0,707.0,260.0,337.0,185.0,101.0,112.0,4458.0
AUG23,Total,20-24 years,2929.0,2947.0,1588.0,564.0,787.0,317.0,221.0,304.0,9632.0
AUG23,Total,25-29 years,1758.0,2807.0,1222.0,571.0,634.0,271.0,139.0,264.0,7646.0
AUG23,Total,30-34 years,1724.0,3323.0,1382.0,677.0,653.0,213.0,218.0,323.0,8487.0
AUG23,Total,35-39 years,1768.0,3355.0,1346.0,745.0,735.0,217.0,174.0,319.0,8645.0
AUG23,Total,40-44 years,1830.0,3116.0,1328.0,706.0,594.0,239.0,165.0,331.0,8282.0
AUG23,Total,45-49 years,1457.0,2449.0,1094.0,592.0,460.0,173.0,125.0,258.0,6587.0
AUG23,Total,50-54 years,1264.0,1960.0,870.0,519.0,350.0,174.0,114.0,216.0,5453.0
AUG23,Total,55-59 years,780.0,1296.0,551.0,321.0,193.0,137.0,85.0,180.0,3539.0
AUG23,Total,60-64 years,587.0,909.0,370.0,160.0,126.0,111.0,62.0,128.0,2448.0
AUG23,Total,65+ years,810.0,1336.0,525.0,274.0,141.0,251.0,57.0,143.0,3529.0
AUG23,Total,All Ages,24011.0,32971.0,16110.0,7351.0,7213.0,2711.0,1954.0,3325.0,95447.0
JUL23,Female,0-4 years,1075.0,1123.0,750.0,308.0,329.0,55.0,72.0,104.0,3814.0
JUL23,Female,5-9 years,902.0,1089.0,635.0,294.0,266.0,41.0,77.0,112.0,3415.0
JUL23,Female,10-14 years,880.0,964.0,552.0,238.0,261.0,35.0,49.0,94.0,3071.0
JUL23,Female,15-17 years,1072.0,785.0,432.0,178.0,256.0,105.0,67.0,60.0,2947.0
