MONTH,AGE GROUP,DATE,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,NATIONAL
Apr18,0 to 4,2018-04-30,2334.0,2640.0,1462.0,496.0,566.0,93.0,198.0,312.0,8091.0
Apr18,10 to 14,2018-04-30,1649.0,1821.0,942.0,341.0,355.0,73.0,92.0,297.0,5563.0
Apr18,15 to 19,2018-04-30,3218.0,2994.0,1230.0,614.0,834.0,302.0,213.0,318.0,9705.0
Apr18,20 to 24,2018-04-30,2670.0,3358.0,1112.0,487.0,822.0,279.0,188.0,201.0,9095.0
Apr18,25 to 29,2018-04-30,1618.0,3068.0,910.0,515.0,542.0,185.0,159.0,205.0,7176.0
Apr18,30 to 34,2018-04-30,1675.0,3330.0,1033.0,585.0,642.0,214.0,122.0,224.0,7805.0
Apr18,35 to 39,2018-04-30,1881.0,3410.0,1061.0,595.0,597.0,243.0,156.0,240.0,8153.0
Apr18,40 to 44,2018-04-30,1676.0,2870.0,977.0,546.0,502.0,211.0,127.0,239.0,7115.0
Apr18,45 to 49,2018-04-30,1522.0,2562.0,789.0,415.0,436.0,187.0,85.0,211.0,6193.0
Apr18,5 to 9,2018-04-30,1706.0,2100.0,1111.0,471.0,421.0,78.0,119.0,303.0,6296.0
Apr18,50 to 54,2018-04-30,1097.0,1675.0,532.0,290.0,260.0,123.0,76.0,166.0,4200.0
Apr18,55 to 59,2018-04-30,725.0,1016.0,351.0,196.0,181.0,83.0,42.0,114.0,2702.0
Apr18,60 to 64,2018-04-30,444.0,740.0,196.0,114.0,93.0,46.0,34.0,102.0,1763.0
Apr18,65+,2018-04-30,481.0,1250.0,194.0,153.0,84.0,64.0,24.0,97.0,2344.0
Apr19,0 to 4,2019-04-30,2280.0,2752.0,1505.0,626.0,636.0,99.0,195.0,279.0,8364.0
Apr19,10 to 14,2019-04-30,1736.0,1960.0,1046.0,425.0,379.0,62.0,83.0,330.0,6014.0
Apr19,15 to 19,2019-04-30,3539.0,2910.0,1319.0,624.0,762.0,351.0,181.0,309.0,9979.0
Apr19,20 to 24,2019-04-30,2904.0,3288.0,1211.0,583.0,813.0,319.0,165.0,249.0,9511.0
Apr19,25 to 29,2019-04-30,1644.0,2918.0,978.0,545.0,561.0,235.0,157.0,219.0,7235.0
Apr19,30 to 34,2019-04-30,1778.0,3264.0,1041.0,666.0,650.0,226.0,161.0,249.0,8004.0
Apr19,35 to 39,2019-04-30,1861.0,3224.0,1030.0,662.0,596.0,265.0,141.0,259.0,8008.0
Apr19,40 to 44,2019-04-30,1704.0,2915.0,932.0,579.0,470.0,201.0,136.0,249.0,7168.0
Apr19,45 to 49,2019-04-30,1623.0,2434.0,815.0,493.0,433.0,202.0,83.0,199.0,6259.0
Apr19,5 to 9,2019-04-30,1643.0,2541.0,1253.0,502.0,419.0,68.0,118.0,293.0,6828.0
Apr19,50 to 54,2019-04-30,1143.0,1654.0,539.0,330.0,256.0,147.0,71.0,181.0,4308.0
Apr19,55 to 59,2019-04-30,760.0,1062.0,346.0,222.0,161.0,98.0,50.0,119.0,2807.0
Apr19,60 to 64,2019-04-30,442.0,741.0,213.0,138.0,81.0,55.0,30.0,91.0,1787.0
Apr19,65+,2019-04-30,556.0,1089.0,225.0,174.0,81.0,99.0,30.0,100.0,2350.0
Apr20,0 to 4,2020-04-30,2318.0,2528.0,1431.0,464.0,580.0,94.0,225.0,310.0,7947.0
Apr20,10 to 14,2020-04-30,1636.0,1843.0,1020.0,351.0,323.0,72.0,119.0,373.0,5731.0
Apr20,15 to 19,2020-04-30,3255.0,2762.0,1300.0,603.0,736.0,298.0,222.0,384.0,9544.0
Apr20,20 to 24,2020-04-30,2889.0,3263.0,1138.0,545.0,843.0,288.0,172.0,244.0,9363.0
Apr20,25 to 29,2020-04-30,1753.0,3079.0,971.0,432.0,567.0,226.0,192.0,200.0,7403.0
Apr20,30 to 34,2020-04-30,1657.0,3480.0,1006.0,564.0,631.0,230.0,172.0,245.0,7969.0
Apr20,35 to 39,2020-04-30,1720.0,3411.0,1100.0,550.0,646.0,252.0,168.0,231.0,8051.0
Apr20,40 to 44,2020-04-30,1593.0,3098.0,923.0,477.0,524.0,192.0,158.0,203.0,7147.0
Apr20,45 to 49,2020-04-30,1486.0,2588.0,783.0,428.0,436.0,184.0,102.0,204.0,6195.0
Apr20,5 to 9,2020-04-30,1700.0,2314.0,1175.0,357.0,369.0,73.0,168.0,355.0,6505.0
