SPOKEN ENGLISH PROFICIENCY,STATE,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Uses other language and speaks English: Very well,Queensland,70.0,211.0,245.0,197.0,33.0,1462.0,2574.0,73.0,99.0,416254.0,421207.0,2021
Uses other language and speaks English: Very well,South Australia,3.0,136.0,81.0,49.0,15.0,607.0,1268.0,9.0,25.0,185023.0,187232.0,2021
Uses other language and speaks English: Very well,Western Australia,34.0,68.0,126.0,31.0,20.0,824.0,1317.0,14.0,30.0,304000.0,306473.0,2021
Uses other language and speaks English: Very well,Tasmania,5.0,12.0,17.0,19.0,0.0,146.0,299.0,8.0,5.0,29366.0,29873.0,2021
Uses other language and speaks English: Very well,Northern Territory,87.0,218.0,68.0,23.0,5.0,3686.0,1880.0,11.0,8.0,36743.0,42716.0,2021
Uses other language and speaks English: Very well,Australian Capital Territory,0.0,79.0,22.0,11.0,0.0,169.0,371.0,0.0,3.0,73481.0,74134.0,2021
Uses other language and speaks English: Very well,Other Territories,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,1155.0,1171.0,2021
Uses other language and speaks English: Well,New South Wales,5.0,136.0,155.0,955.0,14.0,2982.0,6256.0,15.0,38.0,532387.0,542952.0,2021
Uses other language and speaks English: Well,Victoria,0.0,425.0,98.0,912.0,12.0,1978.0,3958.0,5.0,63.0,448309.0,455757.0,2021
Uses other language and speaks English: Well,Queensland,43.0,158.0,156.0,157.0,17.0,1127.0,1773.0,15.0,97.0,181888.0,185429.0,2021
Uses other language and speaks English: Well,South Australia,0.0,67.0,34.0,64.0,4.0,641.0,954.0,5.0,26.0,84282.0,86079.0,2021
Uses other language and speaks English: Well,Western Australia,20.0,39.0,46.0,22.0,8.0,433.0,768.0,8.0,10.0,129842.0,131208.0,2021
Uses other language and speaks English: Well,Tasmania,0.0,13.0,13.0,27.0,0.0,131.0,224.0,0.0,0.0,14296.0,14712.0,2021
Uses other language and speaks English: Well,Northern Territory,102.0,206.0,63.0,23.0,0.0,3712.0,1754.0,16.0,7.0,19503.0,25395.0,2021
Uses other language and speaks English: Well,Australian Capital Territory,0.0,33.0,13.0,16.0,0.0,98.0,248.0,0.0,0.0,26710.0,27123.0,2021
Uses other language and speaks English: Well,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,437.0,436.0,2021
Uses other language and speaks English: Not well,New South Wales,9.0,86.0,71.0,349.0,9.0,2009.0,3380.0,3.0,9.0,265342.0,271263.0,2021
Uses other language and speaks English: Not well,Victoria,0.0,227.0,57.0,292.0,7.0,1159.0,2250.0,0.0,47.0,212311.0,216350.0,2021
Uses other language and speaks English: Not well,Queensland,11.0,65.0,61.0,47.0,13.0,561.0,932.0,5.0,35.0,66872.0,68597.0,2021
Uses other language and speaks English: Not well,South Australia,0.0,21.0,4.0,18.0,5.0,273.0,467.0,0.0,6.0,35101.0,35901.0,2021
Uses other language and speaks English: Not well,Western Australia,4.0,10.0,11.0,23.0,5.0,180.0,365.0,5.0,3.0,44717.0,45318.0,2021
Uses other language and speaks English: Not well,Tasmania,0.0,4.0,8.0,3.0,0.0,42.0,52.0,0.0,0.0,3407.0,3507.0,2021
Uses other language and speaks English: Not well,Northern Territory,28.0,51.0,12.0,5.0,0.0,1435.0,410.0,5.0,3.0,5125.0,7055.0,2021
Uses other language and speaks English: Not well,Australian Capital Territory,0.0,18.0,3.0,11.0,0.0,37.0,77.0,0.0,0.0,8236.0,8372.0,2021
Uses other language and speaks English: Not well,Other Territories,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,254.0,2021
Uses other language and speaks English: Not at all,New South Wales,0.0,25.0,21.0,154.0,0.0,765.0,1303.0,0.0,0.0,88141.0,90412.0,2021
Uses other language and speaks English: Not at all,Victoria,0.0,89.0,15.0,104.0,4.0,482.0,1007.0,0.0,5.0,67562.0,69266.0,2021
Uses other language and speaks English: Not at all,Queensland,3.0,26.0,16.0,12.0,0.0,210.0,332.0,0.0,3.0,21885.0,22490.0,2021
Uses other language and speaks English: Not at all,South Australia,0.0,10.0,3.0,5.0,0.0,138.0,201.0,0.0,0.0,11561.0,11916.0,2021
Uses other language and speaks English: Not at all,Western Australia,0.0,0.0,5.0,3.0,5.0,73.0,149.0,0.0,0.0,14586.0,14831.0,2021
Uses other language and speaks English: Not at all,Tasmania,0.0,0.0,0.0,0.0,0.0,19.0,32.0,0.0,0.0,1471.0,1520.0,2021
Uses other language and speaks English: Not at all,Northern Territory,0.0,14.0,10.0,0.0,0.0,315.0,122.0,0.0,0.0,1606.0,2065.0,2021
Uses other language and speaks English: Not at all,Australian Capital Territory,0.0,7.0,3.0,0.0,0.0,34.0,21.0,0.0,0.0,2947.0,3003.0,2021
Uses other language and speaks English: Not at all,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,89.0,2021
Not stated - both language (LANP) and proficiency in spoken English not stated,New South Wales,603.0,2225.0,133.0,2428.0,1073.0,404.0,443.0,8.0,172.0,415500.0,422991.0,2021
Not stated - both language (LANP) and proficiency in spoken English not stated,Victoria,929.0,2279.0,67.0,3134.0,1236.0,179.0,269.0,3.0,115.0,292293.0,300498.0,2021
Not stated - both language (LANP) and proficiency in spoken English not stated,Queensland,1387.0,941.0,94.0,777.0,59.0,178.0,249.0,12.0,243.0,303444.0,307390.0,2021
Not stated - both language (LANP) and proficiency in spoken English not stated,South Australia,274.0,681.0,31.0,205.0,53.0,51.0,38.0,0.0,28.0,71015.0,72372.0,2021
Not stated - both language (LANP) and proficiency in spoken English not stated,Western Australia,2062.0,632.0,298.0,179.0,3.0,61.0,123.0,3.0,104.0,151937.0,155410.0,2021
Not stated - both language (LANP) and proficiency in spoken English not stated,Tasmania,202.0,116.0,8.0,56.0,0.0,21.0,31.0,0.0,12.0,25828.0,26261.0,2021
Not stated - both language (LANP) and proficiency in spoken English not stated,Northern Territory,308.0,858.0,133.0,0.0,0.0,90.0,66.0,13.0,34.0,27600.0,29089.0,2021
Not stated - both language (LANP) and proficiency in spoken English not stated,Australian Capital Territory,56.0,292.0,3.0,32.0,0.0,3.0,34.0,0.0,8.0,15892.0,16323.0,2021
Not stated - both language (LANP) and proficiency in spoken English not stated,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087.0,1087.0,2021
"Not stated - language (LANP) stated, proficiency in spoken English not stated",New South Wales,0.0,13.0,7.0,13.0,0.0,68.0,108.0,0.0,0.0,19614.0,19820.0,2021
"Not stated - language (LANP) stated, proficiency in spoken English not stated",Victoria,0.0,16.0,4.0,17.0,0.0,44.0,91.0,0.0,0.0,17795.0,17966.0,2021
"Not stated - language (LANP) stated, proficiency in spoken English not stated",Queensland,4.0,12.0,4.0,5.0,0.0,37.0,61.0,3.0,5.0,7879.0,8005.0,2021
"Not stated - language (LANP) stated, proficiency in spoken English not stated",South Australia,3.0,24.0,0.0,0.0,0.0,22.0,39.0,0.0,3.0,3334.0,3423.0,2021
"Not stated - language (LANP) stated, proficiency in spoken English not stated",Western Australia,0.0,3.0,6.0,3.0,0.0,24.0,33.0,0.0,0.0,5415.0,5490.0,2021
"Not stated - language (LANP) stated, proficiency in spoken English not stated",Tasmania,0.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,586.0,609.0,2021
"Not stated - language (LANP) stated, proficiency in spoken English not stated",Northern Territory,4.0,29.0,12.0,0.0,0.0,193.0,117.0,0.0,0.0,1032.0,1385.0,2021
"Not stated - language (LANP) stated, proficiency in spoken English not stated",Australian Capital Territory,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,1086.0,1096.0,2021
"Not stated - language (LANP) stated, proficiency in spoken English not stated",Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,2021
Total,New South Wales,956.0,5035.0,4088.0,8843.0,1423.0,14632.0,29956.0,642.0,2331.0,7984621.0,8052530.0,2021
Total,Victoria,1022.0,7820.0,2531.0,8578.0,1583.0,9068.0,19334.0,257.0,1716.0,6408081.0,6459990.0,2021
Total,Queensland,2051.0,4119.0,4981.0,2972.0,488.0,7839.0,14347.0,1088.0,3314.0,5154551.0,5195745.0,2021
Total,South Australia,323.0,2497.0,1322.0,659.0,255.0,2352.0,4530.0,127.0,501.0,1760688.0,1773257.0,2021
Total,Western Australia,2322.0,1604.0,2143.0,637.0,110.0,2935.0,5334.0,430.0,1027.0,2652822.0,2669363.0,2021
Total,Tasmania,231.0,535.0,588.0,257.0,29.0,709.0,1433.0,79.0,240.0,548765.0,552867.0,2021
Total,Northern Territory,666.0,1815.0,670.0,67.0,42.0,9904.0,5060.0,156.0,218.0,242719.0,261309.0,2021
Total,Australian Capital Territory,59.0,867.0,274.0,134.0,6.0,447.0,1024.0,0.0,26.0,449481.0,452302.0,2021
Total,Other Territories,0.0,0.0,4.0,0.0,0.0,7.0,18.0,0.0,0.0,5394.0,5425.0,2021
Speaks English only,New South Wales,661.0,3272.0,4287.0,3235.0,191.0,3887.0,9807.0,1531.0,2657.0,5087796.0,5117322.0,2016
Speaks English only,Victoria,163.0,3342.0,2330.0,1831.0,70.0,2082.0,4798.0,387.0,1609.0,3967792.0,3984406.0,2016
Speaks English only,Queensland,883.0,2213.0,4278.0,1901.0,171.0,4248.0,6979.0,1600.0,3424.0,3840463.0,3866158.0,2016
Speaks English only,South Australia,122.0,839.0,1126.0,520.0,35.0,418.0,1352.0,222.0,357.0,1295087.0,1300079.0,2016
Speaks English only,Western Australia,337.0,515.0,1682.0,534.0,44.0,1273.0,2344.0,707.0,891.0,1862825.0,1871146.0,2016
Speaks English only,Tasmania,49.0,428.0,449.0,109.0,19.0,169.0,471.0,128.0,114.0,441731.0,443665.0,2016
Speaks English only,Northern Territory,232.0,246.0,349.0,100.0,14.0,681.0,711.0,247.0,181.0,145652.0,148413.0,2016
Speaks English only,Australian Capital Territory,4.0,418.0,216.0,18.0,3.0,66.0,233.0,0.0,37.0,286023.0,287027.0,2016
Speaks English only,Other Territories,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,2177.0,2195.0,2016
Speaks other language and speaks English: Very well,New South Wales,59.0,466.0,475.0,666.0,19.0,4016.0,8391.0,126.0,64.0,1029825.0,1044109.0,2016
Speaks other language and speaks English: Very well,Victoria,14.0,693.0,317.0,569.0,7.0,2259.0,5570.0,27.0,71.0,843282.0,852795.0,2016
Speaks other language and speaks English: Very well,Queensland,25.0,212.0,233.0,210.0,19.0,1164.0,1958.0,86.0,146.0,321059.0,325116.0,2016
Speaks other language and speaks English: Very well,South Australia,9.0,97.0,71.0,77.0,0.0,470.0,834.0,16.0,12.0,147646.0,149238.0,2016
Speaks other language and speaks English: Very well,Western Australia,33.0,64.0,124.0,60.0,4.0,891.0,1154.0,29.0,35.0,249301.0,251703.0,2016
Speaks other language and speaks English: Very well,Tasmania,6.0,12.0,17.0,6.0,0.0,24.0,45.0,4.0,0.0,16040.0,16155.0,2016
Speaks other language and speaks English: Very well,Northern Territory,189.0,81.0,22.0,43.0,0.0,4377.0,2044.0,22.0,18.0,29872.0,36671.0,2016
Speaks other language and speaks English: Very well,Australian Capital Territory,4.0,35.0,34.0,11.0,0.0,133.0,169.0,0.0,0.0,52755.0,53147.0,2016
Speaks other language and speaks English: Very well,Other Territories,0.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,1206.0,1228.0,2016
Speaks other language and speaks English: Well,New South Wales,38.0,278.0,316.0,718.0,6.0,4828.0,8032.0,54.0,62.0,489809.0,504145.0,2016
Speaks other language and speaks English: Well,Victoria,18.0,404.0,193.0,549.0,14.0,2540.0,5020.0,16.0,54.0,410292.0,419090.0,2016
Speaks other language and speaks English: Well,Queensland,22.0,116.0,134.0,263.0,17.0,1170.0,1949.0,26.0,103.0,154302.0,158096.0,2016
Speaks other language and speaks English: Well,South Australia,6.0,55.0,48.0,58.0,0.0,683.0,823.0,17.0,3.0,76490.0,78177.0,2016
Speaks other language and speaks English: Well,Western Australia,26.0,44.0,70.0,115.0,4.0,1045.0,1320.0,26.0,26.0,122266.0,124942.0,2016
Speaks other language and speaks English: Well,Tasmania,0.0,20.0,4.0,8.0,5.0,41.0,86.0,0.0,0.0,7697.0,7860.0,2016
Speaks other language and speaks English: Well,Northern Territory,271.0,58.0,16.0,25.0,0.0,3952.0,1618.0,5.0,14.0,16578.0,22544.0,2016
Speaks other language and speaks English: Well,Australian Capital Territory,0.0,55.0,8.0,4.0,0.0,122.0,176.0,0.0,0.0,22773.0,23137.0,2016
Speaks other language and speaks English: Well,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,449.0,455.0,2016
Speaks other language and speaks English: Not well,New South Wales,17.0,187.0,139.0,274.0,6.0,2918.0,4368.0,27.0,24.0,248522.0,256485.0,2016
Speaks other language and speaks English: Not well,Victoria,13.0,275.0,103.0,217.0,11.0,1418.0,2946.0,5.0,16.0,199608.0,204617.0,2016
Speaks other language and speaks English: Not well,Queensland,12.0,67.0,70.0,124.0,5.0,648.0,1030.0,12.0,36.0,62024.0,64031.0,2016
Speaks other language and speaks English: Not well,South Australia,0.0,35.0,29.0,18.0,0.0,384.0,507.0,6.0,7.0,35786.0,36775.0,2016
Speaks other language and speaks English: Not well,Western Australia,6.0,19.0,36.0,36.0,0.0,451.0,633.0,7.0,6.0,45566.0,46756.0,2016
Speaks other language and speaks English: Not well,Tasmania,0.0,19.0,3.0,5.0,0.0,25.0,50.0,0.0,0.0,2931.0,3031.0,2016
Speaks other language and speaks English: Not well,Northern Territory,85.0,27.0,8.0,11.0,0.0,1132.0,411.0,0.0,7.0,5224.0,6906.0,2016
Speaks other language and speaks English: Not well,Australian Capital Territory,0.0,35.0,7.0,3.0,3.0,37.0,94.0,0.0,0.0,7783.0,7963.0,2016
Speaks other language and speaks English: Not well,Other Territories,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,314.0,314.0,2016
Speaks other language and speaks English: Not at all,New South Wales,5.0,91.0,43.0,52.0,4.0,831.0,1398.0,10.0,12.0,77401.0,79844.0,2016
Speaks other language and speaks English: Not at all,Victoria,4.0,98.0,35.0,42.0,9.0,471.0,1084.0,8.0,7.0,59476.0,61223.0,2016
Speaks other language and speaks English: Not at all,Queensland,4.0,13.0,20.0,30.0,4.0,154.0,289.0,0.0,12.0,19488.0,20025.0,2016
Speaks other language and speaks English: Not at all,South Australia,0.0,16.0,9.0,5.0,0.0,143.0,220.0,0.0,0.0,11021.0,11409.0,2016
Speaks other language and speaks English: Not at all,Western Australia,4.0,4.0,6.0,6.0,0.0,124.0,188.0,0.0,0.0,14200.0,14538.0,2016
Speaks other language and speaks English: Not at all,Tasmania,0.0,5.0,0.0,0.0,0.0,7.0,29.0,0.0,0.0,1277.0,1318.0,2016
Speaks other language and speaks English: Not at all,Northern Territory,13.0,3.0,0.0,0.0,0.0,388.0,148.0,3.0,0.0,1428.0,1989.0,2016
Speaks other language and speaks English: Not at all,Australian Capital Territory,0.0,16.0,0.0,0.0,0.0,8.0,30.0,0.0,0.0,2536.0,2593.0,2016
Speaks other language and speaks English: Not at all,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,102.0,2016
Not stated - both language (LANP) and proficiency (ENGP) not stated,New South Wales,1798.0,1535.0,95.0,1885.0,0.0,226.0,335.0,17.0,169.0,442358.0,448428.0,2016
Not stated - both language (LANP) and proficiency (ENGP) not stated,Victoria,909.0,2338.0,88.0,1196.0,0.0,105.0,195.0,0.0,107.0,329682.0,334619.0,2016
Not stated - both language (LANP) and proficiency (ENGP) not stated,Queensland,789.0,1098.0,78.0,1077.0,0.0,142.0,199.0,11.0,214.0,316764.0,320380.0,2016
Not stated - both language (LANP) and proficiency (ENGP) not stated,South Australia,253.0,373.0,25.0,222.0,0.0,23.0,31.0,0.0,18.0,80701.0,81657.0,2016
Not stated - both language (LANP) and proficiency (ENGP) not stated,Western Australia,676.0,411.0,31.0,253.0,0.0,56.0,80.0,10.0,71.0,170887.0,172470.0,2016
Not stated - both language (LANP) and proficiency (ENGP) not stated,Tasmania,82.0,86.0,13.0,3.0,0.0,4.0,4.0,0.0,19.0,28594.0,28804.0,2016
Not stated - both language (LANP) and proficiency (ENGP) not stated,Northern Territory,288.0,217.0,15.0,311.0,0.0,236.0,84.0,3.0,35.0,31013.0,32205.0,2016
Not stated - both language (LANP) and proficiency (ENGP) not stated,Australian Capital Territory,42.0,242.0,4.0,55.0,0.0,0.0,0.0,0.0,0.0,20729.0,21076.0,2016
Not stated - both language (LANP) and proficiency (ENGP) not stated,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0,854.0,2016
"Not stated - language (LANP) stated, proficiency (ENGP) not stated",New South Wales,3.0,10.0,13.0,22.0,0.0,109.0,181.0,0.0,4.0,18362.0,18702.0,2016
"Not stated - language (LANP) stated, proficiency (ENGP) not stated",Victoria,3.0,21.0,10.0,16.0,0.0,65.0,164.0,0.0,3.0,15897.0,16182.0,2016
"Not stated - language (LANP) stated, proficiency (ENGP) not stated",Queensland,0.0,8.0,6.0,8.0,0.0,78.0,92.0,4.0,9.0,6579.0,6790.0,2016
"Not stated - language (LANP) stated, proficiency (ENGP) not stated",South Australia,0.0,12.0,6.0,5.0,0.0,25.0,31.0,0.0,0.0,3024.0,3093.0,2016
"Not stated - language (LANP) stated, proficiency (ENGP) not stated",Western Australia,0.0,0.0,7.0,0.0,0.0,34.0,59.0,0.0,7.0,4947.0,5056.0,2016
"Not stated - language (LANP) stated, proficiency (ENGP) not stated",Tasmania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,369.0,2016
"Not stated - language (LANP) stated, proficiency (ENGP) not stated",Northern Territory,20.0,6.0,0.0,4.0,0.0,296.0,91.0,0.0,0.0,987.0,1405.0,2016
"Not stated - language (LANP) stated, proficiency (ENGP) not stated",Australian Capital Territory,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,815.0,825.0,2016
"Not stated - language (LANP) stated, proficiency (ENGP) not stated",Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,2016
