SPOKEN ENGLISH PROFICIENCY,STATE,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Speaks English only,New South Wales,321.0,2295.0,3379.0,3807.0,297.0,4467.0,10118.0,571.0,2028.0,5415762.0,5443060.0,2021
Speaks English only,Victoria,87.0,3914.0,2048.0,2777.0,281.0,2398.0,5683.0,230.0,1422.0,4317562.0,4336402.0,2021
Speaks English only,Queensland,533.0,2712.0,4399.0,1771.0,367.0,4263.0,8432.0,979.0,2840.0,4156327.0,4182616.0,2021
Speaks English only,South Australia,45.0,1555.0,1164.0,324.0,167.0,622.0,1566.0,114.0,417.0,1370374.0,1376344.0,2021
Speaks English only,Western Australia,193.0,851.0,1642.0,375.0,68.0,1343.0,2583.0,398.0,870.0,2002318.0,2010637.0,2021
Speaks English only,Tasmania,22.0,395.0,543.0,159.0,29.0,346.0,780.0,77.0,234.0,473815.0,476385.0,2021
Speaks English only,Northern Territory,140.0,442.0,365.0,18.0,41.0,482.0,709.0,124.0,167.0,151112.0,153605.0,2021
Speaks English only,Australian Capital Territory,0.0,432.0,233.0,69.0,7.0,109.0,264.0,0.0,18.0,321131.0,322256.0,2021
Speaks English only,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350.0,2357.0,2021
Uses other language and speaks English: Very well,New South Wales,20.0,261.0,320.0,1132.0,28.0,3929.0,8353.0,41.0,82.0,1247875.0,1262037.0,2021
Uses other language and speaks English: Very well,Victoria,4.0,864.0,242.0,1347.0,38.0,2841.0,6079.0,22.0,74.0,1052242.0,1063749.0,2021
