INGDWTD INDIGENOUS HOUSEHOLD INDICATOR,STATE,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Household with Aboriginal and/or Torres Strait Islander person(s),Northern Territory,273.0,54.0,52.0,5.0,0.0,10757.0,4413.0,54.0,28.0,41539.0,57170.0,2016
Household with Aboriginal and/or Torres Strait Islander person(s),Australian Capital Territory,5.0,66.0,15.0,0.0,0.0,4.0,40.0,0.0,4.0,9467.0,9601.0,2016
Household with Aboriginal and/or Torres Strait Islander person(s),Other Territories,0.0,0.0,0.0,0.0,0.0,7.0,26.0,0.0,0.0,207.0,243.0,2016
Other Households,New South Wales,724.0,2791.0,4451.0,660.0,0.0,15770.0,30386.0,1617.0,2689.0,6498526.0,6557628.0,2016
Other Households,Victoria,208.0,3486.0,2680.0,1443.0,0.0,8695.0,19434.0,424.0,1802.0,5324840.0,5363012.0,2016
Other Households,Queensland,742.0,1484.0,3983.0,628.0,0.0,4407.0,9317.0,1545.0,3600.0,3995697.0,4021401.0,2016
Other Households,South Australia,111.0,445.0,1073.0,122.0,0.0,1726.0,3288.0,255.0,383.0,1486628.0,1494028.0,2016
Other Households,Western Australia,278.0,80.0,1503.0,267.0,0.0,2000.0,4119.0,751.0,958.0,2118286.0,2128250.0,2016
Other Households,Tasmania,51.0,254.0,399.0,26.0,0.0,210.0,599.0,130.0,117.0,425176.0,426962.0,2016
Other Households,Northern Territory,164.0,52.0,281.0,22.0,0.0,309.0,696.0,226.0,234.0,133000.0,134985.0,2016
Other Households,Australian Capital Territory,6.0,344.0,242.0,20.0,0.0,366.0,660.0,0.0,39.0,348746.0,350429.0,2016
Other Households,Other Territories,4.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3185.0,3204.0,2016
Not applicable,New South Wales,1767.0,2160.0,474.0,6146.0,219.0,0.0,0.0,11.0,61.0,598297.0,609132.0,2016
Not applicable,Victoria,903.0,3220.0,317.0,2943.0,108.0,0.0,0.0,0.0,5.0,430443.0,437934.0,2016
Not applicable,Queensland,901.0,1781.0,503.0,2958.0,213.0,0.0,0.0,17.0,21.0,484121.0,490513.0,2016
Not applicable,South Australia,266.0,670.0,138.0,774.0,34.0,0.0,0.0,8.0,5.0,119621.0,121519.0,2016
Not applicable,Western Australia,716.0,907.0,282.0,646.0,47.0,0.0,0.0,8.0,18.0,266678.0,269303.0,2016
Not applicable,Tasmania,85.0,255.0,57.0,92.0,21.0,0.0,0.0,0.0,0.0,39986.0,40495.0,2016
Not applicable,Northern Territory,660.0,537.0,84.0,460.0,21.0,0.0,0.0,8.0,5.0,56205.0,57985.0,2016
Not applicable,Australian Capital Territory,38.0,388.0,23.0,78.0,7.0,0.0,0.0,0.0,0.0,35205.0,35735.0,2016
Not applicable,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1745.0,1745.0,2016
