INGP INDIGENOUS STATUS,STATE,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Not stated,New South Wales,120.0,1870.0,93.0,2163.0,310.0,153.0,270.0,7.0,119.0,380443.0,385554.0,2021
Not stated,Victoria,606.0,2120.0,49.0,2980.0,12.0,110.0,155.0,5.0,79.0,275688.0,281798.0,2021
Not stated,Queensland,447.0,911.0,73.0,709.0,3.0,137.0,148.0,20.0,155.0,287715.0,290317.0,2021
Not stated,South Australia,64.0,660.0,21.0,174.0,61.0,24.0,30.0,6.0,23.0,67133.0,68206.0,2021
Not stated,Western Australia,251.0,417.0,75.0,146.0,0.0,31.0,61.0,3.0,80.0,140248.0,141315.0,2021
Not stated,Tasmania,111.0,110.0,8.0,34.0,0.0,16.0,18.0,0.0,4.0,24470.0,24773.0,2021
Not stated,Northern Territory,20.0,618.0,4.0,0.0,0.0,35.0,18.0,12.0,20.0,25175.0,25898.0,2021
Not stated,Australian Capital Territory,34.0,295.0,7.0,14.0,0.0,0.0,6.0,0.0,5.0,15063.0,15415.0,2021
Not stated,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,828.0,2021
Total,New South Wales,956.0,5035.0,4088.0,8843.0,1423.0,14632.0,29956.0,642.0,2331.0,7984621.0,8052530.0,2021
Total,Victoria,1022.0,7820.0,2531.0,8578.0,1583.0,9068.0,19334.0,257.0,1716.0,6408081.0,6459990.0,2021
Total,Queensland,2051.0,4119.0,4981.0,2972.0,488.0,7839.0,14347.0,1088.0,3314.0,5154551.0,5195745.0,2021
Total,South Australia,323.0,2497.0,1322.0,659.0,255.0,2352.0,4530.0,127.0,501.0,1760688.0,1773257.0,2021
Total,Western Australia,2322.0,1604.0,2143.0,637.0,110.0,2935.0,5334.0,430.0,1027.0,2652822.0,2669363.0,2021
Total,Tasmania,231.0,535.0,588.0,257.0,29.0,709.0,1433.0,79.0,240.0,548765.0,552867.0,2021
Total,Northern Territory,666.0,1815.0,670.0,67.0,42.0,9904.0,5060.0,156.0,218.0,242719.0,261309.0,2021
Total,Australian Capital Territory,59.0,867.0,274.0,134.0,6.0,447.0,1024.0,0.0,26.0,449481.0,452302.0,2021
Total,Other Territories,0.0,0.0,4.0,0.0,0.0,7.0,18.0,0.0,0.0,5394.0,5425.0,2021
Non-Indigenous,New South Wales,1727.0,3523.0,4888.0,4831.0,200.0,16128.0,30847.0,1645.0,2657.0,6749964.0,6816412.0,2016
Non-Indigenous,Victoria,898.0,4454.0,2948.0,3209.0,105.0,8687.0,19340.0,416.0,1739.0,5445648.0,5487457.0,2016
