CITP AUSTRALIAN CITIZENSHIP,STATE,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Australian Citizen,New South Wales,311.0,2559.0,3563.0,3722.0,293.0,8250.0,18060.0,583.0,2004.0,6701615.0,6740964.0,2021
Australian Citizen,Victoria,88.0,4835.0,2185.0,2800.0,288.0,4789.0,11076.0,238.0,1434.0,5328008.0,5355746.0,2021
Australian Citizen,Queensland,572.0,2837.0,4364.0,1726.0,348.0,5725.0,10501.0,1018.0,2792.0,4344020.0,4373896.0,2021
Australian Citizen,South Australia,49.0,1725.0,1208.0,331.0,182.0,1479.0,3005.0,116.0,421.0,1533926.0,1542455.0,2021
Australian Citizen,Western Australia,233.0,897.0,1655.0,364.0,53.0,2353.0,4109.0,389.0,823.0,2200595.0,2211468.0,2021
Australian Citizen,Tasmania,30.0,398.0,547.0,157.0,26.0,424.0,852.0,68.0,237.0,481027.0,483761.0,2021
Australian Citizen,Northern Territory,396.0,1047.0,531.0,21.0,36.0,9631.0,4794.0,135.0,169.0,189371.0,206137.0,2021
Australian Citizen,Australian Capital Territory,0.0,484.0,246.0,74.0,3.0,142.0,408.0,0.0,16.0,387034.0,388414.0,2021
Australian Citizen,Other Territories,0.0,0.0,4.0,0.0,0.0,7.0,18.0,0.0,0.0,3794.0,3824.0,2021
Not an Australian Citizen,New South Wales,47.0,255.0,395.0,2755.0,53.0,6093.0,11520.0,46.0,171.0,881680.0,903012.0,2021
Not an Australian Citizen,Victoria,5.0,720.0,274.0,2718.0,53.0,4155.0,8065.0,13.0,208.0,792528.0,808745.0,2021
Not an Australian Citizen,Queensland,79.0,348.0,531.0,487.0,86.0,1953.0,3671.0,64.0,336.0,509320.0,516877.0,2021
Not an Australian Citizen,South Australia,0.0,89.0,87.0,145.0,9.0,810.0,1463.0,5.0,57.0,155938.0,158594.0,2021
Not an Australian Citizen,Western Australia,26.0,73.0,194.0,92.0,49.0,508.0,1118.0,44.0,102.0,299996.0,302201.0,2021
Not an Australian Citizen,Tasmania,0.0,17.0,28.0,56.0,0.0,274.0,558.0,14.0,0.0,42995.0,43940.0,2021
Not an Australian Citizen,Northern Territory,15.0,49.0,75.0,38.0,7.0,139.0,217.0,8.0,22.0,26029.0,26590.0,2021
Not an Australian Citizen,Australian Capital Territory,0.0,81.0,24.0,42.0,4.0,301.0,591.0,0.0,0.0,46484.0,47522.0,2021
Not an Australian Citizen,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,725.0,2021
Not stated,New South Wales,601.0,2220.0,131.0,2362.0,1079.0,289.0,374.0,13.0,152.0,401331.0,408556.0,2021
Not stated,Victoria,928.0,2262.0,68.0,3060.0,1245.0,126.0,189.0,4.0,76.0,287544.0,295504.0,2021
Not stated,Queensland,1398.0,936.0,85.0,757.0,59.0,158.0,173.0,12.0,190.0,301210.0,304973.0,2021
Not stated,South Australia,276.0,678.0,35.0,188.0,59.0,59.0,61.0,0.0,22.0,70827.0,72206.0,2021
Not stated,Western Australia,2060.0,639.0,298.0,182.0,6.0,68.0,110.0,6.0,96.0,152234.0,155691.0,2021
Not stated,Tasmania,202.0,112.0,10.0,40.0,0.0,10.0,21.0,0.0,10.0,24743.0,25159.0,2021
Not stated,Northern Territory,259.0,716.0,67.0,3.0,0.0,131.0,45.0,16.0,29.0,27320.0,28581.0,2021
Not stated,Australian Capital Territory,56.0,296.0,5.0,25.0,0.0,3.0,18.0,0.0,8.0,15961.0,16370.0,2021
Not stated,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.0,871.0,2021
Total,New South Wales,956.0,5035.0,4088.0,8843.0,1423.0,14632.0,29956.0,642.0,2331.0,7984621.0,8052530.0,2021
Total,Victoria,1022.0,7820.0,2531.0,8578.0,1583.0,9068.0,19334.0,257.0,1716.0,6408081.0,6459990.0,2021
Total,Queensland,2051.0,4119.0,4981.0,2972.0,488.0,7839.0,14347.0,1088.0,3314.0,5154551.0,5195745.0,2021
Total,South Australia,323.0,2497.0,1322.0,659.0,255.0,2352.0,4530.0,127.0,501.0,1760688.0,1773257.0,2021
Total,Western Australia,2322.0,1604.0,2143.0,637.0,110.0,2935.0,5334.0,430.0,1027.0,2652822.0,2669363.0,2021
Total,Tasmania,231.0,535.0,588.0,257.0,29.0,709.0,1433.0,79.0,240.0,548765.0,552867.0,2021
Total,Northern Territory,666.0,1815.0,670.0,67.0,42.0,9904.0,5060.0,156.0,218.0,242719.0,261309.0,2021
Total,Australian Capital Territory,59.0,867.0,274.0,134.0,6.0,447.0,1024.0,0.0,26.0,449481.0,452302.0,2021
Total,Other Territories,0.0,0.0,4.0,0.0,0.0,7.0,18.0,0.0,0.0,5394.0,5425.0,2021
Australian,New South Wales,704.0,3791.0,4440.0,3166.0,178.0,7420.0,17343.0,1578.0,2594.0,6135280.0,6176496.0,2016
Australian,Victoria,179.0,4119.0,2474.0,1914.0,68.0,4003.0,9990.0,396.0,1564.0,4770589.0,4795297.0,2016
Australian,Queensland,883.0,2269.0,4122.0,1869.0,146.0,5399.0,8384.0,1587.0,3320.0,3910048.0,3938037.0,2016
Australian,South Australia,118.0,926.0,1139.0,528.0,28.0,1092.0,2464.0,236.0,332.0,1417073.0,1423944.0,2016
Australian,Western Australia,352.0,572.0,1617.0,669.0,38.0,2632.0,3629.0,674.0,821.0,1953568.0,1964577.0,2016
Australian,Tasmania,52.0,435.0,452.0,111.0,14.0,177.0,536.0,126.0,111.0,445206.0,447219.0,2016
Australian,Northern Territory,845.0,519.0,357.0,235.0,15.0,10716.0,4724.0,257.0,195.0,177725.0,195595.0,2016
Australian,Australian Capital Territory,9.0,432.0,234.0,28.0,6.0,152.0,345.0,0.0,37.0,332706.0,333942.0,2016
Australian,Other Territories,0.0,0.0,0.0,0.0,0.0,24.0,26.0,0.0,0.0,3686.0,3740.0,2016
Not Australian,New South Wales,84.0,482.0,774.0,1758.0,36.0,9030.0,14476.0,148.0,251.0,761390.0,788434.0,2016
Not Australian,Victoria,27.0,654.0,500.0,1269.0,40.0,4719.0,9346.0,42.0,197.0,682416.0,699205.0,2016
Not Australian,Queensland,90.0,334.0,579.0,644.0,55.0,2044.0,3827.0,126.0,419.0,456359.0,464466.0,2016
Not Australian,South Australia,9.0,108.0,127.0,146.0,6.0,1006.0,1270.0,22.0,48.0,140214.0,142949.0,2016
Not Australian,Western Australia,61.0,68.0,291.0,190.0,11.0,1135.0,2049.0,90.0,140.0,325475.0,329504.0,2016
Not Australian,Tasmania,0.0,42.0,20.0,20.0,11.0,89.0,143.0,9.0,6.0,22202.0,22537.0,2016
Not Australian,Northern Territory,38.0,19.0,43.0,40.0,0.0,192.0,307.0,18.0,35.0,22250.0,22955.0,2016
Not Australian,Australian Capital Territory,0.0,112.0,38.0,18.0,3.0,214.0,353.0,0.0,0.0,35864.0,36602.0,2016
Not Australian,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.0,804.0,2016
Not stated,New South Wales,1796.0,1566.0,156.0,1932.0,8.0,373.0,690.0,34.0,159.0,497394.0,504102.0,2016
Not stated,Victoria,910.0,2401.0,105.0,1231.0,4.0,211.0,444.0,0.0,105.0,373021.0,378436.0,2016
