SEXP SEX,AGE,STATE,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Male,10-14 years,Western Australia,17.0,36.0,25.0,5.0,0.0,145.0,302.0,11.0,10.0,87805.0,88352.0,2021
Male,10-14 years,Tasmania,0.0,26.0,16.0,0.0,0.0,29.0,64.0,0.0,7.0,16950.0,17085.0,2021
Male,10-14 years,Northern Territory,7.0,45.0,11.0,0.0,0.0,511.0,243.0,10.0,0.0,7619.0,8448.0,2021
Male,10-14 years,Australian Capital Territory,0.0,32.0,0.0,0.0,0.0,18.0,26.0,0.0,0.0,13884.0,13958.0,2021
Male,10-14 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,164.0,2021
Male,15-19 years,New South Wales,11.0,277.0,98.0,84.0,40.0,584.0,1383.0,13.0,27.0,233577.0,236093.0,2021
Male,15-19 years,Victoria,4.0,434.0,59.0,105.0,50.0,451.0,1024.0,6.0,15.0,184505.0,186652.0,2021
Male,15-19 years,Queensland,46.0,180.0,110.0,54.0,8.0,459.0,918.0,24.0,37.0,158659.0,160495.0,2021
Male,15-19 years,South Australia,0.0,143.0,34.0,19.0,0.0,139.0,297.0,3.0,3.0,50403.0,51038.0,2021
Male,15-19 years,Western Australia,26.0,74.0,57.0,20.0,0.0,178.0,311.0,6.0,13.0,77940.0,78612.0,2021
Male,15-19 years,Tasmania,5.0,36.0,21.0,0.0,0.0,36.0,62.0,3.0,0.0,15308.0,15470.0,2021
Male,15-19 years,Northern Territory,10.0,46.0,11.0,0.0,0.0,610.0,295.0,0.0,0.0,6447.0,7411.0,2021
Male,15-19 years,Australian Capital Territory,0.0,48.0,11.0,3.0,0.0,10.0,29.0,0.0,0.0,13338.0,13445.0,2021
Male,15-19 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,2021
Male,20-24 years,New South Wales,34.0,236.0,176.0,572.0,43.0,1322.0,2741.0,14.0,46.0,249570.0,254746.0,2021
Male,20-24 years,Victoria,12.0,397.0,108.0,992.0,69.0,916.0,1903.0,5.0,30.0,206215.0,210634.0,2021
Male,20-24 years,Queensland,79.0,133.0,180.0,172.0,12.0,580.0,913.0,22.0,53.0,160490.0,162638.0,2021
Male,20-24 years,South Australia,11.0,99.0,57.0,52.0,5.0,225.0,365.0,4.0,9.0,55013.0,55843.0,2021
Male,20-24 years,Western Australia,63.0,74.0,108.0,39.0,0.0,174.0,335.0,11.0,17.0,80207.0,81024.0,2021
Male,20-24 years,Tasmania,5.0,52.0,34.0,10.0,0.0,53.0,94.0,0.0,6.0,15499.0,15758.0,2021
Male,20-24 years,Northern Territory,15.0,48.0,18.0,3.0,0.0,531.0,290.0,4.0,6.0,7896.0,8809.0,2021
Male,20-24 years,Australian Capital Territory,4.0,42.0,17.0,22.0,0.0,38.0,94.0,0.0,0.0,17010.0,17225.0,2021
Male,20-24 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,149.0,2021
Male,25-29 years,New South Wales,48.0,126.0,235.0,853.0,73.0,1372.0,2438.0,18.0,37.0,272592.0,277792.0,2021
Male,25-29 years,Victoria,48.0,221.0,149.0,1225.0,79.0,962.0,1730.0,9.0,40.0,234422.0,238880.0,2021
Male,25-29 years,Queensland,81.0,122.0,244.0,222.0,15.0,447.0,754.0,23.0,70.0,170172.0,172144.0,2021
Male,25-29 years,South Australia,10.0,70.0,54.0,60.0,11.0,187.0,304.0,6.0,16.0,58371.0,59091.0,2021
Male,25-29 years,Western Australia,97.0,57.0,117.0,59.0,10.0,160.0,286.0,9.0,24.0,87490.0,88313.0,2021
Male,25-29 years,Tasmania,9.0,11.0,44.0,37.0,0.0,88.0,163.0,4.0,0.0,19235.0,19594.0,2021
Male,25-29 years,Northern Territory,15.0,62.0,34.0,10.0,5.0,428.0,248.0,3.0,0.0,10283.0,11091.0,2021
Male,25-29 years,Australian Capital Territory,4.0,28.0,15.0,19.0,0.0,73.0,156.0,0.0,3.0,19417.0,19716.0,2021
Male,25-29 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,217.0,2021
Male,30-34 years,New South Wales,40.0,125.0,238.0,756.0,88.0,779.0,1411.0,10.0,47.0,282142.0,285640.0,2021
Male,30-34 years,Victoria,53.0,206.0,141.0,726.0,76.0,374.0,782.0,9.0,34.0,240267.0,242663.0,2021
Male,30-34 years,Queensland,112.0,124.0,254.0,207.0,19.0,283.0,463.0,33.0,81.0,170618.0,172183.0,2021
Male,30-34 years,South Australia,17.0,69.0,72.0,38.0,11.0,88.0,163.0,3.0,11.0,57746.0,58236.0,2021
Male,30-34 years,Western Australia,133.0,60.0,116.0,37.0,10.0,104.0,182.0,8.0,15.0,95546.0,96210.0,2021
Male,30-34 years,Tasmania,22.0,12.0,26.0,12.0,0.0,37.0,87.0,3.0,0.0,18575.0,18789.0,2021
Male,30-34 years,Northern Territory,32.0,55.0,29.0,10.0,5.0,372.0,192.0,7.0,9.0,10808.0,11516.0,2021
Male,30-34 years,Australian Capital Territory,0.0,45.0,10.0,11.0,0.0,45.0,77.0,0.0,0.0,18733.0,18929.0,2021
Male,30-34 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,228.0,2021
Male,35-39 years,New South Wales,49.0,126.0,181.0,506.0,127.0,532.0,1016.0,17.0,66.0,282258.0,284880.0,2021
Male,35-39 years,Victoria,103.0,217.0,138.0,461.0,94.0,252.0,525.0,4.0,41.0,237691.0,239522.0,2021
Male,35-39 years,Queensland,159.0,141.0,207.0,191.0,23.0,179.0,312.0,21.0,70.0,171844.0,173145.0,2021
Male,35-39 years,South Australia,22.0,74.0,59.0,58.0,11.0,77.0,126.0,3.0,7.0,57937.0,58369.0,2021
Male,35-39 years,Western Australia,153.0,60.0,134.0,38.0,0.0,95.0,136.0,18.0,18.0,99444.0,100094.0,2021
Male,35-39 years,Tasmania,13.0,13.0,28.0,14.0,0.0,24.0,49.0,4.0,10.0,16714.0,16863.0,2021
Male,35-39 years,Northern Territory,33.0,80.0,31.0,7.0,0.0,263.0,141.0,4.0,4.0,9796.0,10351.0,2021
Male,35-39 years,Australian Capital Territory,6.0,30.0,15.0,8.0,0.0,22.0,49.0,0.0,0.0,18153.0,18276.0,2021
Male,35-39 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,198.0,2021
Male,40-44 years,New South Wales,74.0,142.0,182.0,432.0,91.0,418.0,770.0,15.0,73.0,256252.0,258449.0,2021
Male,40-44 years,Victoria,103.0,219.0,114.0,439.0,89.0,178.0,404.0,6.0,53.0,210000.0,211600.0,2021
Male,40-44 years,Queensland,145.0,126.0,167.0,191.0,29.0,151.0,303.0,33.0,107.0,159972.0,161224.0,2021
Male,40-44 years,South Australia,16.0,84.0,60.0,29.0,4.0,66.0,102.0,6.0,20.0,52808.0,53200.0,2021
Male,40-44 years,Western Australia,216.0,45.0,104.0,38.0,5.0,73.0,123.0,24.0,28.0,89257.0,89922.0,2021
Male,40-44 years,Tasmania,20.0,13.0,20.0,7.0,5.0,11.0,23.0,6.0,5.0,14847.0,14948.0,2021
Male,40-44 years,Northern Territory,36.0,58.0,26.0,4.0,0.0,245.0,131.0,3.0,3.0,8426.0,8941.0,2021
Male,40-44 years,Australian Capital Territory,11.0,48.0,7.0,8.0,0.0,15.0,31.0,0.0,3.0,15835.0,15956.0,2021
Male,40-44 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,169.0,2021
Male,45-49 years,New South Wales,68.0,120.0,178.0,511.0,95.0,361.0,622.0,24.0,111.0,250991.0,253089.0,2021
Male,45-49 years,Victoria,87.0,236.0,118.0,431.0,93.0,186.0,392.0,15.0,89.0,200925.0,202581.0,2021
Male,45-49 years,Queensland,151.0,154.0,157.0,244.0,23.0,155.0,275.0,46.0,137.0,164625.0,165967.0,2021
Male,45-49 years,South Australia,30.0,44.0,56.0,31.0,4.0,51.0,103.0,3.0,29.0,53799.0,54143.0,2021
Male,45-49 years,Western Australia,197.0,41.0,92.0,44.0,0.0,57.0,114.0,12.0,45.0,87021.0,87632.0,2021
Male,45-49 years,Tasmania,7.0,15.0,25.0,17.0,0.0,12.0,22.0,3.0,19.0,15911.0,16026.0,2021
Male,45-49 years,Northern Territory,44.0,85.0,23.0,0.0,0.0,200.0,117.0,5.0,4.0,7892.0,8380.0,2021
Male,45-49 years,Australian Capital Territory,6.0,34.0,12.0,8.0,0.0,12.0,26.0,0.0,0.0,14436.0,14523.0,2021
Male,45-49 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,178.0,2021
Male,50-54 years,New South Wales,85.0,113.0,135.0,555.0,74.0,321.0,611.0,24.0,108.0,241197.0,243224.0,2021
Male,50-54 years,Victoria,117.0,158.0,97.0,431.0,59.0,182.0,391.0,6.0,100.0,196542.0,198089.0,2021
Male,50-54 years,Queensland,151.0,114.0,158.0,235.0,13.0,123.0,268.0,42.0,186.0,161542.0,162831.0,2021
Male,50-54 years,South Australia,27.0,42.0,57.0,64.0,4.0,35.0,96.0,7.0,32.0,56114.0,56476.0,2021
Male,50-54 years,Western Australia,204.0,38.0,83.0,28.0,3.0,39.0,115.0,29.0,54.0,86790.0,87373.0,2021
Male,50-54 years,Tasmania,16.0,10.0,31.0,16.0,3.0,9.0,15.0,3.0,18.0,17026.0,17140.0,2021
Male,50-54 years,Northern Territory,47.0,84.0,21.0,0.0,0.0,184.0,89.0,5.0,9.0,8074.0,8519.0,2021
Male,50-54 years,Australian Capital Territory,0.0,41.0,11.0,9.0,0.0,16.0,17.0,0.0,4.0,13212.0,13302.0,2021
Male,50-54 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,208.0,2021
Male,55-59 years,New South Wales,80.0,97.0,142.0,532.0,55.0,305.0,540.0,50.0,172.0,237683.0,239659.0,2021
Male,55-59 years,Victoria,73.0,87.0,86.0,357.0,54.0,115.0,311.0,3.0,148.0,183933.0,185182.0,2021
Male,55-59 years,Queensland,133.0,65.0,164.0,225.0,12.0,124.0,210.0,60.0,240.0,153364.0,154584.0,2021
Male,55-59 years,South Australia,37.0,20.0,52.0,39.0,8.0,49.0,73.0,8.0,28.0,55443.0,55752.0,2021
Male,55-59 years,Western Australia,137.0,30.0,74.0,48.0,0.0,33.0,79.0,28.0,66.0,80984.0,81469.0,2021
Male,55-59 years,Tasmania,8.0,4.0,21.0,10.0,0.0,7.0,12.0,5.0,15.0,17669.0,17749.0,2021
Male,55-59 years,Northern Territory,50.0,74.0,28.0,4.0,0.0,112.0,74.0,10.0,17.0,7721.0,8082.0,2021
Male,55-59 years,Australian Capital Territory,4.0,38.0,3.0,0.0,0.0,6.0,15.0,0.0,0.0,11471.0,11538.0,2021
Male,55-59 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,223.0,2021
Male,60-64 years,New South Wales,53.0,72.0,143.0,545.0,32.0,188.0,368.0,40.0,177.0,225525.0,227142.0,2021
Male,60-64 years,Victoria,70.0,51.0,77.0,351.0,36.0,103.0,190.0,23.0,131.0,170965.0,172002.0,2021
Male,60-64 years,Queensland,88.0,61.0,205.0,219.0,23.0,109.0,140.0,72.0,256.0,146161.0,147326.0,2021
Male,60-64 years,South Australia,28.0,24.0,57.0,43.0,0.0,38.0,46.0,7.0,43.0,53942.0,54230.0,2021
Male,60-64 years,Western Australia,98.0,38.0,72.0,39.0,6.0,35.0,46.0,29.0,50.0,74177.0,74586.0,2021
Male,60-64 years,Tasmania,18.0,4.0,10.0,16.0,0.0,3.0,12.0,6.0,20.0,17995.0,18086.0,2021
Male,60-64 years,Northern Territory,25.0,47.0,19.0,0.0,3.0,91.0,48.0,9.0,16.0,7270.0,7531.0,2021
Male,60-64 years,Australian Capital Territory,0.0,17.0,7.0,0.0,0.0,7.0,0.0,0.0,3.0,9979.0,10020.0,2021
Male,60-64 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,234.0,2021
Male,65-69 years,New South Wales,61.0,43.0,125.0,386.0,27.0,129.0,264.0,36.0,157.0,197503.0,198730.0,2021
Male,65-69 years,Victoria,43.0,31.0,81.0,243.0,33.0,72.0,135.0,17.0,132.0,148509.0,149294.0,2021
Male,65-69 years,Queensland,57.0,55.0,214.0,158.0,19.0,64.0,112.0,69.0,272.0,131596.0,132626.0,2021
Male,65-69 years,South Australia,17.0,11.0,42.0,26.0,0.0,13.0,26.0,8.0,44.0,48347.0,48531.0,2021
Male,65-69 years,Western Australia,62.0,22.0,48.0,24.0,3.0,18.0,33.0,24.0,92.0,64461.0,64776.0,2021
Male,65-69 years,Tasmania,21.0,0.0,15.0,24.0,0.0,4.0,6.0,3.0,19.0,16478.0,16575.0,2021
Male,65-69 years,Northern Territory,24.0,45.0,18.0,0.0,9.0,58.0,28.0,13.0,23.0,6515.0,6734.0,2021
Male,65-69 years,Australian Capital Territory,3.0,12.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,8408.0,8439.0,2021
Male,65-69 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,191.0,2021
Male,70-74 years,New South Wales,29.0,9.0,106.0,310.0,12.0,75.0,154.0,41.0,159.0,177977.0,178865.0,2021
Male,70-74 years,Victoria,21.0,34.0,41.0,145.0,4.0,43.0,88.0,11.0,142.0,130934.0,131457.0,2021
Male,70-74 years,Queensland,46.0,34.0,149.0,131.0,14.0,38.0,85.0,47.0,266.0,120891.0,121706.0,2021
Male,70-74 years,South Australia,7.0,9.0,29.0,17.0,3.0,6.0,22.0,6.0,30.0,44182.0,44312.0,2021
Male,70-74 years,Western Australia,57.0,14.0,33.0,10.0,0.0,20.0,22.0,18.0,70.0,56806.0,57050.0,2021
Male,70-74 years,Tasmania,18.0,4.0,6.0,9.0,0.0,0.0,5.0,0.0,20.0,14939.0,15001.0,2021
Male,70-74 years,Northern Territory,6.0,24.0,16.0,0.0,0.0,33.0,20.0,12.0,11.0,4827.0,4948.0,2021
Male,70-74 years,Australian Capital Territory,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7748.0,7770.0,2021
Male,70-74 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,170.0,2021
Male,75-79 years,New South Wales,15.0,8.0,42.0,144.0,7.0,38.0,85.0,22.0,111.0,126932.0,127397.0,2021
Male,75-79 years,Victoria,10.0,15.0,25.0,93.0,7.0,19.0,40.0,6.0,91.0,93146.0,93440.0,2021
Male,75-79 years,Queensland,21.0,16.0,74.0,69.0,7.0,24.0,31.0,31.0,140.0,84315.0,84729.0,2021
Male,75-79 years,South Australia,0.0,6.0,10.0,14.0,0.0,3.0,8.0,0.0,18.0,31041.0,31107.0,2021
Male,75-79 years,Western Australia,26.0,12.0,15.0,22.0,3.0,6.0,15.0,6.0,39.0,37763.0,37907.0,2021
Male,75-79 years,Tasmania,5.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,3.0,10203.0,10222.0,2021
Male,75-79 years,Northern Territory,4.0,13.0,9.0,0.0,0.0,18.0,7.0,0.0,15.0,2387.0,2458.0,2021
Male,75-79 years,Australian Capital Territory,0.0,7.0,4.0,0.0,0.0,0.0,3.0,0.0,4.0,5273.0,5291.0,2021
Male,75-79 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,93.0,2021
Male,80-84 years,New South Wales,0.0,5.0,22.0,65.0,5.0,25.0,53.0,10.0,62.0,82753.0,83003.0,2021
Male,80-84 years,Victoria,3.0,3.0,10.0,48.0,3.0,19.0,27.0,8.0,31.0,62742.0,62878.0,2021
Male,80-84 years,Queensland,8.0,3.0,19.0,39.0,0.0,9.0,20.0,6.0,69.0,50870.0,51049.0,2021
Male,80-84 years,South Australia,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,7.0,20215.0,20230.0,2021
Male,80-84 years,Western Australia,9.0,16.0,5.0,8.0,0.0,4.0,7.0,8.0,14.0,24218.0,24278.0,2021
Male,80-84 years,Tasmania,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,6570.0,6580.0,2021
Male,80-84 years,Northern Territory,0.0,6.0,0.0,0.0,0.0,9.0,9.0,0.0,3.0,1076.0,1104.0,2021
Male,80-84 years,Australian Capital Territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3295.0,3296.0,2021
Male,80-84 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,2021
Male,85-89 years,New South Wales,4.0,4.0,4.0,38.0,0.0,8.0,22.0,9.0,30.0,45951.0,46069.0,2021
Male,85-89 years,Victoria,0.0,3.0,0.0,0.0,0.0,5.0,8.0,0.0,12.0,35140.0,35174.0,2021
Male,85-89 years,Queensland,6.0,3.0,3.0,3.0,0.0,5.0,8.0,5.0,17.0,25604.0,25657.0,2021
Male,85-89 years,South Australia,0.0,3.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,11533.0,11544.0,2021
Male,85-89 years,Western Australia,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,12874.0,12900.0,2021
Male,85-89 years,Tasmania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3349.0,3347.0,2021
Male,85-89 years,Northern Territory,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,360.0,377.0,2021
Male,85-89 years,Australian Capital Territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1842.0,1850.0,2021
Male,85-89 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,2021
Male,90-94 years,New South Wales,0.0,0.0,0.0,9.0,0.0,4.0,9.0,0.0,11.0,20041.0,20069.0,2021
Male,90-94 years,Victoria,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,7.0,15596.0,15614.0,2021
Male,90-94 years,Queensland,0.0,3.0,0.0,4.0,0.0,4.0,4.0,4.0,15.0,10507.0,10534.0,2021
Male,90-94 years,South Australia,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,5218.0,5228.0,2021
Male,90-94 years,Western Australia,0.0,13.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,5373.0,5392.0,2021
Male,90-94 years,Tasmania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1370.0,1370.0,2021
Male,90-94 years,Northern Territory,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,138.0,139.0,2021
Male,90-94 years,Australian Capital Territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807.0,807.0,2021
Male,90-94 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,2021
Male,95-99 years,New South Wales,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,4441.0,4450.0,2021
Male,95-99 years,Victoria,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,3531.0,3538.0,2021
Male,95-99 years,Queensland,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2196.0,2208.0,2021
Male,95-99 years,South Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1254.0,1254.0,2021
Male,95-99 years,Western Australia,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1237.0,1244.0,2021
Male,95-99 years,Tasmania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,271.0,2021
Male,95-99 years,Northern Territory,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,24.0,32.0,2021
Male,95-99 years,Australian Capital Territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,193.0,2021
Male,95-99 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Male,100 years and over,New South Wales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,394.0,2021
Male,100 years and over,Victoria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,292.0,2021
Male,100 years and over,Queensland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,194.0,2021
Male,100 years and over,South Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,2021
Male,100 years and over,Western Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,109.0,2021
Male,100 years and over,Tasmania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,2021
Male,100 years and over,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2021
Male,100 years and over,Australian Capital Territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,2021
Male,100 years and over,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Male,Total,New South Wales,657.0,2242.0,2250.0,6342.0,854.0,8003.0,15886.0,377.0,1457.0,3936313.0,3974388.0,2021
Male,Total,Victoria,769.0,3572.0,1394.0,6088.0,852.0,4958.0,10336.0,147.0,1124.0,3149854.0,3179099.0,2021
Male,Total,Queensland,1325.0,2004.0,2638.0,2370.0,221.0,3951.0,7083.0,620.0,2103.0,2535896.0,2558214.0,2021
Male,Total,South Australia,228.0,1115.0,727.0,501.0,102.0,1270.0,2358.0,76.0,318.0,867486.0,874185.0,2021
Male,Total,Western Australia,1512.0,722.0,1156.0,469.0,52.0,1435.0,2662.0,244.0,592.0,1320516.0,1329364.0,2021
Male,Total,Tasmania,158.0,254.0,329.0,186.0,13.0,387.0,759.0,42.0,144.0,269007.0,271277.0,2021
Male,Total,Northern Territory,365.0,880.0,344.0,42.0,19.0,4689.0,2463.0,92.0,132.0,123528.0,132550.0,2021
Male,Total,Australian Capital Territory,44.0,492.0,135.0,99.0,0.0,278.0,587.0,0.0,16.0,221538.0,223190.0,2021
Male,Total,Other Territories,0.0,0.0,3.0,0.0,0.0,3.0,6.0,0.0,0.0,2867.0,2883.0,2021
Female,0-4 years,New South Wales,4.0,252.0,78.0,20.0,24.0,487.0,1067.0,8.0,23.0,225202.0,227178.0,2021
Female,0-4 years,Victoria,0.0,401.0,64.0,15.0,33.0,330.0,684.0,6.0,14.0,181308.0,182851.0,2021
Female,0-4 years,Queensland,4.0,202.0,105.0,5.0,4.0,371.0,620.0,20.0,31.0,140663.0,142031.0,2021
Female,0-4 years,South Australia,3.0,163.0,21.0,0.0,10.0,76.0,167.0,0.0,5.0,45422.0,45870.0,2021
Female,0-4 years,Western Australia,11.0,44.0,61.0,4.0,0.0,128.0,261.0,11.0,11.0,78019.0,78544.0,2021
Female,0-4 years,Tasmania,0.0,26.0,7.0,0.0,0.0,25.0,67.0,0.0,5.0,13620.0,13758.0,2021
Female,0-4 years,Northern Territory,6.0,66.0,16.0,0.0,0.0,441.0,226.0,0.0,3.0,7283.0,8046.0,2021
Female,0-4 years,Australian Capital Territory,0.0,40.0,3.0,0.0,0.0,19.0,30.0,0.0,0.0,12777.0,12875.0,2021
Female,0-4 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,112.0,2021
Female,5-9 years,New South Wales,3.0,207.0,76.0,14.0,28.0,537.0,1182.0,6.0,16.0,240971.0,243025.0,2021
