SEXP SEX,AGE,STATE,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Male,0-4 years,New South Wales,8.0,271.0,109.0,26.0,30.0,521.0,1077.0,11.0,17.0,238326.0,240397.0,2021
Male,0-4 years,Victoria,0.0,425.0,57.0,26.0,40.0,309.0,726.0,3.0,16.0,190758.0,192353.0,2021
Male,0-4 years,Queensland,18.0,292.0,112.0,11.0,0.0,411.0,674.0,29.0,39.0,149506.0,151098.0,2021
Male,0-4 years,South Australia,0.0,147.0,28.0,0.0,7.0,96.0,161.0,6.0,3.0,47873.0,48325.0,2021
Male,0-4 years,Western Australia,9.0,49.0,46.0,0.0,0.0,148.0,251.0,7.0,7.0,82759.0,83289.0,2021
Male,0-4 years,Tasmania,0.0,31.0,12.0,0.0,0.0,27.0,69.0,0.0,3.0,14379.0,14519.0,2021
Male,0-4 years,Northern Territory,8.0,65.0,27.0,0.0,0.0,471.0,234.0,5.0,0.0,7916.0,8724.0,2021
Male,0-4 years,Australian Capital Territory,0.0,30.0,9.0,0.0,0.0,15.0,39.0,0.0,0.0,13643.0,13734.0,2021
Male,0-4 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,129.0,2021
Male,5-9 years,New South Wales,3.0,250.0,78.0,12.0,25.0,523.0,1170.0,8.0,19.0,255014.0,257099.0,2021
Male,5-9 years,Victoria,0.0,458.0,59.0,7.0,40.0,361.0,804.0,8.0,8.0,204582.0,206315.0,2021
Male,5-9 years,Queensland,16.0,206.0,110.0,3.0,4.0,404.0,808.0,22.0,23.0,167695.0,169297.0,2021
Male,5-9 years,South Australia,3.0,139.0,30.0,3.0,14.0,93.0,230.0,3.0,5.0,52764.0,53283.0,2021
Male,5-9 years,Western Australia,18.0,37.0,39.0,5.0,0.0,145.0,306.0,12.0,13.0,88272.0,88842.0,2021
Male,5-9 years,Tasmania,6.0,19.0,16.0,0.0,0.0,27.0,71.0,0.0,6.0,15717.0,15861.0,2021
Male,5-9 years,Northern Territory,7.0,40.0,20.0,0.0,0.0,539.0,290.0,0.0,0.0,8050.0,8949.0,2021
Male,5-9 years,Australian Capital Territory,0.0,40.0,3.0,0.0,0.0,4.0,28.0,0.0,0.0,14833.0,14911.0,2021
Male,5-9 years,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,144.0,151.0,2021
Male,10-14 years,New South Wales,9.0,211.0,70.0,26.0,24.0,492.0,1160.0,18.0,22.0,255185.0,257221.0,2021
Male,10-14 years,Victoria,3.0,387.0,44.0,13.0,38.0,406.0,853.0,10.0,17.0,199164.0,200932.0,2021
Male,10-14 years,Queensland,11.0,170.0,99.0,0.0,6.0,384.0,784.0,20.0,25.0,175082.0,176580.0,2021
Male,10-14 years,South Australia,0.0,139.0,25.0,3.0,7.0,103.0,233.0,3.0,5.0,53331.0,53855.0,2021
