Date,Category,Subcategory,Detail,Item,Newtenanciestime,Region,Value
31/05/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,East Metro,119.3194748
31/05/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Great Southern,94.04081633
31/05/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Southwest,137.3528139
31/05/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Goldfields,109.6931217
31/05/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Midwest/Gascoyne,119.6038292
31/05/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Pilbara,131.1345622
31/05/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,West Kimberley,225.4693878
31/05/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Wheatbelt,80.67410714
31/05/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,East Kimberley,134.0338346
31/05/2023,Priority new tenancies last 12 months,Applications,,New tenancies by region,,North Metro,616
31/05/2023,Priority new tenancies last 12 months,Applications,,New tenancies by region,,South Metro,362
31/05/2023,Priority new tenancies last 12 months,Applications,,New tenancies by region,,East Metro,366
31/05/2023,Priority new tenancies last 12 months,Applications,,New tenancies by region,,Great Southern,56
31/05/2023,Priority new tenancies last 12 months,Applications,,New tenancies by region,,Southwest,74
31/05/2023,Priority new tenancies last 12 months,Applications,,New tenancies by region,,Goldfields,56
31/05/2023,Priority new tenancies last 12 months,Applications,,New tenancies by region,,Midwest/Gascoyne,67
31/05/2023,Priority new tenancies last 12 months,Applications,,New tenancies by region,,Pilbara,100
31/05/2023,Priority new tenancies last 12 months,Applications,,New tenancies by region,,West Kimberley,31
31/05/2023,Priority new tenancies last 12 months,Applications,,New tenancies by region,,Wheatbelt,27
31/05/2023,Priority new tenancies last 12 months,Applications,,New tenancies by region,,East Kimberley,16
31/05/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,North Metro,73.21660482
31/05/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,South Metro,79.74585635
31/05/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,East Metro,66.41451991
31/05/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Great Southern,57.76785714
31/05/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Southwest,50.52895753
31/05/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Goldfields,57.35204082
31/05/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Midwest/Gascoyne,61.23667377
31/05/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Pilbara,92.45714286
31/05/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,West Kimberley,106.4516129
31/05/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Wheatbelt,50.93650794
31/05/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,East Kimberley,100.5178571
31/05/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,WA,72
31/05/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,WA,132
31/05/2023,Total Waitlist,Applications,Singles 1 bedroom,Dwelling need,,WA,8795
31/05/2023,Total Waitlist,Applications,Singles 2 bedroom,Dwelling need,,WA,458
31/05/2023,Total Waitlist,Applications,Seniors 1 bedroom,Dwelling need,,WA,2993
31/05/2023,Total Waitlist,Applications,Seniors 2 bedroom,Dwelling need,,WA,270
31/05/2023,Total Waitlist,Applications,Family 2 bedroom,Dwelling need,,WA,3108
31/05/2023,Total Waitlist,Applications,Family 3 bedroom,Dwelling need,,WA,2007
