DATE,POPULATION
31/03/2011,2337611
30/04/2011,2878563
31/05/2011,2878563
30/06/2011,2353409
31/07/2011,2878563
31/08/2011,2878563
30/09/2011,2369612
31/10/2011,2878563
30/11/2011,2878563
31/12/2011,2385947
31/01/2012,2878563
29/02/2012,2878563
31/03/2012,2408108
30/04/2012,2878563
31/05/2012,2878563
30/06/2012,2425507
31/07/2012,2878563
31/08/2012,2878563
30/09/2012,2442876
31/10/2012,2878563
30/11/2012,2878563
31/12/2012,2457489
31/01/2013,2878563
28/02/2013,2878563
31/03/2013,2475242
30/04/2013,2878563
31/05/2013,2878563
30/06/2013,2486944
31/07/2013,2878563
31/08/2013,2878563
30/09/2013,2496285
31/10/2013,2878563
30/11/2013,2878563
31/12/2013,2502188
31/01/2014,2878563
28/02/2014,2878563
31/03/2014,2512556
30/04/2014,2878563
31/05/2014,2878563
30/06/2014,2517608
31/07/2014,2878563
31/08/2014,2878563
30/09/2014,2524042
31/10/2014,2878563
30/11/2014,2878563
31/12/2014,2528619
31/01/2015,2878563
28/02/2015,2878563
31/03/2015,2536604
30/04/2015,2878563
31/05/2015,2878563
30/06/2015,2540672
31/07/2015,2878563
31/08/2015,2878563
30/09/2015,2545509
31/10/2015,2878563
30/11/2015,2878563
31/12/2015,2547745
31/01/2016,2878563
29/02/2016,2878563
31/03/2016,2554506
30/04/2016,2878563
31/05/2016,2878563
30/06/2016,2555978
31/07/2016,2878563
31/08/2016,2878563
30/09/2016,2564492
31/10/2016,2878563
30/11/2016,2878563
31/12/2016,2569606
31/01/2017,2878563
28/02/2017,2878563
31/03/2017,2579276
30/04/2017,2878563
31/05/2017,2878563
30/06/2017,2585720
31/07/2017,2878563
31/08/2017,2878563
30/09/2017,2594138
31/10/2017,2878563
30/11/2017,2878563
31/12/2017,2599928
31/01/2018,2878563
28/02/2018,2878563
31/03/2018,2610320
30/04/2018,2878563
31/05/2018,2878563
30/06/2018,2617792
31/07/2018,2878563
31/08/2018,2878563
30/09/2018,2628121
31/10/2018,2878563
30/11/2018,2878563
31/12/2018,2636404
31/01/2019,2878563
28/02/2019,2878563
31/03/2019,2649641
30/04/2019,2878563
31/05/2019,2878563
30/06/2019,2659625
31/07/2019,2878563
31/08/2019,2878563
30/09/2019,2674246
31/10/2019,2878563
30/11/2019,2878563
31/12/2019,2688799
31/01/2020,2878563
29/02/2020,2878563
31/03/2020,2706350
30/04/2020,2878563
31/05/2020,2878563
30/06/2020,2712912
31/07/2020,2878563
31/08/2020,2878563
30/09/2020,2720001
31/10/2020,2878563
30/11/2020,2878563
31/12/2020,2728187
31/01/2021,2878563
28/02/2021,2878563
31/03/2021,2739105
30/04/2021,2878563
31/05/2021,2878563
30/06/2021,2749365
31/07/2021,2878563
31/08/2021,2878563
30/09/2021,2753214
31/10/2021,2878563
30/11/2021,2878563
31/12/2021,2763015
31/01/2022,2878563
28/02/2022,2878563
31/03/2022,2777252
30/04/2022,2878563
31/05/2022,2878563
30/06/2022,2791794
31/07/2022,2878563
31/08/2022,2878563
30/09/2022,2811967
31/10/2022,2878563
30/11/2022,2878563
31/12/2022,2832040
31/01/2023,2878563
28/02/2023,2878563
31/03/2023,2858839
30/04/2023,2878563
31/05/2023,2878563
30/06/2023,2878563
