Sex,Date,NSW_Population,Vic_Population,Qld_Population,WA_Population,SA_Population,Tas_Population,ACT_Population,NT_Population,National_Population
Female,2011-03-31,3626854,2787532,2233267,1160322,826543,256749,184338,109422,11186098
Female,2011-06-30,3633420,2796858,2242819,1168359,827769,256693,184989,109809,11221790
Female,2011-09-30,3644554,2810924,2253738,1176140,829637,256984,185945,110510,11269517
Female,2011-12-31,3654524,2825305,2264726,1183879,831575,256925,187088,110816,11315945
Female,2012-03-31,3667943,2842062,2278429,1193753,834197,257127,188551,111573,11374718
Female,2012-06-30,3677844,2854776,2290058,1201893,836125,256938,189383,112382,11420486
Female,2012-09-30,3689967,2869427,2301531,1210308,837901,256919,190419,113140,11470713
Female,2012-12-31,3703154,2884237,2311528,1217874,839394,257113,191139,113685,11519235
Female,2013-03-31,3718548,2902104,2323563,1226479,841784,257397,192291,114328,11577594
Female,2013-06-30,3729622,2916250,2333557,1232622,843524,257507,192890,114887,11621964
Female,2013-09-30,3743610,2933106,2343325,1238303,845544,257767,193635,115380,11671787
Female,2013-12-31,3756718,2948198,2351677,1242247,847152,258137,194627,115450,11715329
Female,2014-03-31,3773570,2966737,2362042,1247760,849869,258547,195534,115725,11770897
Female,2014-06-30,3784138,2979640,2370090,1250714,851781,258613,195886,115815,11807800
Female,2014-09-30,3798558,2996265,2378574,1254400,853397,258884,196868,116165,11854244
Female,2014-12-31,3812110,3011749,2385981,1257067,855013,259067,197690,116011,11895833
Female,2015-03-31,3828816,3031015,2395640,1261339,857844,259502,198917,116319,11950526
Female,2015-06-30,3839594,3045122,2403253,1263974,859146,259758,199576,116778,11988343
Female,2015-09-30,3854608,3063310,2411201,1267047,860839,260146,200418,117084,12035808
Female,2015-12-31,3868112,3081673,2419586,1268953,862235,260242,201178,117123,12080273
Female,2016-03-31,3886003,3104471,2431542,1272719,864510,260924,202532,117561,12141438
Female,2016-06-30,3899051,3122116,2441979,1274010,865966,261301,203324,118002,12187868
Female,2016-09-30,3916574,3138644,2452656,1278690,868362,262303,204814,118422,12242586
Female,2016-12-31,3930264,3153402,2461724,1281303,869666,263525,206376,118539,12286921
Female,2017-03-31,3948484,3174112,2473249,1286242,872591,264835,208510,118850,12349031
Female,2017-06-30,3958486,3186104,2483230,1289817,874337,265962,209598,119308,12389001
Female,2017-09-30,3972459,3201779,2493775,1294645,876451,267196,210999,119647,12439108
Female,2017-12-31,3979645,3213781,2502576,1297852,877847,268256,212360,119577,12474057
Female,2018-03-31,3995032,3233353,2515128,1303071,881150,269937,214315,119709,12533885
Female,2018-06-30,4003713,3244815,2525615,1307064,883103,271183,215465,119874,12573037
Female,2018-09-30,4017965,3260293,2536478,1312359,885958,272655,216756,119997,12624666
Female,2018-12-31,4027298,3272503,2546592,1316570,888112,274087,217936,119812,12665116
Female,2019-03-31,4041105,3291538,2558148,1323190,891684,275583,219533,119952,12722969
Female,2019-06-30,4047296,3300774,2567514,1328458,893901,276644,220508,120270,12757605
Female,2019-09-30,4059563,3316333,2578908,1336046,897407,277722,221931,120673,12810826
Female,2019-12-31,4068863,3327810,2589061,1343735,900160,279447,222767,120727,12854806
Female,2020-03-31,4081000,3341983,2601650,1352770,904519,280824,224326,121219,12910547
Female,2020-06-30,4079900,3341372,2607075,1355781,905890,281597,225327,121415,12920609
Female,2020-09-30,4073875,3330236,2610622,1359275,906843,282465,225752,121622,12912949
