Sex,Date,NSW_Population,Vic_Population,Qld_Population,WA_Population,SA_Population,Tas_Population,ACT_Population,NT_Population,National_Population
Female,2020-12-31,4071840,3318919,2615830,1363193,908039,283528,226764,121772,12912148
Female,2021-03-31,4070456,3313296,2623054,1368393,909896,284834,227650,121982,12921844
Female,2021-06-30,4071669,3310228,2630271,1373048,911534,285835,229147,121985,12936002
Female,2021-09-30,4068611,3311847,2640310,1374881,911573,285650,228753,122049,12945957
Female,2021-12-31,4074787,3318348,2653632,1379201,913468,286470,229190,122114,12979503
Female,2022-03-31,4093234,3338799,2671102,1386408,918233,287325,230671,122937,13051019
Female,2022-06-30,4106941,3352870,2685152,1393443,921083,287892,231316,123228,13104250
Female,2022-09-30,4127827,3374029,2701640,1403098,925136,288250,232764,123709,13178790
Female,2022-12-31,4146418,3395807,2718474,1412776,928310,288472,233453,123901,13249945
Female,2023-03-31,4171365,3423365,2737404,1425551,933043,288823,235268,124280,13341436
Female,2023-06-30,4191258,3443333,2755455,1434731,935956,288860,236356,124608,13412907
Male,2011-03-31,3577883,2732846,2224704,1177289,810216,254499,182399,120802,11082660
Male,2011-06-30,3585109,2740959,2233959,1185050,811845,254790,182996,121483,11118234
Male,2011-09-30,3594974,2753738,2244366,1193472,813765,254896,183943,122071,11163254
Male,2011-12-31,3604198,2766513,2253923,1202068,815608,254814,184982,122136,11206252
Male,2012-03-31,3617039,2783292,2267184,1214355,818519,254866,186302,122702,11266225
Male,2012-06-30,3626400,2796315,2278629,1223614,820600,254786,187156,123533,11312979
Male,2012-09-30,3637647,2810993,2290569,1232568,822297,254663,188167,124377,11363209
Male,2012-12-31,3650035,2825349,2299776,1239615,823688,254700,188673,125043,11408788
Male,2013-03-31,3664409,2842811,2310867,1248763,826272,254843,189791,125779,11465410
Male,2013-06-30,3674410,2856419,2319267,1254322,827964,254724,190367,126835,11506165
Male,2013-09-30,3687294,2871393,2327459,1257982,829769,254743,191055,126921,11548444
Male,2013-12-31,3698220,2884387,2333762,1259941,830900,254878,191691,126854,11582448
Male,2014-03-31,3714264,2902774,2343145,1264796,833675,255134,192656,127065,11635296
Male,2014-06-30,3724215,2915277,2349563,1266894,835164,255008,192913,127079,11667886
Male,2014-09-30,3737719,2930934,2356039,1269642,836736,255014,193786,127036,11708657
Male,2014-12-31,3750061,2945763,2361282,1271552,838094,254973,194291,126742,11744498
Male,2015-03-31,3766915,2964190,2368799,1275265,840589,255310,195574,126740,11795103
Male,2015-06-30,3776574,2977200,2374439,1276698,841522,255359,196237,127914,11827652
Male,2015-09-30,3790716,2994248,2380319,1278462,842864,255551,197122,127486,11868463
Male,2015-12-31,3803289,3011376,2385347,1278792,843702,255452,197696,126967,11904308
Male,2016-03-31,3821409,3034156,2394996,1281787,845824,255937,199141,127066,11961987
Male,2016-06-30,3833807,3051056,2403173,1281968,846877,256213,199780,127676,12003039
Male,2016-09-30,3851341,3067208,2412647,1285802,848913,257303,201226,128021,12054944
Male,2016-12-31,3865361,3082379,2421215,1288303,849914,258456,202502,127526,12098143
Male,2017-03-31,3884979,3104443,2433121,1293034,852662,259739,204507,127381,12162378
Male,2017-06-30,3896830,3116504,2443150,1295903,854336,260800,205448,128104,12203587
Male,2017-09-30,3912293,3131735,2451354,1299493,856604,262154,206965,127867,12250963
Male,2017-12-31,3921301,3144429,2458389,1302076,857807,263305,207866,127285,12284961
Male,2018-03-31,3939656,3165233,2470827,1307249,861105,264817,209495,126965,12347866
Male,2018-06-30,3950763,3178223,2481008,1310728,863034,266108,210616,127221,12390221
Male,2018-09-30,3966560,3194683,2491065,1315762,865891,267586,211661,127009,12442733
Male,2018-12-31,3976266,3207192,2499842,1319834,867603,268840,212822,126108,12481024
Male,2019-03-31,3991886,3227178,2512158,1326451,871205,270220,214268,126064,12541963
Male,2019-06-30,3999452,3236531,2521333,1331167,873494,271197,215222,126289,12577221
Male,2019-09-30,4011787,3251565,2531632,1338200,876599,272225,216702,126004,12627247
Male,2019-12-31,4019498,3262240,2540680,1345064,878768,273893,217500,125486,12665662
Male,2020-03-31,4031001,3274653,2552655,1353580,883328,275151,218709,125750,12717377
Male,2020-06-30,4030710,3273674,2558538,1357131,884465,275981,219576,126013,12728639
Male,2020-09-30,4025030,3261201,2562449,1360726,885335,276962,219997,126133,12720392
Male,2020-12-31,4022460,3248276,2568499,1364994,886475,278353,220886,126047,12718550
Male,2021-03-31,4022559,3242006,2576494,1370712,888690,280006,221923,126203,12731161
Male,2021-06-30,4025393,3237594,2585543,1376317,891067,281404,223361,126166,12749410
Male,2021-09-30,4019892,3241133,2594946,1378333,890495,281278,223075,126338,12758053
Male,2021-12-31,4026436,3247744,2607380,1383814,892265,282158,223480,126011,12791854
Male,2022-03-31,4044454,3266069,2623154,1390844,897209,282947,224986,126588,12858831
Male,2022-06-30,4059763,3277761,2635789,1398351,900132,283159,225599,127000,12910149
Male,2022-09-30,4080618,3298454,2650203,1408869,904148,283400,226922,126984,12982207
Male,2022-12-31,4099660,3321202,2666444,1419264,907266,283757,227719,126789,13054711
Male,2023-03-31,4126652,3348914,2685440,1433288,912548,284117,229432,127329,13150338
Male,2023-06-30,4148089,3369144,2703958,1443832,915748,283920,230457,127865,13225637
Total,2011-03-31,7204737,5520378,4457971,2337611,1636759,511248,366737,230224,22268758
Total,2011-06-30,7218529,5537817,4476778,2353409,1639614,511483,367985,231292,22340024
Total,2011-09-30,7239528,5564662,4498104,2369612,1643402,511880,369888,232581,22432771
Total,2011-12-31,7258722,5591818,4518649,2385947,1647183,511739,372070,232952,22522197
Total,2012-03-31,7284982,5625354,4545613,2408108,1652716,511993,374853,234275,22640943
Total,2012-06-30,7304244,5651091,4568687,2425507,1656725,511724,376539,235915,22733465
Total,2012-09-30,7327614,5680420,4592100,2442876,1660198,511582,378586,237517,22833922
Total,2012-12-31,7353189,5709586,4611304,2457489,1663082,511813,379812,238728,22928023
Total,2013-03-31,7382957,5744915,4634430,2475242,1668056,512240,382082,240107,23043004
Total,2013-06-30,7404032,5772669,4652824,2486944,1671488,512231,383257,241722,23128129
Total,2013-09-30,7430904,5804499,4670784,2496285,1675313,512510,384690,242301,23220231
Total,2013-12-31,7454938,5832585,4685439,2502188,1678052,513015,386318,242304,23297777
Total,2014-03-31,7487834,5869511,4705187,2512556,1683544,513681,388190,242790,23406193
Total,2014-06-30,7508353,5894917,4719653,2517608,1686945,513621,388799,242894,23475686
Total,2014-09-30,7536277,5927199,4734613,2524042,1690133,513898,390654,243201,23562901
Total,2014-12-31,7562171,5957512,4747263,2528619,1693107,514040,391981,242753,23640331
Total,2015-03-31,7595731,5995205,4764439,2536604,1698433,514812,394491,243059,23745629
Total,2015-06-30,7616168,6022322,4777692,2540672,1700668,515117,395813,244692,23815995
Total,2015-09-30,7645324,6057558,4791520,2545509,1703703,515697,397540,244570,23904271
Total,2015-12-31,7671401,6093049,4804933,2547745,1705937,515694,398874,244090,23984581
Total,2016-03-31,7707412,6138627,4826538,2554506,1710334,516861,401673,244627,24103425
Total,2016-06-30,7732858,6173172,4845152,2555978,1712843,517514,403104,245678,24190907
Total,2016-09-30,7767915,6205852,4865303,2564492,1717275,519606,406040,246443,24297530
Total,2016-12-31,7795625,6235781,4882939,2569606,1719580,521981,408878,246065,24385064
Total,2017-03-31,7833463,6278555,4906370,2579276,1725253,524574,413017,246231,24511409
Total,2017-06-30,7855316,6302608,4926380,2585720,1728673,526762,415046,247412,24592588
Total,2017-09-30,7884752,6333514,4945129,2594138,1733055,529350,417964,247514,24690071
Total,2017-12-31,7900946,6358210,4960965,2599928,1735654,531561,420226,246862,24759018
Total,2018-03-31,7934688,6398586,4985955,2610320,1742255,534754,423810,246674,24881751
Total,2018-06-30,7954476,6423038,5006623,2617792,1746137,537291,426081,247095,24963258
Total,2018-09-30,7984525,6454976,5027543,2628121,1751849,540241,428417,247006,25067399
Total,2018-12-31,8003564,6479695,5046434,2636404,1755715,542927,430758,245920,25146140
Total,2019-03-31,8032991,6518716,5070306,2649641,1762889,545803,433801,246016,25264932
Total,2019-06-30,8046748,6537305,5088847,2659625,1767395,547841,435730,246559,25334826
Total,2019-09-30,8071350,6567898,5110540,2674246,1774006,549947,438633,246677,25438073
Total,2019-12-31,8088361,6590050,5129741,2688799,1778928,553340,440267,246213,25520468
Total,2020-03-31,8112001,6616636,5154305,2706350,1787847,555975,443035,246969,25627924
Total,2020-06-30,8110610,6615046,5165613,2712912,1790355,557578,444903,247428,25649248
Total,2020-09-30,8098905,6591437,5173071,2720001,1792178,559427,445749,247755,25633341
Total,2020-12-31,8094300,6567195,5184329,2728187,1794514,561881,447650,247819,25630698
Total,2021-03-31,8093015,6555302,5199548,2739105,1798586,564840,449573,248185,25653005
Total,2021-06-30,8097062,6547822,5215814,2749365,1802601,567239,452508,248151,25685412
Total,2021-09-30,8088503,6552980,5235256,2753214,1802068,566928,451828,248387,25704010
Total,2021-12-31,8101223,6566092,5261012,2763015,1805733,568628,452670,248125,25771357
Total,2022-03-31,8137688,6604868,5294256,2777252,1815442,570272,455657,249525,25909850
Total,2022-06-30,8166704,6630631,5320941,2791794,1821215,571051,456915,250228,26014399
Total,2022-09-30,8208445,6672483,5351843,2811967,1829284,571650,459686,250693,26160997
Total,2022-12-31,8246078,6717009,5384918,2832040,1835576,572229,461172,250690,26304656
Total,2023-03-31,8298017,6772279,5422844,2858839,1845591,572940,464700,251609,26491774
Total,2023-06-30,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
