STATE,RNTRD RENT (WEEKLY) RANGES,NEGATIVE INCOME,NIL INCOME,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 OR MORE ($416,000 OR MORE)",PARTIAL INCOME STATED,ALL INCOMES NOT STATED,NOT APPLICABLE,TOTAL,CENSUS_YEAR
New South Wales,Nil payments,181.0,1491.0,728.0,1569.0,1601.0,3677.0,2626.0,4252.0,4120.0,5207.0,5043.0,3910.0,3547.0,5895.0,3507.0,1954.0,1414.0,668.0,722.0,580.0,601.0,216.0,3970.0,703.0,77.0,58268.0,2016
New South Wales,$1-$74,116.0,379.0,521.0,2734.0,1088.0,1345.0,693.0,812.0,750.0,693.0,643.0,514.0,625.0,974.0,557.0,355.0,358.0,87.0,88.0,69.0,66.0,19.0,810.0,572.0,14.0,14867.0,2016
New South Wales,$75-$99,81.0,262.0,366.0,2279.0,1527.0,1840.0,701.0,966.0,636.0,577.0,372.0,243.0,243.0,326.0,183.0,118.0,138.0,29.0,45.0,36.0,72.0,21.0,624.0,457.0,8.0,12166.0,2016
New South Wales,$100-$124,179.0,948.0,827.0,5005.0,12079.0,12255.0,2915.0,3637.0,2643.0,2195.0,1414.0,952.0,707.0,1098.0,567.0,345.0,431.0,211.0,67.0,99.0,167.0,21.0,2064.0,2658.0,58.0,53542.0,2016
New South Wales,$125-$149,115.0,446.0,450.0,1941.0,2987.0,4732.0,3465.0,2827.0,2003.0,1751.0,1206.0,710.0,558.0,692.0,372.0,227.0,212.0,115.0,35.0,37.0,63.0,31.0,1620.0,906.0,36.0,27524.0,2016
New South Wales,$150-$174,216.0,873.0,792.0,2803.0,4813.0,8779.0,6154.0,9359.0,4488.0,4345.0,3209.0,1645.0,1283.0,2108.0,890.0,480.0,451.0,159.0,96.0,149.0,166.0,64.0,3303.0,1817.0,61.0,58512.0,2016
New South Wales,$175-$199,171.0,637.0,512.0,1963.0,2901.0,5576.0,5289.0,6258.0,4412.0,3643.0,2656.0,1506.0,1286.0,1603.0,686.0,304.0,310.0,126.0,103.0,93.0,160.0,64.0,2739.0,1270.0,70.0,44349.0,2016
New South Wales,$200-$224,274.0,991.0,676.0,2502.0,3594.0,7120.0,6938.0,10487.0,9007.0,7764.0,5387.0,3350.0,2659.0,3479.0,1646.0,730.0,636.0,214.0,169.0,181.0,121.0,55.0,4502.0,1597.0,62.0,74151.0,2016
New South Wales,$225-$249,144.0,622.0,320.0,1112.0,1711.0,3622.0,4454.0,5968.0,5287.0,4934.0,3791.0,2657.0,2014.0,2431.0,1451.0,660.0,434.0,169.0,151.0,87.0,166.0,27.0,3071.0,916.0,50.0,46239.0,2016
New South Wales,$250-$274,222.0,924.0,479.0,1678.0,2454.0,5653.0,7490.0,9713.0,9363.0,9828.0,8106.0,5388.0,4299.0,6086.0,2784.0,1374.0,890.0,288.0,270.0,227.0,220.0,47.0,5755.0,1264.0,92.0,84890.0,2016
New South Wales,$275-$299,190.0,729.0,319.0,1162.0,1517.0,3450.0,5119.0,6809.0,7428.0,7949.0,6402.0,4301.0,3083.0,4142.0,1694.0,882.0,656.0,217.0,151.0,137.0,113.0,35.0,3451.0,840.0,49.0,60842.0,2016
New South Wales,$300-$324,273.0,1527.0,669.0,1832.0,2842.0,6025.0,8648.0,12293.0,12852.0,15747.0,13666.0,9403.0,7404.0,10628.0,4716.0,2209.0,1361.0,656.0,541.0,387.0,347.0,100.0,8011.0,1514.0,121.0,123783.0,2016
New South Wales,$325-$349,140.0,734.0,288.0,835.0,1232.0,2766.0,4632.0,6764.0,7484.0,9642.0,8582.0,6114.0,4978.0,7142.0,3107.0,1468.0,950.0,360.0,245.0,219.0,173.0,49.0,4394.0,768.0,52.0,73126.0,2016
New South Wales,$350-$374,340.0,1502.0,615.0,1683.0,2159.0,4795.0,7868.0,11143.0,13466.0,17570.0,16936.0,12572.0,10151.0,15677.0,7059.0,3493.0,2018.0,842.0,657.0,433.0,275.0,91.0,9107.0,1294.0,107.0,141839.0,2016
New South Wales,$375-$399,255.0,1077.0,388.0,927.0,1154.0,2654.0,4513.0,6774.0,8381.0,12022.0,11822.0,9674.0,8351.0,12618.0,6068.0,2754.0,1480.0,654.0,460.0,367.0,152.0,35.0,6019.0,716.0,51.0,99378.0,2016
