RAID RENT AFFORDABILITY INDICATOR,STATE,NEGATIVE INCOME,NIL INCOME,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 OR MORE ($416,000 OR MORE)",PARTIAL INCOME STATED,ALL INCOMES NOT STATED,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Households where rent payments are less than or equal to 30% of household income,New South Wales,0.0,0.0,37.0,522.0,6753.0,16606.0,10161.0,21771.0,29562.0,48308.0,91290.0,98290.0,111321.0,269000.0,182186.0,150327.0,95452.0,55922.0,85800.0,62237.0,53117.0,16716.0,0.0,0.0,0.0,1405373.0,2021
Households where rent payments are less than or equal to 30% of household income,Victoria,0.0,0.0,26.0,393.0,4086.0,10501.0,8246.0,14918.0,24658.0,48102.0,98321.0,96515.0,95322.0,205705.0,132663.0,102645.0,62294.0,36972.0,52253.0,37959.0,28358.0,8374.0,0.0,0.0,0.0,1068305.0,2021
Households where rent payments are less than or equal to 30% of household income,Queensland,0.0,0.0,22.0,564.0,4233.0,10266.0,8240.0,16699.0,27298.0,51658.0,95447.0,94797.0,96014.0,199976.0,123899.0,86792.0,50019.0,27578.0,35562.0,24726.0,15679.0,4940.0,0.0,0.0,0.0,974391.0,2021
Households where rent payments are less than or equal to 30% of household income,South Australia,0.0,0.0,9.0,277.0,2785.0,7035.0,4419.0,8812.0,13656.0,24238.0,35360.0,28419.0,26570.0,50823.0,29820.0,19686.0,10984.0,5941.0,7420.0,4895.0,3467.0,1088.0,0.0,0.0,0.0,285708.0,2021
Households where rent payments are less than or equal to 30% of household income,Western Australia,0.0,0.0,31.0,262.0,1471.0,5844.0,3943.0,7999.0,11675.0,23054.0,39342.0,36420.0,35257.0,75435.0,46533.0,38381.0,22202.0,12483.0,21151.0,14230.0,10166.0,3173.0,0.0,0.0,0.0,409041.0,2021
Households where rent payments are less than or equal to 30% of household income,Tasmania,0.0,0.0,0.0,74.0,743.0,1845.0,1583.0,3021.0,5242.0,7469.0,10618.0,8326.0,7817.0,14424.0,8216.0,5434.0,3288.0,1885.0,1893.0,1373.0,717.0,295.0,0.0,0.0,0.0,84264.0,2021
Households where rent payments are less than or equal to 30% of household income,Northern Territory,0.0,0.0,21.0,504.0,801.0,1887.0,1632.0,2910.0,3760.0,4813.0,5872.0,5643.0,5686.0,11664.0,8219.0,6046.0,4151.0,2266.0,2854.0,2022.0,1397.0,441.0,0.0,0.0,0.0,72593.0,2021
Households where rent payments are less than or equal to 30% of household income,Australian Capital Territory,0.0,0.0,0.0,95.0,662.0,1747.0,1190.0,1671.0,1667.0,2052.0,3588.0,5022.0,6032.0,16488.0,12149.0,10745.0,7438.0,4703.0,6438.0,4388.0,3809.0,1007.0,0.0,0.0,0.0,90881.0,2021
Households where rent payments are less than or equal to 30% of household income,Other Territories,0.0,0.0,0.0,0.0,5.0,21.0,15.0,45.0,46.0,90.0,84.0,73.0,84.0,183.0,150.0,123.0,70.0,40.0,27.0,27.0,29.0,0.0,0.0,0.0,0.0,1114.0,2021
Households where rent payments are more than 30% of household income,New South Wales,7312.0,26142.0,7501.0,19424.0,32903.0,52725.0,73075.0,88665.0,96395.0,108857.0,88771.0,46868.0,29739.0,31364.0,9138.0,5420.0,2381.0,888.0,4613.0,1289.0,1005.0,377.0,0.0,0.0,0.0,734829.0,2021
