LGA,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Kwinana,31.0,25.0,50.0,8.0,0.0,29.0,140.0,0.0,0.0,44456.0,44736.0,2016
Lake Grace,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1245.0,1248.0,2016
Laverton,0.0,0.0,0.0,0.0,0.0,53.0,3.0,0.0,4.0,3851.0,3909.0,2016
Leonora,0.0,0.0,30.0,0.0,0.0,0.0,13.0,0.0,4.0,3681.0,3732.0,2016
Mandurah,52.0,79.0,74.0,0.0,5.0,10.0,97.0,8.0,42.0,85490.0,85859.0,2016
Manjimup,18.0,0.0,23.0,0.0,0.0,0.0,14.0,8.0,0.0,8970.0,9036.0,2016
Meekatharra,0.0,0.0,0.0,0.0,0.0,24.0,9.0,0.0,0.0,2336.0,2372.0,2016
Melville,18.0,26.0,59.0,5.0,0.0,37.0,64.0,0.0,0.0,101704.0,101906.0,2016
Menzies,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,1372.0,2016
Merredin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3122.0,3126.0,2016
Mingenew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,530.0,2016
Moora,0.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,0.0,2288.0,2312.0,2016
Morawa,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,709.0,735.0,2016
Mosman Park,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8888.0,8894.0,2016
Mount Magnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1355.0,1356.0,2016
Mount Marshall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,440.0,2016
Mukinbudin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.0,598.0,2016
Mundaring,0.0,20.0,21.0,0.0,0.0,3.0,25.0,3.0,5.0,37639.0,37725.0,2016
Murchison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,169.0,2016
Murray,10.0,0.0,27.0,0.0,0.0,4.0,7.0,22.0,44.0,17109.0,17219.0,2016
Nannup,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1546.0,1553.0,2016
Narembeen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.0,772.0,2016
Narrogin,10.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4783.0,4801.0,2016
Nedlands,0.0,0.0,7.0,0.0,0.0,0.0,13.0,0.0,0.0,22048.0,22071.0,2016
Ngaanyatjarraku,0.0,0.0,0.0,0.0,0.0,82.0,78.0,0.0,0.0,1278.0,1441.0,2016
Northam,5.0,25.0,12.0,24.0,0.0,9.0,20.0,0.0,5.0,11042.0,11143.0,2016
Northampton,0.0,0.0,4.0,0.0,0.0,22.0,0.0,3.0,9.0,4315.0,4349.0,2016
Nungarin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,253.0,2016
Peppermint Grove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582.0,1582.0,2016
Perenjori,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.0,1083.0,2016
Perth,360.0,195.0,17.0,0.0,49.0,14.0,27.0,0.0,0.0,31682.0,32341.0,2016
Pingelly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,998.0,2016
Plantagenet,0.0,0.0,4.0,0.0,0.0,16.0,8.0,0.0,0.0,5183.0,5217.0,2016
Port Hedland,88.0,41.0,35.0,0.0,0.0,54.0,56.0,4.0,12.0,18435.0,18727.0,2016
Quairading,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,935.0,2016
Ravensthorpe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2565.0,2574.0,2016
Rockingham,37.0,13.0,94.0,0.0,0.0,36.0,145.0,3.0,57.0,130621.0,131013.0,2016
Sandstone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,279.0,2016
Serpentine-Jarrahdale,0.0,0.0,22.0,7.0,0.0,12.0,20.0,13.0,6.0,31044.0,31120.0,2016
Shark Bay,3.0,0.0,7.0,0.0,0.0,0.0,5.0,3.0,9.0,2916.0,2951.0,2016
South Perth,0.0,0.0,26.0,18.0,6.0,9.0,54.0,0.0,0.0,42531.0,42641.0,2016
Stirling,28.0,64.0,117.0,16.0,10.0,113.0,326.0,4.0,5.0,220694.0,221377.0,2016
Subiaco,14.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,17095.0,17127.0,2016
Swan,412.0,195.0,142.0,12.0,0.0,221.0,460.0,8.0,40.0,148597.0,150086.0,2016
Tammin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,374.0,2016
Three Springs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,608.0,2016
Toodyay,0.0,0.0,11.0,0.0,0.0,0.0,0.0,7.0,14.0,4365.0,4399.0,2016
Trayning,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,279.0,2016
Upper Gascoyne,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,299.0,310.0,2016
Victoria Park,18.0,23.0,13.0,49.0,0.0,16.0,38.0,0.0,0.0,36747.0,36911.0,2016
Victoria Plains,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.0,765.0,2016
Vincent,48.0,109.0,18.0,56.0,0.0,7.0,46.0,0.0,0.0,35167.0,35453.0,2016
Wagin,0.0,5.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,1642.0,1657.0,2016
Wandering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,514.0,2016
Wanneroo,39.0,35.0,116.0,9.0,0.0,328.0,426.0,50.0,40.0,202374.0,203401.0,2016
Waroona,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,13.0,4068.0,4096.0,2016
West Arthur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,744.0,752.0,2016
Westonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,395.0,2016
Wickepin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,659.0,2016
Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.0,993.0,2016
Wiluna,0.0,0.0,0.0,0.0,0.0,24.0,10.0,0.0,0.0,1262.0,1303.0,2016
Wongan-Ballidu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275.0,1276.0,2016
Woodanilling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,430.0,2016
Wyalkatchem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,459.0,2016
Wyndham-East Kimberley,37.0,3.0,35.0,0.0,0.0,69.0,174.0,8.0,46.0,10634.0,10994.0,2016
Yalgoo,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1045.0,1060.0,2016
Yilgarn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1883.0,1884.0,2016
York,0.0,3.0,7.0,0.0,0.0,0.0,28.0,0.0,3.0,3378.0,3421.0,2016
Migratory - Offshore - Shipping (WA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3250.0,3250.0,2016
Total,2322.0,1604.0,2150.0,637.0,110.0,2941.0,5352.0,430.0,1027.0,2655487.0,2672052.0,2016
