LGA,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Albany,86.0,20.0,58.0,0.0,5.0,19.0,55.0,4.0,57.0,37740.0,38047.0,2016
Armadale,39.0,26.0,70.0,27.0,0.0,93.0,169.0,0.0,41.0,91771.0,92236.0,2016
Ashburton,0.0,0.0,8.0,0.0,0.0,7.0,20.0,3.0,8.0,15389.0,15435.0,2016
Augusta Margaret River,23.0,0.0,18.0,10.0,0.0,21.0,14.0,10.0,8.0,16323.0,16423.0,2016
Bassendean,10.0,26.0,7.0,0.0,0.0,5.0,25.0,0.0,0.0,15448.0,15517.0,2016
Bayswater,26.0,37.0,31.0,15.0,0.0,22.0,61.0,0.0,0.0,67667.0,67849.0,2016
Belmont,5.0,15.0,23.0,9.0,6.0,36.0,77.0,0.0,9.0,41613.0,41791.0,2016
Beverley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1608.0,1616.0,2016
Boddington,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,2000.0,2005.0,2016
Boyup Brook,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1784.0,1784.0,2016
Bridgetown-Greenbushes,0.0,0.0,9.0,0.0,0.0,0.0,10.0,0.0,5.0,5151.0,5172.0,2016
Brookton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,905.0,2016
Broome,36.0,72.0,73.0,0.0,11.0,123.0,188.0,34.0,37.0,24821.0,25391.0,2016
Broomehill-Tambellup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,1017.0,2016
Bruce Rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.0,968.0,2016
Bunbury,45.0,36.0,34.0,45.0,0.0,13.0,77.0,0.0,19.0,32146.0,32415.0,2016
Busselton,59.0,13.0,35.0,0.0,3.0,38.0,32.0,28.0,56.0,39793.0,40061.0,2016
Cambridge,3.0,76.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,28325.0,28418.0,2016
Canning,13.0,52.0,53.0,58.0,0.0,85.0,241.0,0.0,17.0,93557.0,94067.0,2016
Capel,0.0,0.0,7.0,0.0,0.0,11.0,11.0,0.0,7.0,17414.0,17447.0,2016
Carnamah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,567.0,2016
Carnarvon,17.0,34.0,18.0,0.0,0.0,47.0,30.0,14.0,21.0,7974.0,8164.0,2016
Chapman Valley,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1523.0,1530.0,2016
Chittering,0.0,0.0,7.0,0.0,0.0,3.0,26.0,0.0,0.0,5668.0,5707.0,2016
Christmas Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979.0,1979.0,2016
Claremont,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10945.0,10949.0,2016
Cockburn,44.0,23.0,54.0,97.0,0.0,36.0,121.0,3.0,26.0,114956.0,115368.0,2016
Cocos Islands,0.0,0.0,4.0,0.0,0.0,7.0,18.0,0.0,0.0,686.0,709.0,2016
Collie,6.0,0.0,6.0,8.0,0.0,5.0,21.0,0.0,0.0,8528.0,8585.0,2016
Coolgardie,0.0,0.0,4.0,0.0,0.0,10.0,7.0,0.0,0.0,4448.0,4478.0,2016
Coorow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051.0,1052.0,2016
Corrigin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961.0,964.0,2016
Cottesloe,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7635.0,7636.0,2016
Cranbrook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043.0,1043.0,2016
Cuballing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.0,864.0,2016
Cue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,551.0,559.0,2016
Cunderdin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318.0,1318.0,2016
Dalwallinu,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1384.0,1392.0,2016
Dandaragan,3.0,3.0,12.0,0.0,0.0,0.0,0.0,38.0,0.0,3575.0,3649.0,2016
Dardanup,0.0,4.0,15.0,0.0,0.0,0.0,12.0,4.0,25.0,14023.0,14086.0,2016
Denmark,72.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,6244.0,6328.0,2016
Derby-West Kimberley,20.0,40.0,11.0,0.0,0.0,181.0,298.0,6.0,12.0,8670.0,9242.0,2016
Donnybrook-Balingup,3.0,0.0,9.0,0.0,0.0,12.0,5.0,14.0,0.0,5890.0,5931.0,2016
Dowerin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.0,685.0,2016
Dumbleyung,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,670.0,2016
Dundas,7.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1034.0,1048.0,2016
East Fremantle,3.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7590.0,7605.0,2016
East Pilbara,3.0,7.0,18.0,0.0,0.0,224.0,113.0,3.0,4.0,20240.0,20614.0,2016
Esperance,21.0,14.0,17.0,0.0,0.0,6.0,18.0,10.0,8.0,13749.0,13849.0,2016
Exmouth,5.0,0.0,6.0,0.0,3.0,14.0,19.0,9.0,29.0,6367.0,6465.0,2016
Fremantle,93.0,27.0,34.0,28.0,0.0,8.0,30.0,0.0,31.0,31285.0,31539.0,2016
Gingin,0.0,0.0,7.0,4.0,0.0,7.0,19.0,7.0,6.0,5284.0,5336.0,2016
Gnowangerup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1205.0,1205.0,2016
Goomalling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.0,940.0,2016
Gosnells,29.0,50.0,67.0,16.0,3.0,137.0,585.0,4.0,39.0,123446.0,124367.0,2016
Greater Geraldton,62.0,25.0,89.0,14.0,0.0,65.0,134.0,24.0,15.0,38876.0,39311.0,2016
Halls Creek,17.0,0.0,15.0,17.0,0.0,279.0,217.0,8.0,15.0,4307.0,4870.0,2016
Harvey,14.0,6.0,39.0,0.0,0.0,61.0,31.0,19.0,38.0,27352.0,27553.0,2016
Irwin,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,3883.0,3893.0,2016
Jerramungup,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1132.0,1142.0,2016
Joondalup,108.0,25.0,85.0,7.0,0.0,22.0,61.0,0.0,18.0,155620.0,155950.0,2016
Kalamunda,81.0,23.0,47.0,0.0,0.0,13.0,90.0,16.0,12.0,56900.0,57181.0,2016
Kalgoorlie-Boulder,72.0,87.0,50.0,59.0,0.0,20.0,59.0,0.0,38.0,30200.0,30581.0,2016
Karratha,14.0,9.0,23.0,3.0,0.0,47.0,58.0,6.0,27.0,27351.0,27539.0,2016
Katanning,0.0,10.0,4.0,0.0,0.0,14.0,17.0,0.0,0.0,4015.0,4054.0,2016
Kellerberrin,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.0,1110.0,2016
Kent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,480.0,2016
Kojonup,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1844.0,1846.0,2016
Kondinin,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.0,1096.0,2016
Koorda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,354.0,2016
Kulin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.0,719.0,2016
