SED,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Albany (South West),86.0,20.0,58.0,0.0,5.0,19.0,55.0,4.0,57.0,37740.0,38047.0,2021
Armadale (East Metropolitan),35.0,26.0,53.0,27.0,0.0,77.0,129.0,0.0,41.0,49640.0,50027.0,2021
Balcatta (North Metropolitan),0.0,8.0,22.0,3.0,0.0,35.0,49.0,0.0,0.0,44379.0,44493.0,2021
Baldivis (South Metropolitan),8.0,0.0,36.0,0.0,0.0,4.0,81.0,0.0,19.0,55193.0,55335.0,2021
Bassendean (East Metropolitan),15.0,43.0,26.0,7.0,0.0,73.0,176.0,0.0,0.0,41943.0,42268.0,2021
Bateman (South Metropolitan),3.0,17.0,17.0,0.0,0.0,22.0,43.0,0.0,0.0,43135.0,43233.0,2021
Belmont (East Metropolitan),10.0,48.0,27.0,9.0,6.0,36.0,77.0,0.0,9.0,48372.0,48593.0,2021
Bicton (South Metropolitan),12.0,4.0,32.0,4.0,0.0,0.0,8.0,0.0,0.0,37962.0,38031.0,2021
Bunbury (South West),45.0,36.0,42.0,45.0,0.0,23.0,82.0,0.0,19.0,42982.0,43276.0,2021
Burns Beach (North Metropolitan),14.0,12.0,22.0,0.0,0.0,12.0,17.0,0.0,0.0,44057.0,44131.0,2021
Butler (North Metropolitan),0.0,7.0,37.0,3.0,0.0,12.0,77.0,0.0,0.0,54230.0,54374.0,2021
