SED,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Cannington (South Metropolitan),14.0,17.0,37.0,12.0,3.0,46.0,251.0,0.0,17.0,51537.0,51929.0,2021
Carine (North Metropolitan),0.0,5.0,17.0,7.0,0.0,7.0,11.0,0.0,0.0,41152.0,41192.0,2021
Central Wheatbelt (Agricultural),11.0,28.0,35.0,25.0,0.0,9.0,54.0,6.0,13.0,37979.0,38163.0,2021
Churchlands (North Metropolitan),3.0,70.0,17.0,0.0,0.0,5.0,11.0,0.0,0.0,43106.0,43222.0,2021
Cockburn (South Metropolitan),7.0,13.0,11.0,3.0,0.0,0.0,32.0,0.0,29.0,46897.0,46997.0,2021
Collie-Preston (South West),19.0,4.0,47.0,12.0,0.0,31.0,53.0,25.0,41.0,42511.0,42744.0,2021
Cottesloe (North Metropolitan),18.0,0.0,15.0,6.0,0.0,8.0,8.0,0.0,0.0,42683.0,42737.0,2021
Darling Range (East Metropolitan),0.0,0.0,26.0,7.0,0.0,20.0,31.0,13.0,6.0,46026.0,46134.0,2021
Dawesville (South West),3.0,0.0,31.0,0.0,0.0,0.0,44.0,8.0,19.0,39904.0,40011.0,2021
Forrestfield (East Metropolitan),78.0,23.0,43.0,0.0,0.0,23.0,103.0,4.0,55.0,41078.0,41406.0,2021
Fremantle (South Metropolitan),88.0,38.0,37.0,65.0,0.0,20.0,59.0,0.0,32.0,43114.0,43451.0,2021
Geraldton (Agricultural),62.0,25.0,89.0,14.0,0.0,51.0,134.0,24.0,15.0,38237.0,38656.0,2021
Hillarys (North Metropolitan),25.0,5.0,16.0,0.0,0.0,0.0,14.0,0.0,0.0,40580.0,40633.0,2021
Jandakot (South Metropolitan),0.0,0.0,22.0,5.0,0.0,19.0,62.0,0.0,0.0,56002.0,56111.0,2021
Joondalup (North Metropolitan),80.0,17.0,37.0,0.0,0.0,13.0,34.0,0.0,5.0,40265.0,40454.0,2021
Kalamunda (East Metropolitan),4.0,19.0,24.0,0.0,0.0,3.0,33.0,16.0,5.0,37985.0,38092.0,2021
Kalgoorlie (Mining and Pastoral),83.0,87.0,89.0,59.0,0.0,84.0,94.0,0.0,44.0,44585.0,45130.0,2021
Kimberley (Mining and Pastoral),109.0,124.0,129.0,16.0,9.0,726.0,903.0,58.0,110.0,48618.0,50796.0,2021
Kingsley (North Metropolitan),13.0,0.0,28.0,0.0,0.0,0.0,30.0,0.0,17.0,40606.0,40692.0,2021
Kwinana (South Metropolitan),55.0,25.0,49.0,10.0,0.0,29.0,111.0,4.0,0.0,48327.0,48614.0,2021
Landsdale (North Metropolitan),11.0,0.0,18.0,0.0,0.0,60.0,90.0,44.0,0.0,47406.0,47626.0,2021
Mandurah (South West),53.0,79.0,48.0,0.0,4.0,10.0,45.0,0.0,25.0,44311.0,44569.0,2021
Maylands (East Metropolitan),19.0,37.0,17.0,15.0,0.0,10.0,46.0,0.0,0.0,42256.0,42395.0,2021
Midland (East Metropolitan),255.0,161.0,64.0,4.0,0.0,26.0,64.0,5.0,30.0,45738.0,46350.0,2021
Mirrabooka (East Metropolitan),40.0,19.0,35.0,3.0,0.0,201.0,333.0,0.0,0.0,46850.0,47486.0,2021
Moore (Agricultural),23.0,12.0,50.0,4.0,0.0,74.0,66.0,62.0,33.0,38690.0,39009.0,2021
Morley (East Metropolitan),9.0,5.0,21.0,0.0,0.0,36.0,53.0,0.0,0.0,44519.0,44639.0,2021
Mount Lawley (East Metropolitan),13.0,34.0,21.0,12.0,0.0,0.0,39.0,0.0,0.0,41484.0,41604.0,2021
Murray-Wellington (South West),13.0,6.0,61.0,0.0,0.0,52.0,31.0,24.0,87.0,41383.0,41660.0,2021
Nedlands (North Metropolitan),22.0,5.0,9.0,17.0,0.0,14.0,13.0,0.0,0.0,47955.0,48038.0,2021
North West Central (Mining and Pastoral),31.0,40.0,54.0,0.0,5.0,219.0,193.0,32.0,85.0,43388.0,44044.0,2021
Perth (North Metropolitan),389.0,294.0,29.0,56.0,46.0,7.0,69.0,0.0,0.0,54411.0,55310.0,2021
Pilbara (Mining and Pastoral),112.0,53.0,74.0,3.0,0.0,245.0,197.0,13.0,36.0,66139.0,66879.0,2021
Riverton (South Metropolitan),0.0,3.0,14.0,0.0,0.0,17.0,13.0,0.0,0.0,44976.0,45028.0,2021
Rockingham (South Metropolitan),30.0,13.0,39.0,0.0,0.0,18.0,35.0,0.0,43.0,39690.0,39875.0,2021
Roe (Agricultural),38.0,27.0,37.0,0.0,0.0,26.0,40.0,27.0,22.0,37557.0,37766.0,2021
Scarborough (North Metropolitan),0.0,0.0,21.0,0.0,3.0,8.0,23.0,3.0,5.0,44295.0,44359.0,2021
South Perth (South Metropolitan),0.0,7.0,26.0,18.0,6.0,9.0,54.0,0.0,0.0,42381.0,42493.0,2021
Southern River (South Metropolitan),0.0,6.0,21.0,5.0,0.0,23.0,184.0,0.0,0.0,50022.0,50268.0,2021
Swan Hills (East Metropolitan),146.0,0.0,44.0,0.0,0.0,24.0,90.0,5.0,0.0,47904.0,48219.0,2021
Thornlie (East Metropolitan),21.0,21.0,30.0,0.0,0.0,77.0,280.0,0.0,0.0,47349.0,47783.0,2021
Vasse (South West),61.0,13.0,41.0,0.0,3.0,40.0,32.0,27.0,58.0,43307.0,43594.0,2021
Victoria Park (South Metropolitan),15.0,48.0,23.0,95.0,0.0,47.0,65.0,0.0,0.0,47364.0,47660.0,2021
Wanneroo (North Metropolitan),0.0,10.0,26.0,0.0,0.0,88.0,58.0,4.0,40.0,47928.0,48157.0,2021
Warnbro (South Metropolitan),0.0,0.0,23.0,0.0,0.0,16.0,56.0,0.0,0.0,47054.0,47150.0,2021
Warren-Blackwood (South West),113.0,10.0,60.0,10.0,0.0,37.0,42.0,16.0,12.0,42608.0,42917.0,2021
West Swan (East Metropolitan),4.0,6.0,24.0,0.0,0.0,106.0,161.0,0.0,9.0,51495.0,51795.0,2021
Willagee (South Metropolitan),11.0,5.0,31.0,45.0,0.0,30.0,55.0,0.0,0.0,40290.0,40478.0,2021
Migratory - Offshore - Shipping (WA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3250.0,3250.0,2021
Total,2322.0,1604.0,2143.0,637.0,110.0,2935.0,5334.0,430.0,1027.0,2652822.0,2669363.0,2021
