"ADCP AUSTRALIAN DEFENCE FORCE SERVICE, DETAILED",STATE,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Currently serving in the Regular Service only,New South Wales,0.0,0.0,5.0,22.0,0.0,15.0,18.0,0.0,0.0,17518.0,17579.0,2021
Currently serving in the Regular Service only,Victoria,0.0,3.0,0.0,3.0,0.0,17.0,9.0,0.0,7.0,7054.0,7096.0,2021
Currently serving in the Regular Service only,Queensland,4.0,4.0,9.0,6.0,0.0,3.0,16.0,4.0,0.0,15228.0,15277.0,2021
Currently serving in the Regular Service only,South Australia,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3528.0,3536.0,2021
Currently serving in the Regular Service only,Western Australia,3.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,4210.0,4221.0,2021
Currently serving in the Regular Service only,Tasmania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,283.0,2021
Currently serving in the Regular Service only,Northern Territory,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,3801.0,3826.0,2021
Currently serving in the Regular Service only,Australian Capital Territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5555.0,5556.0,2021
Currently serving in the Regular Service only,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,168.0,2021
Currently serving in the Reserves Service only,New South Wales,0.0,0.0,3.0,4.0,0.0,6.0,5.0,0.0,0.0,3286.0,3298.0,2021
Currently serving in the Reserves Service only,Victoria,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,2244.0,2269.0,2021
Currently serving in the Reserves Service only,Queensland,0.0,0.0,3.0,0.0,0.0,3.0,9.0,0.0,0.0,2827.0,2849.0,2021
Currently serving in the Reserves Service only,South Australia,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1116.0,1122.0,2021
Currently serving in the Reserves Service only,Western Australia,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1444.0,1448.0,2021
Currently serving in the Reserves Service only,Tasmania,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,384.0,392.0,2021
Currently serving in the Reserves Service only,Northern Territory,0.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,307.0,318.0,2021
Currently serving in the Reserves Service only,Australian Capital Territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0,704.0,2021
Currently serving in the Reserves Service only,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2021
Currently serving in the Regular Service and previously served in the Reserves Service,New South Wales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,768.0,2021
Currently serving in the Regular Service and previously served in the Reserves Service,Victoria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,350.0,2021
Currently serving in the Regular Service and previously served in the Reserves Service,Queensland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.0,769.0,2021
Currently serving in the Regular Service and previously served in the Reserves Service,South Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,166.0,2021
Currently serving in the Regular Service and previously served in the Reserves Service,Western Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,142.0,2021
Currently serving in the Regular Service and previously served in the Reserves Service,Tasmania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,2021
Currently serving in the Regular Service and previously served in the Reserves Service,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,144.0,2021
Currently serving in the Regular Service and previously served in the Reserves Service,Australian Capital Territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,386.0,2021
Currently serving in the Regular Service and previously served in the Reserves Service,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2021
Currently serving in the Reserves Service and previously served in the Regular Service,New South Wales,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3208.0,3211.0,2021
Currently serving in the Reserves Service and previously served in the Regular Service,Victoria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1666.0,1670.0,2021
Currently serving in the Reserves Service and previously served in the Regular Service,Queensland,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3445.0,3455.0,2021
Currently serving in the Reserves Service and previously served in the Regular Service,South Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.0,906.0,2021
Currently serving in the Reserves Service and previously served in the Regular Service,Western Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.0,973.0,2021
Currently serving in the Reserves Service and previously served in the Regular Service,Tasmania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,268.0,2021
Currently serving in the Reserves Service and previously served in the Regular Service,Northern Territory,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,283.0,293.0,2021
Currently serving in the Reserves Service and previously served in the Regular Service,Australian Capital Territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.0,1397.0,2021
Currently serving in the Reserves Service and previously served in the Regular Service,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2021
Previously served in the Regular Service only,New South Wales,12.0,16.0,64.0,59.0,0.0,26.0,57.0,19.0,51.0,67656.0,67958.0,2021
Previously served in the Regular Service only,Victoria,9.0,9.0,25.0,42.0,4.0,20.0,28.0,6.0,46.0,48757.0,48947.0,2021
Previously served in the Regular Service only,Queensland,30.0,28.0,128.0,54.0,11.0,21.0,58.0,28.0,126.0,82177.0,82659.0,2021
