MAID MORTGAGE AFFORDABILITY INDICATOR,STATE,NEGATIVE INCOME,NIL INCOME,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 OR MORE ($416,000 OR MORE)",PARTIAL INCOME STATED,ALL INCOMES NOT STATED,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Households where mortgage repayments are less than or equal to 30% of household income,New South Wales,635.0,1807.0,492.0,851.0,1632.0,5745.0,4854.0,14326.0,20502.0,38381.0,64410.0,78399.0,102366.0,298427.0,281728.0,285421.0,212753.0,134916.0,205420.0,192495.0,185552.0,71488.0,0.0,0.0,0.0,2202580.0,2021
Households where mortgage repayments are less than or equal to 30% of household income,Victoria,558.0,1637.0,461.0,928.0,1755.0,5860.0,5232.0,14539.0,23927.0,44981.0,79351.0,98132.0,120763.0,317655.0,278979.0,258240.0,179169.0,104581.0,157401.0,138371.0,120539.0,40385.0,0.0,0.0,0.0,1993450.0,2021
Households where mortgage repayments are less than or equal to 30% of household income,Queensland,358.0,917.0,298.0,598.0,1064.0,4263.0,3569.0,11070.0,17445.0,33885.0,59705.0,72023.0,90482.0,244176.0,219061.0,204974.0,144846.0,85214.0,119670.0,100850.0,77647.0,24365.0,0.0,0.0,0.0,1516490.0,2021
Households where mortgage repayments are less than or equal to 30% of household income,South Australia,89.0,257.0,128.0,245.0,694.0,2677.0,2261.0,7142.0,11289.0,20525.0,32599.0,35706.0,40708.0,100531.0,84629.0,70852.0,46559.0,26202.0,32104.0,26680.0,20407.0,6199.0,0.0,0.0,0.0,568482.0,2021
Households where mortgage repayments are less than or equal to 30% of household income,Western Australia,163.0,538.0,185.0,344.0,685.0,2487.0,1920.0,5781.0,8669.0,17238.0,30240.0,39344.0,48709.0,133010.0,118433.0,115486.0,78749.0,44694.0,74847.0,64809.0,47460.0,14189.0,0.0,0.0,0.0,847979.0,2021
Households where mortgage repayments are less than or equal to 30% of household income,Tasmania,36.0,49.0,21.0,67.0,167.0,973.0,797.0,2511.0,3936.0,7109.0,11256.0,11781.0,12911.0,30507.0,24758.0,19649.0,12705.0,6863.0,7911.0,6164.0,4132.0,1344.0,0.0,0.0,0.0,165642.0,2021
Households where mortgage repayments are less than or equal to 30% of household income,Northern Territory,11.0,10.0,12.0,14.0,23.0,69.0,65.0,111.0,283.0,677.0,1058.0,1345.0,2018.0,6389.0,6569.0,7144.0,5792.0,3780.0,5071.0,4087.0,3609.0,920.0,0.0,0.0,0.0,49053.0,2021
Households where mortgage repayments are less than or equal to 30% of household income,Australian Capital Territory,25.0,51.0,6.0,7.0,43.0,144.0,132.0,342.0,599.0,1366.0,2692.0,4299.0,5513.0,17909.0,16598.0,21040.0,19739.0,12514.0,22218.0,16925.0,18752.0,5558.0,0.0,0.0,0.0,166485.0,2021
Households where mortgage repayments are less than or equal to 30% of household income,Other Territories,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,29.0,23.0,37.0,43.0,78.0,111.0,77.0,62.0,54.0,21.0,18.0,26.0,0.0,0.0,0.0,0.0,0.0,578.0,2021
Households where mortgage repayments are more than 30% of household income,New South Wales,1952.0,8174.0,2735.0,4380.0,5916.0,10969.0,14543.0,24777.0,32996.0,46880.0,54087.0,43549.0,39109.0,66154.0,36120.0,25268.0,12754.0,6579.0,16219.0,9201.0,7556.0,0.0,0.0,0.0,0.0,469917.0,2021
