old,new
COCKBURN,COOGEE
CANNING,WILSON
SWAN,WEST SWAN
VINCENT,LEEDERVILLE
BRIDGETOWN-GREENBUSHES,BRIDGETOWN
AUGUSTA-MARGARET RIVER,MARGARET RIVER
WYNDHAM-EAST KIMBERLEY,WYNDHAM
DONNYBROOK-BALINGUP,DONNYBROOK
CAMBRIDGE,FLOREAT
MURRAY,DWELLINGUP
GREATER GERALDTON,GERALDTON
PLANTAGENET,ALBANY
DERBY-WEST KIMBERLEY,DERBY
KALGOORLIE-BOULDER,KALGOORLIE
SERPENTINE-JARRAHDALE,SERPENTINE
ASHBURTON,GERALDTON
CHAPMAN VALLEY,GERALDTON
YILGARN,KALGOORLIE
EAST PILBARA,KUNUNURRA
WONGAN-BALLIDU,WONGAN HILLS
NGAANYATJARRAKU,KALGOORLIE
WEST ARTHUR,DARKAN
MOUNT MARSHALL,BENCUBBIN
BROOMEHILL-TAMBELLUP,BROOMEHILL
