room_type,count_listings,price_mean,price_median,availability_365_mean,availability_365_median,date
Entire home/apt,7669,192.1968966,149,227.3275525,268,10/07/2018
Private room,3535,87.6990099,65,208.5140028,180,10/07/2018
Shared room,128,52.4765625,28,221.453125,238.5,10/07/2018
Entire home/apt,7855,191.6940802,150,221.9223425,261,14/08/2018
Private room,3547,88.52466873,65,208.6115027,180,14/08/2018
Shared room,123,52.41463415,29,206.7398374,179,14/08/2018
Entire home/apt,7965,191.9738858,150,217.2877589,256,14/09/2018
Private room,3532,91.23414496,65,207.0999434,180,14/09/2018
Shared room,131,54.02290076,29,214.7938931,180,14/09/2018
Entire home/apt,8041,193.6914563,150,216.2944907,257,9/10/2018
Private room,3515,91.64694168,65,206.5322902,180,9/10/2018
Shared room,103,65.29126214,35,245.9805825,360,9/10/2018
Entire home/apt,8159,192.7503371,150,213.1910773,254,6/11/2018
Private room,3519,91.81699346,65,204.0730321,180,6/11/2018
Shared room,124,52.04032258,29,215.8387097,180,6/11/2018
Entire home/apt,8448,192.9164299,150,213.4644886,257,8/12/2018
Private room,3542,89.38763411,65,203.32524,181,8/12/2018
Shared room,129,50.82170543,30,218.1317829,242,8/12/2018
Entire home/apt,8636,195.8574572,150,214.2101667,255,13/01/2019
Private room,3534,87.15789474,65,199.8469157,179,13/01/2019
Shared room,130,49.89230769,30,219.0461538,264.5,13/01/2019
Entire home/apt,8668,194.0554915,150,218.9359714,259,3/02/2019
Private room,3533,86.44126804,65,201.024625,180,3/02/2019
Shared room,137,51.86131387,29,215.0875912,181,3/02/2019
Entire home/apt,8672,195.0577721,151,218.4177814,258,7/03/2019
Private room,3537,84.54509471,65,200.6547922,179,7/03/2019
Shared room,141,57.87943262,28,222.1560284,180,7/03/2019
Entire home/apt,8800,194.9306818,150,216.0272727,251.5,5/04/2019
Private room,3552,84.83051802,65,199.2508446,180,5/04/2019
Shared room,135,56.14074074,30,223.8592593,267,5/04/2019
Entire home/apt,8867,194.6737341,150,217.8760573,252,5/05/2019
Private room,3565,84.48218794,65,201.0115007,180,5/05/2019
Shared room,134,56.23880597,29,222.358209,270.5,5/05/2019
Entire home/apt,8914,194.5032533,149,215.1209334,246,4/06/2019
Private room,3552,84.76351351,65,201.8916104,181,4/06/2019
Shared room,141,55.53900709,29,231.3971631,344,4/06/2019
