room_type,count_listings,price_mean,price_median,availability_365_mean,availability_365_median,date
Entire home/apt,9016,195.4620674,150,211.8245342,242,8/07/2019
Private room,3591,85.68755221,64,199.743804,181,8/07/2019
Shared room,142,54.74647887,29,230.6619718,340,8/07/2019
Entire home/apt,9083,198.0265331,150,209.1186833,239,8/08/2019
Private room,3607,85.58913224,65,198.5932908,180,8/08/2019
Shared room,142,52.29577465,28.5,228.2323944,263,8/08/2019
Entire home/apt,9078,200.0446134,150,204.9982375,238,14/09/2019
Hotel room,173,163.9595376,140,277.1676301,313,14/09/2019
Private room,3404,84.77849589,65,193.4591657,178,14/09/2019
Shared room,129,52.58914729,28,220.8604651,201,14/09/2019
Entire home/apt,9137,199.4316515,155,203.1307869,236,14/10/2019
Hotel room,204,160.5294118,140,263.75,314,14/10/2019
Private room,3346,83.93544531,61,188.3407053,176,14/10/2019
Shared room,127,52.33070866,28,225.2283465,302,14/10/2019
Entire home/apt,9269,200.1022764,155,202.0485489,236,3/11/2019
Hotel room,186,154.5913978,133,251.0967742,304,3/11/2019
Private room,3372,85.91518387,63,188.5969751,177,3/11/2019
Shared room,132,52.78787879,27,226.6969697,306,3/11/2019
Entire home/apt,9456,201.3884306,156,193.6920474,223,8/12/2019
Hotel room,161,152.7701863,140,235.7204969,291,8/12/2019
Private room,3384,87.32565012,64,181.6557329,169.5,8/12/2019
Shared room,192,52.69791667,34,249.0520833,362,8/12/2019
Entire home/apt,9590,201.922732,158,207.3596455,244,5/01/2020
Hotel room,155,153.3096774,140,254.1870968,305,5/01/2020
Private room,3416,87.76844262,65,187.007904,175,5/01/2020
Shared room,186,58.36021505,35,290.8924731,364,5/01/2020
Entire home/apt,9604,203.0112453,159,211.3360058,247,14/02/2020
Hotel room,141,157.3262411,140,260.4184397,309,14/02/2020
Private room,3392,88.00206368,65,185.4091981,174,14/02/2020
Shared room,222,52.94144144,34,268.4774775,363,14/02/2020
Entire home/apt,9541,203.158474,157,213.9853265,251,16/03/2020
Hotel room,128,159.40625,141,267.328125,310.5,16/03/2020
Private room,3269,87.99632915,65,179.2792903,169,16/03/2020
Shared room,125,54.328,27,223.24,314,16/03/2020
Entire home/apt,9162,201.6427636,156,197.514189,221,20/04/2020
Hotel room,137,172.4744526,149,221.1094891,209,20/04/2020
Private room,3106,89.39311011,64,167.4578236,152,20/04/2020
Shared room,119,55.79831933,28,210.1344538,231,20/04/2020
Entire home/apt,9075,201.4088154,155,203.8602755,228,14/05/2020
Hotel room,134,164.3283582,144,253.5522388,304,14/05/2020
Private room,3103,89.97679665,65,175.7106026,170,14/05/2020
Shared room,123,57.06504065,29,203.398374,178,14/05/2020
Entire home/apt,9076,201.9425959,155,208.0370207,235,10/06/2020
Hotel room,128,168.4140625,149,260.4765625,299.5,10/06/2020
Private room,3123,89.03041947,65,182.4415626,177,10/06/2020
Shared room,127,54.70866142,29,221.1653543,270,10/06/2020
Entire home/apt,6907,214.0176632,162,222.9189228,257,26/10/2020
Hotel room,100,156.6,145,286.87,349.5,26/10/2020
Private room,2142,104.5387488,70,233.3786181,267,26/10/2020
Shared room,108,51.63888889,30,242.6944444,361,26/10/2020
Entire home/apt,7219,213.0223023,165,221.6248788,260,13/11/2020
Hotel room,105,160.2285714,149,298.6190476,347,13/11/2020
Private room,2200,120.8295455,70,231.1404545,263,13/11/2020
Shared room,109,58.8440367,30,245.5504587,354,13/11/2020
Entire home/apt,7847,271.2673633,194,208.7201478,246,23/12/2020
Hotel room,92,180.5217391,168,282.0652174,345.5,23/12/2020
Private room,2284,122.400613,75,217.5494746,223,23/12/2020
Shared room,105,62.33333333,35,216.352381,180,23/12/2020
Entire home/apt,7803,243.4825067,185,207.7244649,240,24/01/2021
Hotel room,90,173.8777778,166,288.5222222,348,24/01/2021
Private room,2236,117.6314848,75,217.7473166,221,24/01/2021
Shared room,104,55.11538462,35,215.1442308,180,24/01/2021
Entire home/apt,7817,246.3392606,180,205.6540872,236,21/02/2021
Hotel room,90,173.1888889,173.5,295.7,346,21/02/2021
Private room,2192,116.1870438,78,210.3827555,195,21/02/2021
Shared room,102,55.30392157,35,227.1666667,247,21/02/2021
Entire home/apt,7741,237.6481075,179,198.4685441,225,19/03/2021
Hotel room,88,174.5909091,174.5,291.4545455,329.5,19/03/2021
Private room,2158,116.7145505,75,205.8693234,186,19/03/2021
Shared room,102,55.03921569,35,224.6960784,220,19/03/2021
Entire home/apt,7838,239.076295,180,196.9721868,213,24/04/2021
Hotel room,89,178.5280899,180,279.3370787,322,24/04/2021
Private room,2154,119.4066852,79,204.0111421,180,24/04/2021
Shared room,96,49.69791667,35,223.7083333,193,24/04/2021
Entire home/apt,7257,244.9011988,182,212.9667907,232,15/07/2021
Hotel room,82,184.0243902,187.5,304.7073171,343.5,15/07/2021
Private room,1955,121.8797954,80,226.2209719,225,15/07/2021
Shared room,79,57.97468354,35,226,181,15/07/2021
Entire home/apt,7399,240.9836464,180,203.6586025,227,24/08/2021
Hotel room,84,175.6547619,174.5,305.3809524,341,24/08/2021
Private room,1941,120.9943328,80,224.3374549,236,24/08/2021
Shared room,79,58.02531646,35,226.721519,206,24/08/2021
Entire home/apt,7480,262.9463904,199,200.9466578,228,25/09/2021
Hotel room,84,189.1666667,196.5,305.6190476,345.5,25/09/2021
Private room,1916,125.0438413,80,221.539666,237,25/09/2021
Shared room,47,87.70212766,50,237.7234043,299,25/09/2021
Entire home/apt,7548,251.7321145,190,197.8528087,223,24/10/2021
Hotel room,80,184,195,307.975,339,24/10/2021
Private room,1888,123.5625,80,220.2351695,242,24/10/2021
Shared room,46,87.34782609,48,237.9130435,327,24/10/2021
Entire home/apt,7657,268.135954,195,201.5909625,229,22/11/2021
Hotel room,82,184.304878,194,309.2926829,349.5,22/11/2021
Private room,1880,134.7739362,85,223.843617,260,22/11/2021
Shared room,45,88.68888889,49,234.2666667,325,22/11/2021
Entire home/apt,7791,302.6131434,220,204.017071,234,23/12/2021
Hotel room,80,201.5375,211.5,310.425,341.5,23/12/2021
Private room,1831,136.2572365,88,221.4199891,251,23/12/2021
Shared room,46,91.04347826,53,229.5217391,308.5,23/12/2021
Entire home/apt,7787,278.1904456,207,206.0988828,234,23/01/2022
Hotel room,79,189.5316456,195,318.4303797,345,23/01/2022
Private room,1787,132.8505876,86,219.651371,261,23/01/2022
Shared room,44,91.06818182,53,234.0454545,335,23/01/2022
Entire home/apt,7309,257.1736216,200,214.4950062,241,21/02/2022
Hotel room,79,189.6962025,193,317.8481013,344,21/02/2022
Private room,1661,140.8320289,90,233.1456954,282,21/02/2022
Shared room,38,97.34210526,58,279.2631579,355,21/02/2022
Entire home/apt,7727,264.3258703,200,198.8535007,224,24/03/2022
Hotel room,77,185.5714286,196,308.7402597,321,24/03/2022
Private room,1735,139.50317,90,212.1717579,240,24/03/2022
Shared room,42,89.95238095,52,207.952381,242.5,24/03/2022
Entire home/apt,7789,259.6070099,200,197.7739119,218,25/04/2022
Hotel room,76,198.4605263,211.5,287.8947368,303.5,25/04/2022
Private room,1679,129.3484217,90,212.3466349,234,25/04/2022
Shared room,37,61.13513514,45,204.6756757,256,25/04/2022
Entire home/apt,7811,254.4214569,195,195.880297,212,21/05/2022
Hotel room,76,191.7894737,200.5,285.7894737,318.5,21/05/2022
Private room,1677,129.0459153,90,211.0119261,225,21/05/2022
Shared room,35,65.8,49,213.8571429,281,21/05/2022
Entire home/apt,7922,258.1850543,199,194.4416814,207,17/06/2022
Hotel room,75,198.48,202,283.5333333,321,17/06/2022
Private room,1666,129.1992797,90,209.8085234,218.5,17/06/2022
Shared room,31,68.61290323,46,228.8064516,318,17/06/2022
Entire home/apt,7924,262.9013125,200,189.6436143,204,25/07/2022
Hotel room,76,200.3157895,196,269.2894737,322.5,25/07/2022
Private room,1634,133.7949816,90,206.8396573,205,25/07/2022
Shared room,30,67.23333333,46.5,224.3333333,305,25/07/2022
Entire home/apt,8036,264.6465903,200,184.3266551,202,21/08/2022
Hotel room,75,199.8933333,202,280.0533333,334,21/08/2022
Private room,1622,134.6066584,90,203.5487053,218,21/08/2022
Shared room,28,66.92857143,47,227.5,334,21/08/2022
Entire home/apt,8163,292.0543918,217,182.1006983,200,20/09/2022
Hotel room,73,223.0958904,240,285.8630137,331,20/09/2022
Private room,1635,173.4293578,98,199.0385321,223,20/09/2022
Shared room,30,75.7,49,219,305,20/09/2022
Entire home/apt,8266,293.7660295,214,185.7397774,208,25/10/2022
Hotel room,74,233.3378378,247,284.3243243,323,25/10/2022
Private room,1631,162.7578173,98,195.8546904,211,25/10/2022
Shared room,29,104.6551724,60,225.3793103,325,25/10/2022
Entire home/apt,8414,379.2598051,220,188.7003803,213,22/11/2022
Hotel room,75,224.96,235,278.2933333,325,22/11/2022
Private room,1603,172.5452277,99,195.9613225,210,22/11/2022
Shared room,26,113.4230769,60,211.6153846,298.5,22/11/2022
Entire home/apt,8750,377.3890286,250,195.848,226,27/12/2022
Hotel room,71,237.6901408,234,271.8028169,330,27/12/2022
Private room,1640,253.6091463,100,198.6268293,214,27/12/2022
Shared room,24,114.8333333,60,212.5833333,315,27/12/2022
Entire home/apt,8807,333.2186897,239,196.7557625,224,24/01/2023
Hotel room,71,217.2253521,229,270.3802817,326,24/01/2023
Private room,1688,169.8939573,100,195.799763,208,24/01/2023
Shared room,23,112.826087,60,207.0869565,249,24/01/2023
Entire home/apt,8917,291.2948301,224,197.0337557,224,22/02/2023
Hotel room,62,227.5322581,224,287.6129032,329,22/02/2023
Private room,1711,157.4628872,100,189.7060199,190,22/02/2023
Shared room,31,102.5806452,79,233.0645161,320,22/02/2023
Entire home/apt,9137,311.4359199,229,198.7544052,225,27/03/2023
Hotel room,63,222.4126984,232,288.3968254,336,27/03/2023
Private room,1783,145.9175547,100,193.361189,190,27/03/2023
Shared room,29,107.0344828,80,225.5517241,330,27/03/2023
Entire home/apt,9252,299.6154345,229,201.8166883,222,23/04/2023
Hotel room,60,220.8833333,220,289.3666667,337.5,23/04/2023
Private room,1817,220.5112823,100,196.3797468,190,23/04/2023
Shared room,29,101.9655172,65,225.6551724,331,23/04/2023
Entire home/apt,9321,286.0303615,216,199.422165,217,26/05/2023
Hotel room,61,211.2295082,217,292.4098361,337,26/05/2023
Private room,1840,147.1646739,99,196.7320652,187,26/05/2023
Shared room,35,104.4,70,214.7142857,334,26/05/2023
Entire home/apt,9515,289.5579611,218,197.5703626,214,25/06/2023
Hotel room,61,210.704918,209,287.852459,335,25/06/2023
Private room,1900,141.93,99,193.6210526,179,25/06/2023
Shared room,31,100.3548387,65,205.7741935,277,25/06/2023
Entire home/apt,9622,286.7956766,214,196.6905009,213,23/07/2023
Hotel room,61,206.0655738,205,287.0163934,333,23/07/2023
Private room,1934,146.8241986,99,190.5341262,180,23/07/2023
Shared room,32,99.21875,60.5,211.25,305.5,23/07/2023
Entire home/apt,9701,281.1629729,214,190.7130193,208,22/08/2023
Hotel room,61,216.9180328,206,283.442623,329,22/08/2023
Private room,1974,143.5273556,99,189.0516717,184,22/08/2023
Shared room,33,107.3333333,61,199.1212121,269,22/08/2023
Entire home/apt,9773,315.3181214,236,186.1416147,203,21/09/2023
Hotel room,60,235.6333333,234,280.7333333,323,21/09/2023
Private room,2003,158.017973,100,182.1243135,176,21/09/2023
Shared room,33,105.8181818,72,185.1818182,151,21/09/2023
Entire home/apt,9863,303.7533205,228,187.4590895,206,27/10/2023
Hotel room,59,242.2033898,236,277.1186441,330,27/10/2023
Private room,2008,154.5776892,100,180.6464143,178,27/10/2023
Shared room,33,111.8787879,75,189.5151515,173,27/10/2023
Hotel room,60,238.440678,240,271.05,328.5,23/12/2023
Private room,2166,188.4766917,100,178.4556787,178,23/12/2023
Shared room,36,109.1176471,66.5,191.0555556,200,23/12/2023
Entire home/apt,10259,368.4198708,270,174.1453358,180,23/12/2023
