Date,Category,Subcategory,Item,Region,Value
2022-12-31,NGO owned/CHO managed stocl,Family 3 bedroom,Social housing ownership & management,WA,463
2022-12-31,NGO owned/CHO managed stocl,Family 4 bedroom,Social housing ownership & management,WA,101
2022-12-31,NGO owned/CHO managed stocl,Family 5 bedroom,Social housing ownership & management,WA,28
2022-12-31,NGO owned/CHO managed stocl,Family 6+ bedroom,Social housing ownership & management,WA,18
2022-12-31,NGO owned/CHO managed stocl,Seniors 1 bedroom,Social housing ownership & management,WA,736
2022-12-31,NGO owned/CHO managed stocl,Seniors 2 bedroom,Social housing ownership & management,WA,1002
2022-12-31,NGO owned/CHO managed stocl,Singles 1 bedroom,Social housing ownership & management,WA,1757
2022-12-31,NGO owned/CHO managed stocl,Singles 2 bedroom,Social housing ownership & management,WA,404
2020-12-31,DoC owned/CHO managed,All,Social housing ownership & management,WA,35453
2020-12-31,DoC owned/CHO managed,Family 2  bedroom,Social housing ownership & management,WA,5930
2020-12-31,DoC owned/CHO managed,Family 3 bedroom,Social housing ownership & management,WA,11869
2020-12-31,DoC owned/CHO managed,Family 4 bedroom,Social housing ownership & management,WA,2984
2020-12-31,DoC owned/CHO managed,Family 5 bedroom,Social housing ownership & management,WA,599
2020-12-31,DoC owned/CHO managed,Family 6+ bedroom,Social housing ownership & management,WA,162
2020-12-31,DoC owned/CHO managed,Seniors 1 bedroom,Social housing ownership & management,WA,5435
2020-12-31,DoC owned/CHO managed,Seniors 2 bedroom,Social housing ownership & management,WA,4790
2020-12-31,DoC owned/CHO managed,Singles 1 bedroom,Social housing ownership & management,WA,3315
2020-12-31,DoC owned/CHO managed,Singles 2 bedroom,Social housing ownership & management,WA,369
2021-12-31,DoC owned/CHO managed,All,Social housing ownership & management,WA,35337
2021-12-31,DoC owned/CHO managed,Family 2 bedroom,Social housing ownership & management,WA,5951
2021-12-31,DoC owned/CHO managed,Family 3 bedroom,Social housing ownership & management,WA,11813
2021-12-31,DoC owned/CHO managed,Family 4 bedroom,Social housing ownership & management,WA,2977
2021-12-31,DoC owned/CHO managed,Family 5 bedroom,Social housing ownership & management,WA,603
2021-12-31,DoC owned/CHO managed,Family 6+ bedroom,Social housing ownership & management,WA,163
2021-12-31,DoC owned/CHO managed,Seniors 1 bedroom,Social housing ownership & management,WA,5360
2021-12-31,DoC owned/CHO managed,Seniors 2 bedroom,Social housing ownership & management,WA,4789
2021-12-31,DoC owned/CHO managed,Singles 1 bedroom,Social housing ownership & management,WA,3314
2021-12-31,DoC owned/CHO managed,Singles 2 bedroom,Social housing ownership & management,WA,367
2021-12-31,DoC owned/CHO managed,All,Social housing ownership & management,WA,36027
2022-12-31,DoC owned/CHO managed,Family 2 bedroom,Social housing ownership & management,WA,6060
2022-12-31,DoC owned/CHO managed,Family 3 bedroom,Social housing ownership & management,WA,11997
2022-12-31,DoC owned/CHO managed,Family 4 bedroom,Social housing ownership & management,WA,3060
2022-12-31,DoC owned/CHO managed,Family 5 bedroom,Social housing ownership & management,WA,624
2022-12-31,DoC owned/CHO managed,Family 6+ bedroom,Social housing ownership & management,WA,168
2022-12-31,DoC owned/CHO managed,Seniors 1 bedroom,Social housing ownership & management,WA,5353
2022-12-31,DoC owned/CHO managed,Seniors 2 bedroom,Social housing ownership & management,WA,4812
2022-12-31,DoC owned/CHO managed,Singles 1 bedroom,Social housing ownership & management,WA,3510
2022-12-31,DoC owned/CHO managed,Singles 2 bedroom,Social housing ownership & management,WA,443
2023-01-31,Public housing,Non-returning,Vacant public housing,WA,79
2023-01-31,Public housing,Returning,Vacant public housing,WA,1452
2023-01-31,Public housing,Under review,Vacant public housing,WA,326
2022-06-30,New DoC FYTD,1 bedroom,New social housing properties,WA,81
2022-06-30,New DoC FYTD,1 bedroom,New properties,East Kimberley,16
2022-06-30,New DoC FYTD,1 bedroom,New properties,East Metro,5
2022-06-30,New DoC FYTD,1 bedroom,New properties,Goldfields,0
2022-06-30,New DoC FYTD,1 bedroom,New properties,Great Southern,1
2022-06-30,New DoC FYTD,1 bedroom,New properties,Midwest,0
2022-06-30,New DoC FYTD,1 bedroom,New properties,North Metro,42
2022-06-30,New DoC FYTD,1 bedroom,New properties,Pilbara,1
2022-06-30,New DoC FYTD,1 bedroom,New properties,South Metro,16
2022-06-30,New DoC FYTD,1 bedroom,New properties,Southwest,0
2022-06-30,New DoC FYTD,1 bedroom,New properties,West Kimberley,0
2022-06-30,New DoC FYTD,1 bedroom,New properties,Wheatbelt,0
2022-06-30,New DoC FYTD,2 bedroom,New properties,WA,78
2022-06-30,New DoC FYTD,2 bedroom,New properties,East Kimberley,0
2022-06-30,New DoC FYTD,2 bedroom,New properties,East Metro,8
2022-06-30,New DoC FYTD,2 bedroom,New properties,Goldfields,1
2022-06-30,New DoC FYTD,2 bedroom,New properties,Great Southern,4
2022-06-30,New DoC FYTD,2 bedroom,New properties,Midwest,0
2022-06-30,New DoC FYTD,2 bedroom,New properties,North Metro,32
2022-06-30,New DoC FYTD,2 bedroom,New properties,Pilbara,3
2022-06-30,New DoC FYTD,2 bedroom,New properties,South Metro,30
2022-06-30,New DoC FYTD,2 bedroom,New properties,Southwest,0
2022-06-30,New DoC FYTD,2 bedroom,New properties,West Kimberley,0
2022-06-30,New DoC FYTD,2 bedroom,New properties,Wheatbelt,0
2022-06-30,New DoC FYTD,3 bedroom,New properties,WA,56
2022-06-30,New DoC FYTD,3 bedroom,New properties,East Kimberley,0
2022-06-30,New DoC FYTD,3 bedroom,New properties,East Metro,5
2022-06-30,New DoC FYTD,3 bedroom,New properties,Goldfields,0
2022-06-30,New DoC FYTD,3 bedroom,New properties,Great Southern,6
2022-06-30,New DoC FYTD,3 bedroom,New properties,Midwest,3
2022-06-30,New DoC FYTD,3 bedroom,New properties,North Metro,22
2022-06-30,New DoC FYTD,3 bedroom,New properties,Pilbara,8
2022-06-30,New DoC FYTD,3 bedroom,New properties,South Metro,5
2022-06-30,New DoC FYTD,3 bedroom,New properties,Southwest,5
2022-06-30,New DoC FYTD,3 bedroom,New properties,West Kimberley,0
2022-06-30,New DoC FYTD,3 bedroom,New properties,Wheatbelt,2
2022-06-30,New DoC FYTD,4 bedroom,New properties,WA,58
2022-06-30,New DoC FYTD,4 bedroom,New properties,East Kimberley,0
2022-06-30,New DoC FYTD,4 bedroom,New properties,East Metro,14
2022-06-30,New DoC FYTD,4 bedroom,New properties,Goldfields,1
2022-06-30,New DoC FYTD,4 bedroom,New properties,Great Southern,8
2022-06-30,New DoC FYTD,4 bedroom,New properties,Midwest,12
2022-06-30,New DoC FYTD,4 bedroom,New properties,North Metro,12
2022-06-30,New DoC FYTD,4 bedroom,New properties,Pilbara,4
2022-06-30,New DoC FYTD,4 bedroom,New properties,South Metro,0
2022-06-30,New DoC FYTD,4 bedroom,New properties,Southwest,7
2022-06-30,New DoC FYTD,4 bedroom,New properties,West Kimberley,0
2022-06-30,New DoC FYTD,4 bedroom,New properties,Wheatbelt,0
2022-06-30,New DoC FYTD,5 bedroom,New properties,WA,8
2022-06-30,New DoC FYTD,5 bedroom,New properties,East Kimberley,0
2022-06-30,New DoC FYTD,5 bedroom,New properties,East Metro,5
2022-06-30,New DoC FYTD,5 bedroom,New properties,Goldfields,0
2022-06-30,New DoC FYTD,5 bedroom,New properties,Great Southern,1
2022-06-30,New DoC FYTD,5 bedroom,New properties,Midwest,1
2022-06-30,New DoC FYTD,5 bedroom,New properties,North Metro,0
2022-06-30,New DoC FYTD,5 bedroom,New properties,Pilbara,0
2022-06-30,New DoC FYTD,5 bedroom,New properties,South Metro,0
2022-06-30,New DoC FYTD,5 bedroom,New properties,Southwest,1
2022-06-30,New DoC FYTD,5 bedroom,New properties,West Kimberley,0
2022-06-30,New DoC FYTD,5 bedroom,New properties,Wheatbelt,0
2022-06-30,New DoC FYTD,6 bedroom,New properties,WA,1
2022-06-30,New DoC FYTD,6 bedroom,New properties,East Kimberley,0
2022-06-30,New DoC FYTD,6 bedroom,New properties,East Metro,1
2022-06-30,New DoC FYTD,6 bedroom,New properties,Goldfields,0
2022-06-30,New DoC FYTD,6 bedroom,New properties,Great Southern,0
2022-06-30,New DoC FYTD,6 bedroom,New properties,Midwest,0
2022-06-30,New DoC FYTD,6 bedroom,New properties,North Metro,0
2022-06-30,New DoC FYTD,6 bedroom,New properties,Pilbara,0
2022-06-30,New DoC FYTD,6 bedroom,New properties,South Metro,0
2022-06-30,New DoC FYTD,6 bedroom,New properties,Southwest,0
2022-06-30,New DoC FYTD,6 bedroom,New properties,West Kimberley,0
2022-06-30,New DoC FYTD,6 bedroom,New properties,Wheatbelt,0
2023-01-31,New DoC FYTD,All,New properties,WA,210
2023-02-28,New DoC FYTD,1 bedroom,New properties,WA,63
2023-02-28,New DoC FYTD,2 bedroom,New properties,WA,113
2023-02-28,New DoC FYTD,3 bedroom,New properties,WA,56
2023-02-28,New DoC FYTD,4 bedroom,New properties,WA,18
2023-02-28,New DoC FYTD,5 bedroom,New properties,WA,1
2023-02-28,New DoC FYTD,6 bedroom,New properties,WA,0
2022-06-30,New DoC FYTD,All,New properties,WA,600
2022-06-30,New DoC FYTD,Built,New properties,WA,264
2023-02-28,New DoC FYTD,All,New properties,WA,496
2023-02-28,New DoC FYTD,Built,New properties,WA,203
2023-01-31,New DoC FYTD,All,New properties,East Kimberley,2
2023-02-28,New DoC FYTD,1 bedroom,New properties,East Kimberley,0
2023-02-28,New DoC FYTD,2 bedroom,New properties,East Kimberley,0
2023-02-28,New DoC FYTD,3 bedroom,New properties,East Kimberley,1
2023-02-28,New DoC FYTD,4 bedroom,New properties,East Kimberley,1
2023-02-28,New DoC FYTD,5 bedroom,New properties,East Kimberley,0
2023-02-28,New DoC FYTD,6 bedroom,New properties,East Kimberley,0
2023-01-31,New DoC FYTD,All,New properties,East Metro,39
2023-02-28,New DoC FYTD,1 bedroom,New properties,East Metro,11
2023-02-28,New DoC FYTD,2 bedroom,New properties,East Metro,28
2023-02-28,New DoC FYTD,3 bedroom,New properties,East Metro,11
2023-02-28,New DoC FYTD,4 bedroom,New properties,East Metro,1
2023-02-28,New DoC FYTD,5 bedroom,New properties,East Metro,0
2023-01-31,New DoC FYTD,All,New properties,Goldfields,0
2023-02-28,New DoC FYTD,1 bedroom,New properties,Goldfields,0
2023-02-28,New DoC FYTD,2 bedroom,New properties,Goldfields,0
2023-02-28,New DoC FYTD,3 bedroom,New properties,Goldfields,0
2023-02-28,New DoC FYTD,4 bedroom,New properties,Goldfields,0
2023-02-28,New DoC FYTD,5 bedroom,New properties,Goldfields,0
2023-02-28,New DoC FYTD,6 bedroom,New properties,Goldfields,0
2023-01-31,New DoC FYTD,All,New properties,Great Southern,7
2023-02-28,New DoC FYTD,1 bedroom,New properties,Great Southern,1
2023-02-28,New DoC FYTD,2 bedroom,New properties,Great Southern,4
2023-02-28,New DoC FYTD,3 bedroom,New properties,Great Southern,3
2023-02-28,New DoC FYTD,4 bedroom,New properties,Great Southern,0
2023-02-28,New DoC FYTD,5 bedroom,New properties,Great Southern,0
2023-02-28,New DoC FYTD,6 bedroom,New properties,Great Southern,0
2023-01-31,New DoC FYTD,All,New properties,Midwest,12
2023-02-28,New DoC FYTD,1 bedroom,New properties,Midwest,0
2023-02-28,New DoC FYTD,2 bedroom,New properties,Midwest,0
2023-02-28,New DoC FYTD,3 bedroom,New properties,Midwest,9
2023-02-28,New DoC FYTD,4 bedroom,New properties,Midwest,5
2023-02-28,New DoC FYTD,5 bedroom,New properties,Midwest,0
2023-02-28,New DoC FYTD,6 bedroom,New properties,Midwest,0
2023-01-31,New DoC FYTD,All,New properties,North Metro,73
2023-02-28,New DoC FYTD,1 bedroom,New properties,North Metro,27
2023-02-28,New DoC FYTD,2 bedroom,New properties,North Metro,38
2023-02-28,New DoC FYTD,3 bedroom,New properties,North Metro,20
2023-02-28,New DoC FYTD,4 bedroom,New properties,North Metro,2
2023-02-28,New DoC FYTD,5 bedroom,New properties,North Metro,0
2023-02-28,New DoC FYTD,6 bedroom,New properties,North Metro,0
2023-01-31,New DoC FYTD,All,New properties,Pilbara,17
2023-02-28,New DoC FYTD,1 bedroom,New properties,Pilbara,8
2023-02-28,New DoC FYTD,2 bedroom,New properties,Pilbara,4
2023-02-28,New DoC FYTD,3 bedroom,New properties,Pilbara,5
2023-02-28,New DoC FYTD,4 bedroom,New properties,Pilbara,0
2023-02-28,New DoC FYTD,5 bedroom,New properties,Pilbara,0
2023-02-28,New DoC FYTD,6 bedroom,New properties,Pilbara,0
2023-01-31,New DoC FYTD,All,New properties,South metro,42
2023-02-28,New DoC FYTD,1 bedroom,New properties,South metro,16
2023-02-28,New DoC FYTD,2 bedroom,New properties,South metro,29
2023-02-28,New DoC FYTD,3 bedroom,New properties,South metro,4
2023-02-28,New DoC FYTD,4 bedroom,New properties,South metro,2
2023-02-28,New DoC FYTD,5 bedroom,New properties,South metro,0
2023-02-28,New DoC FYTD,6 bedroom,New properties,South metro,0
2023-01-31,New DoC FYTD,All,New properties,Southwest,13
2023-02-28,New DoC FYTD,1 bedroom,New properties,Southwest,0
2023-02-28,New DoC FYTD,2 bedroom,New properties,Southwest,9
2023-02-28,New DoC FYTD,3 bedroom,New properties,Southwest,3
2023-02-28,New DoC FYTD,4 bedroom,New properties,Southwest,3
2023-02-28,New DoC FYTD,5 bedroom,New properties,Southwest,1
2023-02-28,New DoC FYTD,6 bedroom,New properties,Southwest,0
2023-01-31,New DoC FYTD,All,New properties,West Kimberley,1
2023-02-28,New DoC FYTD,1 bedroom,New properties,West Kimberley,0
2023-02-28,New DoC FYTD,2 bedroom,New properties,West Kimberley,1
2023-02-28,New DoC FYTD,3 bedroom,New properties,West Kimberley,0
2023-02-28,New DoC FYTD,4 bedroom,New properties,West Kimberley,0
2023-02-28,New DoC FYTD,5 bedroom,New properties,West Kimberley,0
2023-02-28,New DoC FYTD,6 bedroom,New properties,West Kimberley,0
2023-01-31,New DoC FYTD,All,New properties,Wheatbelt,4
2023-02-28,New DoC FYTD,1 bedroom,New properties,Wheatbelt,0
2023-02-28,New DoC FYTD,2 bedroom,New properties,Wheatbelt,0
2023-02-28,New DoC FYTD,3 bedroom,New properties,Wheatbelt,0
2023-02-28,New DoC FYTD,4 bedroom,New properties,Wheatbelt,4
2023-02-28,New DoC FYTD,5 bedroom,New properties,Wheatbelt,0
2023-02-28,New DoC FYTD,6 bedroom,New properties,Wheatbelt,0
2023-07-31,Public housing,,Total public housing,WA,36383
2023-07-31,Social housing,,Total social housing,WA,43795
2023-07-31,Public housing,Non-returning,Vacant public housing,WA,426
2023-07-31,Public housing,Returning,Vacant public housing,WA,1395
