Date,Category,Subcategory,Item,Region,Value
2020-12-31,CHO owned & managed stock,All,Social housing ownership & management,WA,7301
2020-12-31,CHO owned & managed stock,Family 2  bedroom,Social housing ownership & management,WA,687
2020-12-31,CHO owned & managed stock,Family 3 bedroom,Social housing ownership & management,WA,943
2020-12-31,CHO owned & managed stock,Family 4 bedroom,Social housing ownership & management,WA,330
2020-12-31,CHO owned & managed stock,Family 5 bedroom,Social housing ownership & management,WA,91
2020-12-31,CHO owned & managed stock,Family 6+ bedroom,Social housing ownership & management,WA,56
2020-12-31,CHO owned & managed stock,Seniors 1 bedroom,Social housing ownership & management,WA,776
2020-12-31,CHO owned & managed stock,Seniors 2 bedroom,Social housing ownership & management,WA,1095
2020-12-31,CHO owned & managed stock,Singles 1 bedroom,Social housing ownership & management,WA,2834
2020-12-31,CHO owned & managed stock,Singles 2 bedroom,Social housing ownership & management,WA,489
2021-12-31,CHO owned & managed stock,All,Social housing ownership & management,WA,7457
2021-12-31,CHO owned & managed stock,Family 2 bedroom,Social housing ownership & management,WA,691
2021-12-31,CHO owned & managed stock,Family 3 bedroom,Social housing ownership & management,WA,997
2021-12-31,CHO owned & managed stock,Family 4 bedroom,Social housing ownership & management,WA,335
2021-12-31,CHO owned & managed stock,Family 5 bedroom,Social housing ownership & management,WA,93
2021-12-31,CHO owned & managed stock,Family 6+ bedroom,Social housing ownership & management,WA,57
2021-12-31,CHO owned & managed stock,Seniors 1 bedroom,Social housing ownership & management,WA,817
2021-12-31,CHO owned & managed stock,Seniors 2 bedroom,Social housing ownership & management,WA,1096
2021-12-31,CHO owned & managed stock,Singles 1 bedroom,Social housing ownership & management,WA,22793
2021-12-31,CHO owned & managed stock,Singles 2 bedroom,Social housing ownership & management,WA,578
2021-12-31,CHO owned & managed stock,All,Social housing ownership & management,WA,7405
2022-12-31,CHO owned & managed stock,Family 2 bedroom,Social housing ownership & management,WA,690
2022-12-31,CHO owned & managed stock,Family 3 bedroom,Social housing ownership & management,WA,999
2022-12-31,CHO owned & managed stock,Family 4 bedroom,Social housing ownership & management,WA,338
2022-12-31,CHO owned & managed stock,Family 5 bedroom,Social housing ownership & management,WA,94
2022-12-31,CHO owned & managed stock,Family 6+ bedroom,Social housing ownership & management,WA,56
2022-12-31,CHO owned & managed stock,Seniors 1 bedroom,Social housing ownership & management,WA,841
2022-12-31,CHO owned & managed stock,Seniors 2 bedroom,Social housing ownership & management,WA,1105
2022-12-31,CHO owned & managed stock,Singles 1 bedroom,Social housing ownership & management,WA,2696
2022-12-31,CHO owned & managed stock,Singles 2 bedroom,Social housing ownership & management,WA,586
2023-01-31,CHO owned & managed stock,All,Social housing ownership & management,WA,7408
2020-12-31,DoC owned & managed stock,All,Social housing ownership & management,WA,2448
2020-12-31,DoC owned & managed stock,Family 2  bedroom,Social housing ownership & management,WA,226
2020-12-31,DoC owned & managed stock,Family 3 bedroom,Social housing ownership & management,WA,499
2020-12-31,DoC owned & managed stock,Family 4 bedroom,Social housing ownership & management,WA,229
2020-12-31,DoC owned & managed stock,Family 5 bedroom,Social housing ownership & management,WA,66
2020-12-31,DoC owned & managed stock,Family 6+ bedroom,Social housing ownership & management,WA,42
2020-12-31,DoC owned & managed stock,Seniors 1 bedroom,Social housing ownership & management,WA,102
2020-12-31,DoC owned & managed stock,Seniors 2 bedroom,Social housing ownership & management,WA,103
2020-12-31,DoC owned & managed stock,Singles 1 bedroom,Social housing ownership & management,WA,1002
2020-12-31,DoC owned & managed stock,Singles 2 bedroom,Social housing ownership & management,WA,179
2021-12-31,DoC owned & managed stock,All,Social housing ownership & management,WA,2573
2021-12-31,DoC owned & managed stock,Family 2 bedroom,Social housing ownership & management,WA,233
2021-12-31,DoC owned & managed stock,Family 3 bedroom,Social housing ownership & management,WA,552
2021-12-31,DoC owned & managed stock,Family 4 bedroom,Social housing ownership & management,WA,234
2021-12-31,DoC owned & managed stock,Family 5 bedroom,Social housing ownership & management,WA,68
2021-12-31,DoC owned & managed stock,Family 6+ bedroom,Social housing ownership & management,WA,42
2021-12-31,DoC owned & managed stock,Seniors 1 bedroom,Social housing ownership & management,WA,102
2021-12-31,DoC owned & managed stock,Seniors 2 bedroom,Social housing ownership & management,WA,103
2021-12-31,DoC owned & managed stock,Singles 1 bedroom,Social housing ownership & management,WA,1057
2021-12-31,DoC owned & managed stock,Singles 2 bedroom,Social housing ownership & management,WA,182
2021-12-31,DoC owned & managed stock,All,Social housing ownership & management,WA,2435
2022-12-31,DoC owned & managed stock,Family 2 bedroom,Social housing ownership & management,WA,229
2022-12-31,DoC owned & managed stock,Family 3 bedroom,Social housing ownership & management,WA,536
2022-12-31,DoC owned & managed stock,Family 4 bedroom,Social housing ownership & management,WA,237
2022-12-31,DoC owned & managed stock,Family 5 bedroom,Social housing ownership & management,WA,66
2022-12-31,DoC owned & managed stock,Family 6+ bedroom,Social housing ownership & management,WA,38
2022-12-31,DoC owned & managed stock,Seniors 1 bedroom,Social housing ownership & management,WA,105
2022-12-31,DoC owned & managed stock,Seniors 2 bedroom,Social housing ownership & management,WA,103
2022-12-31,DoC owned & managed stock,Singles 1 bedroom,Social housing ownership & management,WA,939
2022-12-31,DoC owned & managed stock,Singles 2 bedroom,Social housing ownership & management,WA,182
2023-01-31,DoC owned & managed stock,All,Social housing ownership & management,WA,36050
2020-12-31,NGO owned/CHO managed stocl,All,Social housing ownership & management,WA,4853
2020-12-31,NGO owned/CHO managed stocl,Family 2  bedroom,Social housing ownership & management,WA,461
2020-12-31,NGO owned/CHO managed stocl,Family 3 bedroom,Social housing ownership & management,WA,444
2020-12-31,NGO owned/CHO managed stocl,Family 4 bedroom,Social housing ownership & management,WA,101
2020-12-31,NGO owned/CHO managed stocl,Family 5 bedroom,Social housing ownership & management,WA,25
2020-12-31,NGO owned/CHO managed stocl,Family 6+ bedroom,Social housing ownership & management,WA,14
2020-12-31,NGO owned/CHO managed stocl,Seniors 1 bedroom,Social housing ownership & management,WA,674
2020-12-31,NGO owned/CHO managed stocl,Seniors 2 bedroom,Social housing ownership & management,WA,992
2020-12-31,NGO owned/CHO managed stocl,Singles 1 bedroom,Social housing ownership & management,WA,1832
2020-12-31,NGO owned/CHO managed stocl,Singles 2 bedroom,Social housing ownership & management,WA,310
2021-12-31,NGO owned/CHO managed stocl,All,Social housing ownership & management,WA,4884
2021-12-31,NGO owned/CHO managed stocl,Family 2 bedroom,Social housing ownership & management,WA,458
2021-12-31,NGO owned/CHO managed stocl,Family 3 bedroom,Social housing ownership & management,WA,445
2021-12-31,NGO owned/CHO managed stocl,Family 4 bedroom,Social housing ownership & management,WA,101
2021-12-31,NGO owned/CHO managed stocl,Family 5 bedroom,Social housing ownership & management,WA,25
2021-12-31,NGO owned/CHO managed stocl,Family 6+ bedroom,Social housing ownership & management,WA,15
2021-12-31,NGO owned/CHO managed stocl,Seniors 1 bedroom,Social housing ownership & management,WA,715
2021-12-31,NGO owned/CHO managed stocl,Seniors 2 bedroom,Social housing ownership & management,WA,993
2021-12-31,NGO owned/CHO managed stocl,Singles 1 bedroom,Social housing ownership & management,WA,1736
2021-12-31,NGO owned/CHO managed stocl,Singles 2 bedroom,Social housing ownership & management,WA,396
2021-12-31,NGO owned/CHO managed stocl,All,Social housing ownership & management,WA,4970
2022-12-31,NGO owned/CHO managed stocl,Family 2 bedroom,Social housing ownership & management,WA,461
