room_type,count_listings,price_mean,price_median,availability_365_mean,availability_365_median,date
Entire home/apt,7669,192.19689659668796,149.0,227.3275524840266,268.0,2018-07-10
Private room,3535,87.6990099009901,65.0,208.5140028288543,180.0,2018-07-10
Shared room,128,52.4765625,28.0,221.453125,238.5,2018-07-10
Entire home/apt,7855,191.69408020369193,150.0,221.92234245703375,261.0,2018-08-14
Private room,3547,88.52466873414153,65.0,208.6115026783197,180.0,2018-08-14
Shared room,123,52.41463414634146,29.0,206.739837398374,179.0,2018-08-14
Entire home/apt,7965,191.97388575015694,150.0,217.28775894538606,256.0,2018-09-14
Private room,3532,91.2341449603624,65.0,207.09994337485844,180.0,2018-09-14
Shared room,131,54.02290076335878,29.0,214.793893129771,180.0,2018-09-14
Entire home/apt,8041,193.69145628653152,150.0,216.2944907349832,257.0,2018-10-09
Private room,3515,91.64694167852062,65.0,206.53229018492178,180.0,2018-10-09
Shared room,103,65.29126213592232,35.0,245.98058252427185,360.0,2018-10-09
Entire home/apt,8159,192.7503370511092,150.0,213.19107733790906,254.0,2018-11-06
Private room,3519,91.81699346405229,65.0,204.0730321113953,180.0,2018-11-06
Shared room,124,52.04032258064516,29.0,215.83870967741936,180.0,2018-11-06
Entire home/apt,8448,192.91642992424244,150.0,213.46448863636363,257.0,2018-12-08
Private room,3542,89.38763410502541,65.0,203.3252399774139,181.0,2018-12-08
Shared room,129,50.82170542635659,30.0,218.13178294573643,242.0,2018-12-08
Entire home/apt,8636,195.8574571560908,150.0,214.2101667438629,255.0,2019-01-13
Private room,3534,87.15789473684211,65.0,199.8469156762875,179.0,2019-01-13
Shared room,130,49.89230769230769,30.0,219.04615384615386,264.5,2019-01-13
Entire home/apt,8668,194.05549146285188,150.0,218.93597138901708,259.0,2019-02-03
Private room,3533,86.44126804415511,65.0,201.0246249646193,180.0,2019-02-03
Shared room,137,51.86131386861314,29.0,215.08759124087592,181.0,2019-02-03
Entire home/apt,8672,195.0577721402214,151.0,218.41778136531366,258.0,2019-03-07
Private room,3537,84.54509471303365,65.0,200.65479219677692,179.0,2019-03-07
Shared room,141,57.87943262411348,28.0,222.15602836879432,180.0,2019-03-07
Entire home/apt,8800,194.93068181818182,150.0,216.02727272727273,251.5,2019-04-05
Private room,3552,84.83051801801801,65.0,199.25084459459458,180.0,2019-04-05
Shared room,135,56.14074074074074,30.0,223.85925925925926,267.0,2019-04-05
Entire home/apt,8867,194.67373407014773,150.0,217.8760572910793,252.0,2019-05-05
Private room,3565,84.48218793828892,65.0,201.01150070126226,180.0,2019-05-05
Shared room,134,56.23880597014925,29.0,222.3582089552239,270.5,2019-05-05
Entire home/apt,8914,194.50325330940095,149.0,215.1209333632488,246.0,2019-06-04
Private room,3552,84.76351351351352,65.0,201.89161036036037,181.0,2019-06-04
Shared room,141,55.53900709219858,29.0,231.39716312056737,344.0,2019-06-04
Entire home/apt,9016,195.46206743566992,150.0,211.82453416149067,242.0,2019-07-08
Private room,3591,85.687552213868,64.0,199.74380395433028,181.0,2019-07-08
Shared room,142,54.74647887323944,29.0,230.66197183098592,340.0,2019-07-08
Entire home/apt,9083,198.02653308378288,150.0,209.11868325443135,239.0,2019-08-08
Private room,3607,85.5891322428611,65.0,198.59329082339895,180.0,2019-08-08
Shared room,142,52.29577464788732,28.5,228.23239436619718,263.0,2019-08-08
Entire home/apt,9078,200.04461335095837,150.0,204.9982374972461,238.0,2019-09-14
Hotel room,173,163.95953757225433,140.0,277.1676300578035,313.0,2019-09-14
Private room,3404,84.77849588719154,65.0,193.45916568742655,178.0,2019-09-14
Shared room,129,52.58914728682171,28.0,220.86046511627907,201.0,2019-09-14
Entire home/apt,9137,199.43165152675934,155.0,203.13078691036446,236.0,2019-10-14
Hotel room,204,160.52941176470588,140.0,263.75,314.0,2019-10-14
Private room,3346,83.93544530783025,61.0,188.34070531978483,176.0,2019-10-14
Shared room,127,52.330708661417326,28.0,225.22834645669292,302.0,2019-10-14
Entire home/apt,9269,200.10227640522172,155.0,202.0485489265293,236.0,2019-11-03
Hotel room,186,154.59139784946237,133.0,251.09677419354838,304.0,2019-11-03
Private room,3372,85.91518386714117,63.0,188.59697508896798,177.0,2019-11-03
Shared room,132,52.78787878787879,27.0,226.6969696969697,306.0,2019-11-03
Entire home/apt,9456,201.38843062605753,156.0,193.69204737732656,223.0,2019-12-08
Hotel room,161,152.77018633540374,140.0,235.72049689440993,291.0,2019-12-08
Private room,3384,87.32565011820331,64.0,181.6557328605201,169.5,2019-12-08
Shared room,192,52.697916666666664,34.0,249.05208333333334,362.0,2019-12-08
