Date,Category,Subcategory,Region,Item,Value
2015-09-30,Dwelling building activity,Started construction,WA,Construction activity,7608
2015-12-31,Dwelling building activity,Started construction,WA,Construction activity,6714
2016-03-31,Dwelling building activity,Started construction,WA,Construction activity,5430
2016-06-30,Dwelling building activity,Started construction,WA,Construction activity,5761
2016-09-30,Dwelling building activity,Started construction,WA,Construction activity,5499
2016-12-31,Dwelling building activity,Started construction,WA,Construction activity,4767
2017-03-31,Dwelling building activity,Started construction,WA,Construction activity,4604
2017-06-30,Dwelling building activity,Started construction,WA,Construction activity,4642
2017-09-30,Dwelling building activity,Started construction,WA,Construction activity,4818
2017-12-31,Dwelling building activity,Started construction,WA,Construction activity,5544
2018-03-31,Dwelling building activity,Started construction,WA,Construction activity,4044
2018-06-30,Dwelling building activity,Started construction,WA,Construction activity,3988
2018-09-30,Dwelling building activity,Started construction,WA,Construction activity,4443
2018-12-31,Dwelling building activity,Started construction,WA,Construction activity,3665
2019-03-31,Dwelling building activity,Started construction,WA,Construction activity,3372
2019-06-30,Dwelling building activity,Started construction,WA,Construction activity,4041
2019-09-30,Dwelling building activity,Started construction,WA,Construction activity,3699
2019-12-31,Dwelling building activity,Started construction,WA,Construction activity,3402
2020-03-31,Dwelling building activity,Started construction,WA,Construction activity,3560
2020-06-30,Dwelling building activity,Started construction,WA,Construction activity,2940
2020-09-30,Dwelling building activity,Started construction,WA,Construction activity,3510
2020-12-31,Dwelling building activity,Started construction,WA,Construction activity,6089
2021-03-31,Dwelling building activity,Started construction,WA,Construction activity,6853
2021-06-30,Dwelling building activity,Started construction,WA,Construction activity,6889
2021-09-30,Dwelling building activity,Started construction,WA,Construction activity,6129
2021-12-31,Dwelling building activity,Started construction,WA,Construction activity,5972
2022-03-31,Dwelling building activity,Started construction,WA,Construction activity,3885
2022-06-30,Dwelling building activity,Started construction,WA,Construction activity,5375
2022-09-30,Dwelling building activity,Started construction,WA,Construction activity,3510
2022-12-31,Dwelling building activity,Started construction,WA,Construction activity,4527
2012-12-31,Dwelling building activity,Completed construction,WA,Construction activity,4492
2013-03-31,Dwelling building activity,Completed construction,WA,Construction activity,4101
2013-06-30,Dwelling building activity,Completed construction,WA,Construction activity,4855
2013-09-30,Dwelling building activity,Completed construction,WA,Construction activity,5517
2013-12-31,Dwelling building activity,Completed construction,WA,Construction activity,7007
2014-03-31,Dwelling building activity,Completed construction,WA,Construction activity,5010
2014-06-30,Dwelling building activity,Completed construction,WA,Construction activity,7672
2014-09-30,Dwelling building activity,Completed construction,WA,Construction activity,6995
2014-12-31,Dwelling building activity,Completed construction,WA,Construction activity,7086
2015-03-31,Dwelling building activity,Completed construction,WA,Construction activity,6358
2015-06-30,Dwelling building activity,Completed construction,WA,Construction activity,8269
2015-09-30,Dwelling building activity,Completed construction,WA,Construction activity,8546
2015-12-31,Dwelling building activity,Completed construction,WA,Construction activity,9008
2016-03-31,Dwelling building activity,Completed construction,WA,Construction activity,6394
2016-06-30,Dwelling building activity,Completed construction,WA,Construction activity,8608
2016-09-30,Dwelling building activity,Completed construction,WA,Construction activity,6588
2016-12-31,Dwelling building activity,Completed construction,WA,Construction activity,6945
2017-03-31,Dwelling building activity,Completed construction,WA,Construction activity,5156
2017-06-30,Dwelling building activity,Completed construction,WA,Construction activity,5189
2017-09-30,Dwelling building activity,Completed construction,WA,Construction activity,5173
2017-12-31,Dwelling building activity,Completed construction,WA,Construction activity,4280
2018-03-31,Dwelling building activity,Completed construction,WA,Construction activity,4459
2018-06-30,Dwelling building activity,Completed construction,WA,Construction activity,4777
2018-09-30,Dwelling building activity,Completed construction,WA,Construction activity,4290
2018-12-31,Dwelling building activity,Completed construction,WA,Construction activity,4517
2019-03-31,Dwelling building activity,Completed construction,WA,Construction activity,3501
2019-06-30,Dwelling building activity,Completed construction,WA,Construction activity,4511
2019-09-30,Dwelling building activity,Completed construction,WA,Construction activity,3282
2019-12-31,Dwelling building activity,Completed construction,WA,Construction activity,4383
2020-03-31,Dwelling building activity,Completed construction,WA,Construction activity,3566
2020-06-30,Dwelling building activity,Completed construction,WA,Construction activity,3418
2020-09-30,Dwelling building activity,Completed construction,WA,Construction activity,3378
2020-12-31,Dwelling building activity,Completed construction,WA,Construction activity,3132
2021-03-31,Dwelling building activity,Completed construction,WA,Construction activity,3020
2021-06-30,Dwelling building activity,Completed construction,WA,Construction activity,4124
2021-09-30,Dwelling building activity,Completed construction,WA,Construction activity,3441
2021-12-31,Dwelling building activity,Completed construction,WA,Construction activity,3362
2022-03-31,Dwelling building activity,Completed construction,WA,Construction activity,3116
2022-06-30,Dwelling building activity,Completed construction,WA,Construction activity,3777
2022-09-30,Dwelling building activity,Completed construction,WA,Construction activity,3017
2022-12-31,Dwelling building activity,Completed construction,WA,Construction activity,4081
2024-06-30,Stimulus,Off-the-Plan Transfer Duty Concession,WA,Budget $m,14
2025-06-30,Stimulus,Off-the-Plan Transfer Duty Concession,WA,Budget $m,19
2026-06-30,Stimulus,Off-the-Plan Transfer Duty Concession,WA,Budget $m,27
