Date,No. of new bond lodgements,Total value of new lodgements,Median value of new bond lodgement,No. of finalised bond disposals,Average value of finalised bond disposal,No. of finalised disposal subject to an order (SAT or Magistrates Court),% of bonds returned to tenants subject to an order (SAT or MC),% of bonds returned to landlords subject to an order (SAT or MC),% of bonds split between tenants and landlords subject to an order (SAT or MC),Average no. of new lodgements per entity signed up to BondsOnline,Median no. of new lodgements per entity signed up to BondsOnline,Bond lodgements - distinct addresses
2019-01-31,,,,,,,,,,,,218354.0
2019-02-28,,,,,,,,,,,,219245.0
2019-03-31,8635.0,12928826.709999995,1400.0,8147.0,1545.3774702344415,528.0,1.52,84.47,14.02,7.32,4.0,220032.0
2019-04-30,6919.0,10485573.07,1440.0,7117.0,1549.4253365181958,512.0,1.56,83.01,15.43,6.08,3.0,220198.0
2019-05-31,8417.0,12726349.989999998,1420.0,8766.0,1549.5090725530456,671.0,2.53,85.25,12.22,7.31,4.0,220127.0
2019-06-30,7172.0,10794947.459999999,1400.0,6625.0,1533.3934792452828,496.0,1.81,85.89,12.3,6.51,4.0,220768.0
2019-07-31,8785.0,13225006.389999995,1420.0,7624.0,1525.952538037775,574.0,4.36,79.62,16.03,7.51,4.0,221700.0
2019-08-31,8408.0,12748014.809999997,1420.0,7456.0,1544.6218803648069,474.0,2.53,85.44,12.03,7.55,4.0,222670.0
2019-09-30,7610.0,11681111.870000007,1440.0,6599.0,1547.8636717684496,436.0,2.06,81.88,16.06,6.82,4.0,223663.0
2019-10-31,8206.0,12120717.150000019,1440.0,7739.0,1544.7605595038115,538.0,2.6,86.62,10.78,7.27,4.0,223961.0
2019-11-30,7838.0,12120717.150000019,1440.0,6965.0,1542.5859483129927,434.0,2.76,83.87,13.36,7.25,4.0,224582.0
2019-12-31,6893.0,10679850.700000005,1440.0,6962.0,1497.3301120367719,358.0,1.96,82.96,15.08,6.39,4.0,224856.0
2020-01-31,8838.0,13922579.990000036,1480.0,7017.0,1552.541060282172,381.0,2.62,84.78,12.6,7.75,4.0,226051.0
2020-02-29,9167.0,14140572.97,1440.0,8239.0,1560.61,501.0,3.59,83.83,12.57,7.96,4.0,226728.0
2020-03-31,8137.0,12648741.25,1460.0,8301.0,1550.2724057342496,432.0,3.47,80.56,15.97,7.16,4.0,227023.0
2020-04-30,6734.0,10294198.369999995,1440.0,7407.0,1569.7091670041882,484.0,3.93,81.61,14.46,5.94,3.0,226984.0
2020-05-31,7786.0,11886567.950000003,1440.0,7014.0,1565.3680139720564,486.0,3.29,82.51,14.2,7.02,4.0,227645.0
2020-06-30,6956.0,10658869.000000002,1460.0,6224.0,1543.5416291773781,441.0,3.4,78.46,18.14,6.44,4.0,228505.0
2020-07-31,7535.0,11811422.580000002,1480.0,6483.0,1544.8037528921805,427.0,3.51,81.5,14.99,7.0,4.0,229477.0
2020-08-31,7036.0,11285135.520000001,1520.0,6101.0,1568.5834469759052,291.0,3.78,76.98,19.24,6.42,3.5,230177.0
2020-09-30,6411.0,10557650.710000003,1540.0,6225.0,1576.7665028112451,273.0,6.59,71.79,21.61,6.0,3.0,230395.0
2020-10-31,6768.0,11269393.060000014,1580.0,6589.0,1594.9422734861128,234.0,5.56,74.79,19.66,6.42,4.0,230583.0
2020-11-30,6271.0,10717460.24000001,1600.0,5977.0,1582.6653371256482,183.0,3.83,77.6,18.58,5.8,3.0,230674.0
2020-12-31,6272.0,10648782.670000006,1600.0,6628.0,1595.0666867833447,254.0,4.33,70.87,24.8,5.73,3.0,230526.0
2021-01-31,6128.0,10642262.98000001,1620.0,5450.0,1585.0652403669715,148.0,9.46,67.57,22.97,5.82,3.0,230831.0
2021-02-28,6060.0,10569301.859999998,1640.0,6220.0,1606.0892733118976,213.0,5.63,75.59,18.78,5.72,3.0,230658.0
2021-03-31,6961.0,12485593.640000006,1680.0,7715.0,1602.0514257939087,240.0,5.0,75.42,19.58,6.26,3.0,229910.0
2021-04-30,6553.0,11688958.390000002,1680.0,7421.0,1625.8306063872799,212.0,3.77,78.3,17.92,5.65,3.0,229017.0
2021-05-31,6711.0,12287114.21,1720.0,8608.0,1614.5687314126405,347.0,6.63,79.25,14.12,6.13,4.0,227359.0
2021-06-30,6328.0,11610674.200000001,1720.0,8030.0,1611.8803947696144,385.0,3.64,82.34,14.03,5.79,3.0,225744.0
2021-07-31,6631.0,11956425.09000001,1715.2,7545.0,1603.1274234592458,383.0,3.39,79.63,16.97,5.99,3.0,224771.0
2021-08-31,6623.0,12020164.479999997,1720.0,8024.0,1624.2241251246276,386.0,4.15,77.98,17.88,5.91,3.0,223475.0
2021-09-30,6219.0,11526400.07,1760.0,7468.0,1633.4126245313334,407.0,4.91,72.73,22.36,5.82,3.0,222278.0
2021-10-31,6338.0,11930258.480000015,1780.0,7548.0,1656.4894011658723,350.0,6.29,77.71,16.0,5.84,3.0,221676.0
2021-11-30,5930.0,11045191.689999998,1780.0,7440.0,1664.604587365593,331.0,4.83,71.9,23.26,5.63,3.0,221341.0
2021-12-31,6316.0,11834705.660000026,1800.0,7456.0,1633.6822961373432,313.0,7.03,71.88,21.09,6.08,3.0,220737.0
2022-01-31,6005.0,11414151.660000015,1800.0,6417.0,1686.635239208354,275.0,6.55,73.45,20.0,5.8,3.0,220461.0
2022-02-28,6701.0,12778430.620000003,1800.0,7630.0,1683.8273787680218,251.0,5.98,74.1,19.92,6.28,3.0,219739.0
2022-03-31,7466.0,14266807.870000014,1800.0,8129.0,1680.5000246032744,322.0,5.59,75.16,19.25,6.96,4.0,219118.0
2022-04-30,6034.0,11650197.970000003,1840.0,6765.0,1709.2368041389511,284.0,9.51,75.7,14.79,5.72,3.0,218514.0
2022-05-31,6745.0,13159920.750000019,1860.0,7851.0,1719.5627321360337,251.0,3.98,72.11,23.9,6.39,3.0,217408.0
