Date,No. of new bond lodgements,Total value of new lodgements,Median value of new bond lodgement,No. of finalised bond disposals,Average value of finalised bond disposal,No. of finalised disposal subject to an order (SAT or Magistrates Court),% of bonds returned to tenants subject to an order (SAT or MC),% of bonds returned to landlords subject to an order (SAT or MC),% of bonds split between tenants and landlords subject to an order (SAT or MC),Average no. of new lodgements per entity signed up to BondsOnline,Median no. of new lodgements per entity signed up to BondsOnline,Bond lodgements - distinct addresses
2022-06-30,6514.0,12796159.70000002,1850.0,7277.0,1720.1337199395357,368.0,6.52,75.82,17.66,6.07,3.0,216740.0
2022-07-31,7114.0,14044767.110000014,1860.0,6819.0,1692.9953218947098,331.0,4.23,78.25,17.52,6.91,4.0,217133.0
2022-08-31,6580.0,13351506.200000005,1940.0,7205.0,1738.5693740458025,298.0,6.38,76.85,16.78,6.37,3.0,216586.0
2022-09-30,5774.0,11904605.370000005,1960.0,6215.0,1747.8850764279978,331.0,7.25,71.0,21.75,5.63,3.0,216070.0
2022-10-31,5970.0,12403838.399999999,2000.0,6485.0,1776.5225983037778,256.0,5.47,73.83,20.7,5.85,3.0,215433.0
2022-11-30,6175.0,12803400.200000012,2000.0,6573.0,1799.505364369389,273.0,6.23,81.32,12.45,6.22,3.0,214835.0
2022-12-31,6255.0,13364708.72,2000.0,6276.0,1773.0236042065048,254.0,5.12,68.9,25.98,6.29,3.0,214786.0
2023-01-31,5663.0,11947847.960000003,2000.0,5846.0,1772.947545330141,226.0,6.19,69.03,24.78,5.56,3.0,214382.0
2023-02-28,6311.0,13795750.730000004,2080.0,6733.0,1818.5844036833516,203.0,3.45,74.88,21.67,6.31,3.0,214164.0
2023-03-31,6659.0,14607566.749999994,2100.0,6909.0,1837.1716341004499,268.0,9.33,74.25,16.42,6.46,4.0,213855.0
2023-04-30,5604.0,12562739.590000005,2200.0,5587.0,1873.8360962949703,242.0,7.85,76.86,15.29,5.87,3.0,
